split,DP,ITL,ARMUL,OURS
0,0.063019052271617,0.024914509037616023,0.022960429897410845,0.0038781874810874246
1,0.05959941377625794,0.025891548607718612,0.0180752320468979,0.00361062158101591
2,0.050806057645334635,0.021006350757205666,0.0180752320468979,0.0032660606258535507
3,0.06204201270151441,0.02247191011235955,0.017586712261846604,0.004723270534373634
4,0.057156814851001464,0.025891548607718612,0.02344894968246214,0.002593105377892688
5,0.05471421592574499,0.02344894968246214,0.01709819247679531,0.007096063344561301
6,0.05276013678553981,0.02344894968246214,0.02247191011235955,0.005396182744640095
7,0.0537371763556424,0.02247191011235955,0.018563751831949193,0.006541893880708855
8,0.05764533463605276,0.024914509037616023,0.02051783097215437,0.004465758413126834
9,0.05471421592574499,0.021006350757205666,0.01709819247679531,0.00791826407445023
10,0.060576453346360526,0.02051783097215437,0.016609672691744015,0.0032130577214641537
11,0.056179775280898875,0.024914509037616023,0.02247191011235955,0.005201837067285803
12,0.05276013678553981,0.027357107962872496,0.02051783097215437,0.004474925155505917
13,0.06106497313141182,0.026380068392769906,0.024914509037616023,0.005709959922151953
14,0.05569125549584758,0.027357107962872496,0.02149487054225696,0.00475278877441819
15,0.05129457743038593,0.022960429897410845,0.017586712261846604,0.00346989776935249
16,0.06399609184171959,0.021983390327308255,0.0180752320468979,0.004135087666698119
17,0.05031753786028334,0.0180752320468979,0.01612115290669272,0.003877673636145157
18,0.0537371763556424,0.030288226673180263,0.02247191011235955,0.0024923122145344367
19,0.05959941377625794,0.020029311187103077,0.017586712261846604,0.004353513351101795
20,0.055202735710796286,0.025891548607718612,0.02247191011235955,0.00530561942893058
21,0.05959941377625794,0.02344894968246214,0.02247191011235955,0.0057285888391470675
22,0.051783097215437224,0.018563751831949193,0.0180752320468979,0.003486310613203187
23,0.05813385442110405,0.023937469467513434,0.018563751831949193,0.007062585674810024
24,0.055202735710796286,0.025891548607718612,0.022960429897410845,0.0067195999747816145
25,0.06546165119687347,0.03224230581338544,0.024914509037616023,0.0027409813379767
26,0.056179775280898875,0.021006350757205666,0.018563751831949193,0.005777058786813778
27,0.05911089399120664,0.023937469467513434,0.02247191011235955,0.006082117426545849
28,0.05666829506595017,0.023937469467513434,0.018563751831949193,0.0054280761212538425
29,0.049829018075232046,0.022960429897410845,0.019540791402051783,0.005569820845980028
