dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.4,238.12
10,pc,0.3,482.29
20,locpc,0.43,680.84
20,pc,0.36,1619.16
30,locpc,0.43,1255.2
30,pc,0.33,3222.13
40,locpc,0.39,1468.87
40,pc,0.41,5163.62
50,locpc,0.42,2082.83
50,pc,0.33,7474.39
