experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_14,100,locpc,True,"['3', '0', '14']","['0', '3']",641
100_14,100,ldecc,False,,"['0', '3']",14712
100_14,100,pc,True,"['14', '0', '3']","['0', '3']",20191
100_14,100,CMB,True,"['0', '70', '99', '71', '25', '20']","['0', '3']",13288
100_14,100,MBbyMB,True,"['0', '63', '70', '23', '72']","['0', '3']",15255
100_15,100,locpc,True,"['46', '54', '21']","['46', '54']",1155
100_15,100,ldecc,False,,"['46', '54']",14554
100_15,100,pc,True,"['46', '54', '21']","['46', '54']",22187
100_15,100,CMB,True,"['6', '20', '54', '55']","['46', '54']",1286
100_15,100,MBbyMB,True,"['39', '62', '28', '6', '54', '26']","['46', '54']",10371
100_16,100,locpc,True,"['48', '79']","['48', '79']",2522
100_16,100,ldecc,True,"['48', '79']","['48', '79']",424
100_16,100,pc,True,"['48', '79']","['48', '79']",22997
100_16,100,CMB,True,"['48', '79', '95']","['48', '79']",4805
100_16,100,MBbyMB,True,"['48', '44', '79', '17', '88', '70', '84']","['48', '79']",8310
100_17,100,locpc,True,"['82', '94', '74']","['74', '82']",2414
100_17,100,ldecc,True,['82'],"['74', '82']",9354
100_17,100,pc,True,"['94', '74', '82']","['74', '82']",33265
100_17,100,CMB,True,"['74', '31', '11', '34']","['74', '82']",8374
100_17,100,MBbyMB,True,"['83', '52', '42', '11', '34']","['74', '82']",30141
100_18,100,locpc,True,"['27', '85']","['27', '85']",959
100_18,100,ldecc,True,"['27', '85']","['27', '85']",320
100_18,100,pc,True,"['27', '85']","['27', '85']",21214
100_18,100,CMB,True,"['87', '27', '85', '20']","['27', '85']",6061
100_18,100,MBbyMB,True,"['64', '6', '27', '85']","['27', '85']",10200
100_19,100,locpc,True,"['73', '7', '97', '95']","['7', '73']",1243
100_19,100,ldecc,False,,"['7', '73']",14129
100_19,100,pc,True,"['73', '7', '97', '95']","['7', '73']",19427
100_19,100,CMB,True,"['97', '73', '92']","['7', '73']",1259
100_19,100,MBbyMB,True,"['97', '73', '92']","['7', '73']",4986
100_20,100,locpc,True,"['69', '60', '25']","['25', '60', '69']",1923
100_20,100,ldecc,True,"['25', '69', '60']","['25', '60', '69']",346
100_20,100,pc,True,"['25', '69', '60']","['25', '60', '69']",23030
100_20,100,CMB,True,"['2', '8', '9', '6', '23', '47', '62', '40']","['25', '60', '69']",3131
100_20,100,MBbyMB,True,[],"['25', '60', '69']",24489
100_21,100,locpc,True,"['59', '94', '0']","['0', '59', '94']",734
100_21,100,ldecc,True,"['94', '59', '0']","['0', '59', '94']",278
100_21,100,pc,True,"['94', '0', '59']","['0', '59', '94']",18863
100_21,100,CMB,True,"['6', '71', '94']","['0', '59', '94']",1006
100_21,100,MBbyMB,True,"['71', '79', '94', '27']","['0', '59', '94']",2596
100_22,100,locpc,True,"['61', '29', '65']","['29', '61', '65']",1259
100_22,100,ldecc,True,"['61', '29', '65']","['29', '61', '65']",390
100_22,100,pc,True,"['29', '61', '65']","['29', '61', '65']",19763
100_22,100,CMB,True,"['29', '23', '54', '55']","['29', '61', '65']",266
100_22,100,MBbyMB,True,"['29', '54']","['29', '61', '65']",11355
100_23,100,locpc,True,"['77', '94']","['77', '94']",964
100_23,100,ldecc,True,"['59', '77', '94']","['77', '94']",421
100_23,100,pc,True,"['94', '77']","['77', '94']",26110
100_23,100,CMB,True,"['94', '77', '58']","['77', '94']",4202
100_23,100,MBbyMB,True,"['41', '94', '48', '77', '58', '4', '17']","['77', '94']",5543
100_24,100,locpc,True,"['92', '34', '32', '9']","['34', '92']",1493
100_24,100,ldecc,True,[],"['34', '92']",18936
100_24,100,pc,True,"['34', '92', '32', '9']","['34', '92']",30631
100_24,100,CMB,True,['57'],"['34', '92']",118803
100_24,100,MBbyMB,True,"['9', '23', '31', '53', '66', '92', '18', '36', '7', '28', '97', '5']","['34', '92']",31279
100_25,100,locpc,True,"['61', '37']","['37', '61']",1279
100_25,100,ldecc,True,"['61', '37']","['37', '61']",491
100_25,100,pc,True,"['61', '37']","['37', '61']",26451
100_25,100,CMB,True,['55'],"['37', '61']",4002
100_25,100,MBbyMB,True,"['37', '61', '84', '55', '39', '92']","['37', '61']",5533
100_26,100,locpc,True,"['67', '21', '99']","['21', '67', '99']",2728
100_26,100,ldecc,True,"['21', '67', '99']","['21', '67', '99']",294
100_26,100,pc,True,"['21', '99', '67']","['21', '67', '99']",24434
100_26,100,CMB,True,"['53', '89', '4', '97', '67']","['21', '67', '99']",928
100_26,100,MBbyMB,True,"['35', '53', '78', '89', '26', '67']","['21', '67', '99']",31265
100_27,100,locpc,True,"['35', '8', '57']","['8', '57']",1006
100_27,100,ldecc,False,,"['8', '57']",14990
100_27,100,pc,True,"['8', '57', '35']","['8', '57']",21409
100_27,100,CMB,True,"['8', '35', '57', '98', '44']","['8', '57']",11030
100_27,100,MBbyMB,True,"['6', '8', '32', '57', '88', '98', '7']","['8', '57']",13994
100_28,100,locpc,True,"['86', '81', '85']","['81', '85', '86']",732
100_28,100,ldecc,True,"['81', '85', '86']","['81', '85', '86']",221
100_28,100,pc,True,"['86', '81', '85']","['81', '85', '86']",22840
100_28,100,CMB,True,"['14', '50', '55', '22', '27', '17']","['81', '85', '86']",10090
100_28,100,MBbyMB,True,[],"['81', '85', '86']",16044
100_29,100,locpc,True,"['43', '10', '9']","['9', '43']",1061
100_29,100,ldecc,False,,"['9', '43']",14736
100_29,100,pc,True,"['9', '43', '10']","['9', '43']",19428
100_29,100,CMB,True,"['9', '83', '17', '4']","['9', '43']",1153
100_29,100,MBbyMB,True,"['9', '10', '4']","['9', '43']",6334
100_30,100,locpc,True,"['54', '19', '11', '85', '35']","['11', '19', '35', '54', '85']",1830
100_30,100,ldecc,True,"['11', '85', '19', '54', '35']","['11', '19', '35', '54', '85']",642
100_30,100,pc,True,"['35', '54', '19', '11', '85']","['11', '19', '35', '54', '85']",21885
100_30,100,CMB,True,"['40', '25', '13', '20', '8', '10']","['11', '19', '35', '54', '85']",2605
100_30,100,MBbyMB,True,[],"['11', '19', '35', '54', '85']",14959
100_31,100,locpc,True,"['14', '81']","['14', '81']",428
100_31,100,ldecc,True,"['81', '14']","['14', '81']",217
100_31,100,pc,True,"['81', '14']","['14', '81']",20510
100_31,100,CMB,True,"['66', '9', '14']","['14', '81']",2930
100_31,100,MBbyMB,True,"['9', '14', '82']","['14', '81']",4548
100_32,100,locpc,True,"['54', '8', '37', '22', '69', '3']","['22', '37']",2415
100_32,100,ldecc,True,[],"['22', '37']",14615
100_32,100,pc,True,"['54', '3', '37', '22', '69', '8']","['22', '37']",19616
100_32,100,CMB,True,"['8', '37', '22', '72', '69', '3']","['22', '37']",19774
100_32,100,MBbyMB,True,"['37', '61', '22', '27', '0', '87', '4', '69', '3']","['22', '37']",21759
100_33,100,locpc,True,"['25', '91', '10']","['10', '25', '91']",642
100_33,100,ldecc,True,"['25', '10', '91']","['10', '25', '91']",380
100_33,100,pc,True,"['91', '10', '25']","['10', '25', '91']",24947
100_33,100,CMB,True,"['19', '25', '91', '60', '53']","['10', '25', '91']",8474
100_33,100,MBbyMB,True,"['25', '91', '83', '34']","['10', '25', '91']",14109
100_34,100,locpc,True,"['13', '48']","['13', '48']",839
100_34,100,ldecc,True,"['48', '13']","['13', '48']",372
100_34,100,pc,True,"['13', '48']","['13', '48']",23198
100_34,100,CMB,True,"['93', '48', '19', '21', '87']","['13', '48']",2184
100_34,100,MBbyMB,True,"['31', '93', '48', '19', '53', '92', '87']","['13', '48']",22976
100_35,100,locpc,True,"['32', '80']","['32', '80']",546
100_35,100,ldecc,True,"['80', '32']","['32', '80']",313
100_35,100,pc,True,"['80', '32']","['32', '80']",22298
100_35,100,CMB,True,"['52', '72', '35', '2']","['32', '80']",1559
100_35,100,MBbyMB,True,[],"['32', '80']",7708
100_36,100,locpc,True,"['61', '15', '63']","['15', '61', '63']",1128
100_36,100,ldecc,True,"['61', '63', '15']","['15', '61', '63']",412
100_36,100,pc,True,"['63', '61', '15']","['15', '61', '63']",27508
100_36,100,CMB,True,"['44', '53', '27', '52', '83', '61']","['15', '61', '63']",11836
100_36,100,MBbyMB,True,"['44', '53', '52', '71', '1', '15', '61', '79']","['15', '61', '63']",22633
100_37,100,locpc,True,"['33', '37', '78', '50']","['33', '37', '50', '78']",1058
100_37,100,ldecc,True,"['33', '78', '37', '50']","['33', '37', '50', '78']",273
100_37,100,pc,True,"['50', '37', '33', '78']","['33', '37', '50', '78']",22584
100_37,100,CMB,True,"['33', '37', '57', '50']","['33', '37', '50', '78']",214
100_37,100,MBbyMB,True,"['33', '37', '57', '48', '50']","['33', '37', '50', '78']",7713
100_38,100,locpc,True,"['48', '85']","['48', '85']",1099
100_38,100,ldecc,True,"['48', '85']","['48', '85']",204
100_38,100,pc,True,"['48', '85']","['48', '85']",27550
100_38,100,CMB,True,"['23', '36', '62', '84', '28']","['48', '85']",6574
100_38,100,MBbyMB,True,[],"['48', '85']",10248
100_39,100,locpc,True,"['10', '35', '52']","['10', '35']",691
100_39,100,ldecc,False,,"['10', '35']",15702
100_39,100,pc,True,"['10', '35', '52']","['10', '35']",23793
100_39,100,CMB,True,['95'],"['10', '35']",31829
100_39,100,MBbyMB,True,"['9', '64', '3', '33', '14']","['10', '35']",16566
100_40,100,locpc,True,"['56', '27', '66']",['56'],2012
100_40,100,ldecc,False,,['56'],14828
100_40,100,pc,True,"['56', '27', '66']",['56'],19375
100_40,100,CMB,True,[],['56'],16565
100_40,100,MBbyMB,True,"['13', '56', '11']",['56'],6241
100_41,100,locpc,True,"['88', '9', '86', '85']","['9', '85', '86']",704
100_41,100,ldecc,False,,"['9', '85', '86']",14372
100_41,100,pc,True,"['85', '88', '9', '86']","['9', '85', '86']",18405
100_41,100,CMB,True,"['33', '86', '51']","['9', '85', '86']",158
100_41,100,MBbyMB,True,"['33', '86']","['9', '85', '86']",4717
100_42,100,locpc,True,"['85', '59']","['59', '85']",1012
100_42,100,ldecc,True,"['59', '85']","['59', '85']",209
100_42,100,pc,True,"['85', '59']","['59', '85']",21747
100_42,100,CMB,True,"['59', '85', '3']","['59', '85']",6190
100_42,100,MBbyMB,True,"['23', '27', '59', '85', '96', '3']","['59', '85']",7251
100_43,100,locpc,True,"['0', '69']","['0', '69']",1641
100_43,100,ldecc,True,"['8', '47', '69', '0']","['0', '69']",2782
100_43,100,pc,True,"['69', '0']","['0', '69']",31520
100_43,100,CMB,True,"['0', '69', '22']","['0', '69']",2859
100_43,100,MBbyMB,True,"['0', '83', '69', '65', '92', '68']","['0', '69']",8303
100_44,100,locpc,True,"['38', '80']","['38', '80']",900
100_44,100,ldecc,False,,"['38', '80']",16769
100_44,100,pc,True,"['80', '38']","['38', '80']",27025
100_44,100,CMB,True,"['4', '22', '32', '52', '11', '46', '18']","['38', '80']",14844
100_44,100,MBbyMB,True,[],"['38', '80']",20078
100_45,100,locpc,True,['68'],['68'],1120
100_45,100,ldecc,False,,['68'],15603
100_45,100,pc,True,['68'],['68'],22818
100_45,100,CMB,True,"['97', '65', '30', '87', '72', '57']",['68'],9854
100_45,100,MBbyMB,True,[],['68'],13356
100_46,100,locpc,True,['30'],['30'],1675
100_46,100,ldecc,False,,['30'],14751
100_46,100,pc,True,['30'],['30'],21485
100_46,100,CMB,True,"['21', '38', '64', '68', '98', '85', '36']",['30'],3642
100_46,100,MBbyMB,True,[],['30'],16977
100_47,100,locpc,True,"['35', '1', '63', '3']","['1', '35', '63']",1137
100_47,100,ldecc,False,,"['1', '35', '63']",17659
100_47,100,pc,True,"['63', '35', '1', '3']","['1', '35', '63']",26410
100_47,100,CMB,True,"['33', '63', '77', '31', '79', '16']","['1', '35', '63']",6292
100_47,100,MBbyMB,True,"['33', '42', '63', '21', '77', '31', '15']","['1', '35', '63']",20554
100_48,100,locpc,True,"['12', '31']","['12', '31']",825
100_48,100,ldecc,True,"['12', '31']","['12', '31']",299
100_48,100,pc,True,"['12', '31']","['12', '31']",27699
100_48,100,CMB,True,"['31', '57', '93', '29']","['12', '31']",2018
100_48,100,MBbyMB,True,"['31', '57']","['12', '31']",23962
100_49,100,locpc,True,"['2', '66']","['2', '66']",1458
100_49,100,ldecc,True,"['2', '66']","['2', '66']",501
100_49,100,pc,True,"['66', '2']","['2', '66']",24153
100_49,100,CMB,True,"['54', '66', '25', '1', '99']","['2', '66']",4446
100_49,100,MBbyMB,True,"['54', '66', '79', '1', '99']","['2', '66']",7863
100_50,100,locpc,True,"['24', '39', '29']","['29', '39']",783
100_50,100,ldecc,False,,"['29', '39']",13930
100_50,100,pc,True,"['39', '29', '24']","['29', '39']",17965
100_50,100,CMB,True,"['3', '24', '82', '96', '39', '86']","['29', '39']",7442
100_50,100,MBbyMB,True,"['24', '68', '96', '39', '69']","['29', '39']",9316
100_51,100,locpc,True,"['64', '33']","['33', '64']",853
100_51,100,ldecc,False,,"['33', '64']",14181
100_51,100,pc,True,"['64', '33']","['33', '64']",19158
100_51,100,CMB,True,['92'],"['33', '64']",19438
100_51,100,MBbyMB,True,[],"['33', '64']",6798
100_52,100,locpc,True,"['97', '35', '44', '72', '66']","['35', '66', '72', '97']",1484
100_52,100,ldecc,True,"['35', '72', '97', '66']","['35', '66', '72', '97']",458
100_52,100,pc,True,"['97', '35', '44', '66', '72']","['35', '66', '72', '97']",21695
100_52,100,CMB,True,"['7', '67', '72', '29', '3', '52']","['35', '66', '72', '97']",4171
100_52,100,MBbyMB,True,"['2', '7', '46', '92', '72', '29', '5', '45']","['35', '66', '72', '97']",11754
100_53,100,locpc,True,"['81', '55']","['55', '81']",638
100_53,100,ldecc,True,"['81', '55']","['55', '81']",347
100_53,100,pc,True,"['81', '55']","['55', '81']",18584
100_53,100,CMB,True,"['55', '81', '2']","['55', '81']",2996
100_53,100,MBbyMB,True,"['3', '55', '76', '81']","['55', '81']",4467
100_54,100,locpc,True,"['1', '41', '73', '34']","['1', '41']",1148
100_54,100,ldecc,False,,"['1', '41']",14209
