experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,False,,['4'],420
10_0,10,pc,False,,['4'],788
10_1,10,locpc,True,[],"['0', '2']",86
10_1,10,pc,True,[],"['0', '2']",587
10_2,10,locpc,False,,['3'],489
10_2,10,pc,False,,['3'],720
10_3,10,locpc,True,"['5', '8', '4']","['4', '8']",307
10_3,10,pc,True,"['5', '4', '8']","['4', '8']",648
10_4,10,locpc,False,,"['3', '4', '6']",226
10_4,10,pc,False,,"['3', '4', '6']",375
10_5,10,locpc,True,[],"['0', '3', '7']",83
10_5,10,pc,True,[],"['0', '3', '7']",573
10_6,10,locpc,True,"['8', '2']","['2', '7', '8']",276
10_6,10,pc,True,"['2', '8']","['2', '7', '8']",732
10_7,10,locpc,False,,['0'],383
10_7,10,pc,True,[],['0'],595
10_8,10,locpc,True,[],"['3', '5']",118
10_8,10,pc,True,"['7', '3', '4']","['3', '5']",943
10_9,10,locpc,False,,['7'],575
10_9,10,pc,True,[],['7'],863
10_10,10,locpc,False,,"['1', '8', '9']",83
10_10,10,pc,True,"['9', '1']","['1', '8', '9']",172
10_11,10,locpc,True,[],"['0', '1']",22
10_11,10,pc,True,"['3', '1']","['0', '1']",317
10_12,10,locpc,True,"['2', '6']","['0', '2', '6']",221
10_12,10,pc,True,"['9', '6', '2']","['0', '2', '6']",582
10_13,10,locpc,True,"['1', '2', '4']","['1', '2']",90
10_13,10,pc,True,"['4', '1', '2']","['1', '2']",217
10_14,10,locpc,False,,"['6', '8']",273
10_14,10,pc,True,[],"['6', '8']",540
10_15,10,locpc,True,"['6', '0']","['0', '9']",302
10_15,10,pc,True,"['0', '6']","['0', '9']",490
10_16,10,locpc,True,['7'],"['7', '9']",224
10_16,10,pc,True,['7'],"['7', '9']",414
10_17,10,locpc,False,,"['0', '3', '5']",272
10_17,10,pc,False,,"['0', '3', '5']",558
10_18,10,locpc,False,,"['1', '3', '5']",258
10_18,10,pc,True,"['3', '0', '5', '1']","['1', '3', '5']",449
10_19,10,locpc,True,"['0', '4', '6']","['0', '6']",137
10_19,10,pc,True,"['0', '4', '6']","['0', '6']",272
10_20,10,locpc,False,,"['5', '7']",197
10_20,10,pc,False,,"['5', '7']",592
10_21,10,locpc,True,[],"['0', '5']",90
10_21,10,pc,True,[],"['0', '5']",991
10_22,10,locpc,True,[],"['0', '5', '6']",1040
10_22,10,pc,True,[],"['0', '5', '6']",1351
10_23,10,locpc,False,,"['0', '5']",163
10_23,10,pc,False,,"['0', '5']",288
10_24,10,locpc,True,"['0', '3']","['0', '8', '9']",251
10_24,10,pc,True,"['0', '3']","['0', '8', '9']",470
10_25,10,locpc,False,,"['0', '2', '4']",113
10_25,10,pc,False,,"['0', '2', '4']",333
10_26,10,locpc,True,"['4', '9']","['1', '4', '9']",177
10_26,10,pc,True,"['4', '9']","['1', '4', '9']",377
10_27,10,locpc,False,,"['1', '3']",322
10_27,10,pc,False,,"['1', '3']",530
10_28,10,locpc,False,,"['4', '7']",144
10_28,10,pc,False,,"['4', '7']",316
10_29,10,locpc,True,"['8', '4', '5', '3']","['4', '8']",81
10_29,10,pc,True,"['8', '4', '5', '3']","['4', '8']",159
10_30,10,locpc,False,,"['4', '7', '9']",150
10_30,10,pc,False,,"['4', '7', '9']",406
10_31,10,locpc,False,,['7'],131
10_31,10,pc,False,,['7'],246
10_32,10,locpc,True,"['3', '9', '7']",['3'],179
10_32,10,pc,False,,['3'],301
10_33,10,locpc,True,"['1', '6']","['1', '2']",346
10_33,10,pc,False,,"['1', '2']",536
10_34,10,locpc,True,[],"['3', '4', '6']",49
10_34,10,pc,True,[],"['3', '4', '6']",536
10_35,10,locpc,True,"['0', '9', '8']","['3', '9']",445
10_35,10,pc,True,"['0', '9', '8']","['3', '9']",688
10_36,10,locpc,False,,"['5', '8']",105
10_36,10,pc,True,"['5', '8']","['5', '8']",184
10_37,10,locpc,True,"['6', '0', '9']","['0', '6']",116
10_37,10,pc,True,"['0', '9', '6']","['0', '6']",229
10_38,10,locpc,True,"['4', '6']","['4', '7']",245
10_38,10,pc,True,"['4', '6']","['4', '7']",399
10_39,10,locpc,True,"['2', '3']",['3'],232
10_39,10,pc,True,"['2', '3']",['3'],379
10_40,10,locpc,True,"['4', '6', '1', '2']","['1', '2', '4']",391
10_40,10,pc,True,"['2', '4', '6', '1']","['1', '2', '4']",574
10_41,10,locpc,False,,['4'],355
10_41,10,pc,False,,['4'],551
10_42,10,locpc,True,"['7', '6', '0']","['0', '6']",167
10_42,10,pc,True,"['7', '6', '0']","['0', '6']",700
10_43,10,locpc,True,[],"['2', '3']",51
10_43,10,pc,True,[],"['2', '3']",518
10_44,10,locpc,False,,"['0', '7', '9']",233
10_44,10,pc,True,"['9', '7', '0']","['0', '7', '9']",381
10_45,10,locpc,True,"['3', '8', '7']","['3', '7', '8']",252
10_45,10,pc,True,"['3', '8', '7']","['3', '7', '8']",402
10_46,10,locpc,True,"['2', '9', '6']","['2', '6']",512
10_46,10,pc,True,"['2', '6']","['2', '6']",1147
10_47,10,locpc,True,"['1', '6', '7', '2']","['1', '2', '6']",259
10_47,10,pc,True,"['1', '6', '2']","['1', '2', '6']",435
10_48,10,locpc,False,,"['1', '8', '9']",291
10_48,10,pc,False,,"['1', '8', '9']",419
10_49,10,locpc,True,"['4', '1', '2']","['2', '4']",109
10_49,10,pc,True,"['4', '1', '2']","['2', '4']",174
10_50,10,locpc,True,[],['9'],52
10_50,10,pc,True,[],['9'],562
10_51,10,locpc,False,,['4'],212
10_51,10,pc,False,,['4'],357
10_52,10,locpc,False,,"['5', '6', '7']",162
10_52,10,pc,True,"['5', '6']","['5', '6', '7']",381
10_53,10,locpc,True,"['4', '5']","['4', '5']",224
10_53,10,pc,True,['4'],"['4', '5']",627
10_54,10,locpc,False,,"['1', '8']",152
10_54,10,pc,False,,"['1', '8']",355
10_55,10,locpc,True,"['4', '9', '5', '8']","['4', '8']",275
10_55,10,pc,True,"['4', '9', '5', '8']","['4', '8']",467
10_56,10,locpc,True,['5'],"['1', '5', '9']",442
10_56,10,pc,True,[],"['1', '5', '9']",693
10_57,10,locpc,False,,"['1', '4', '7']",219
10_57,10,pc,True,"['7', '4', '1']","['1', '4', '7']",332
10_58,10,locpc,True,"['7', '0', '2']","['2', '7']",168
10_58,10,pc,True,"['7', '0', '2']","['2', '7']",253
10_59,10,locpc,True,"['0', '4', '6']","['0', '4']",254
10_59,10,pc,True,"['0', '4', '6']","['0', '4']",392
10_60,10,locpc,True,"['8', '6', '0']","['1', '6', '8']",370
10_60,10,pc,False,,"['1', '6', '8']",644
10_61,10,locpc,False,,"['7', '8', '9']",88
10_61,10,pc,True,"['7', '8']","['7', '8', '9']",183
10_62,10,locpc,True,['7'],"['6', '7']",152
10_62,10,pc,True,['7'],"['6', '7']",322
10_63,10,locpc,False,,['7'],159
10_63,10,pc,False,,['7'],313
10_64,10,locpc,True,"['9', '7']","['7', '9']",213
10_64,10,pc,True,"['9', '7']","['7', '9']",342
10_65,10,locpc,False,,"['1', '6']",238
10_65,10,pc,False,,"['1', '6']",377
10_66,10,locpc,True,"['9', '6']","['4', '9']",74
10_66,10,pc,True,[],"['4', '9']",157
10_67,10,locpc,True,[],"['0', '9']",163
10_67,10,pc,True,[],"['0', '9']",251
10_68,10,locpc,True,"['0', '1']","['0', '1']",94
10_68,10,pc,True,"['1', '0']","['0', '1']",195
10_69,10,locpc,False,,['2'],131
10_69,10,pc,False,,['2'],221
10_70,10,locpc,True,['8'],['8'],208
10_70,10,pc,True,['8'],['8'],396
10_71,10,locpc,False,,['9'],368
10_71,10,pc,False,,['9'],713
10_72,10,locpc,False,,"['0', '5', '8']",149
10_72,10,pc,True,"['8', '5', '0']","['0', '5', '8']",254
10_73,10,locpc,True,[],"['2', '7', '8']",41
10_73,10,pc,True,"['2', '7']","['2', '7', '8']",456
10_74,10,locpc,True,['6'],"['0', '2', '8']",494
10_74,10,pc,True,['6'],"['0', '2', '8']",773
10_75,10,locpc,True,"['7', '5', '8']","['1', '5', '7']",659
10_75,10,pc,True,"['7', '8', '5']","['1', '5', '7']",860
10_76,10,locpc,True,"['4', '8', '6', '2']","['4', '8']",402
10_76,10,pc,True,"['8', '6', '2', '4']","['4', '8']",550
10_77,10,locpc,False,,"['7', '8', '9']",209
10_77,10,pc,True,"['9', '8', '7']","['7', '8', '9']",304
10_78,10,locpc,True,"['2', '4']","['2', '4', '8']",114
10_78,10,pc,True,"['2', '4']","['2', '4', '8']",268
10_79,10,locpc,True,[],"['3', '9']",263
10_79,10,pc,True,[],"['3', '9']",410
10_80,10,locpc,False,,"['1', '2']",172
10_80,10,pc,False,,"['1', '2']",311
10_81,10,locpc,False,,"['0', '1', '5']",157
10_81,10,pc,False,,"['0', '1', '5']",406
10_82,10,locpc,True,"['9', '1', '6', '3']","['1', '3', '6', '9']",414
10_82,10,pc,True,"['9', '1', '6', '3']","['1', '3', '6', '9']",564
10_83,10,locpc,False,,"['2', '7', '9']",173
10_83,10,pc,False,,"['2', '7', '9']",330
10_84,10,locpc,False,,"['2', '3', '9']",94
10_84,10,pc,False,,"['2', '3', '9']",321
10_85,10,locpc,True,"['3', '4']","['1', '3', '4', '7']",215
10_85,10,pc,True,"['3', '4']","['1', '3', '4', '7']",431
10_86,10,locpc,False,,"['4', '6', '8']",117
10_86,10,pc,False,,"['4', '6', '8']",242
10_87,10,locpc,False,,"['2', '3']",315
10_87,10,pc,False,,"['2', '3']",553
10_88,10,locpc,False,,"['0', '6', '7']",75
10_88,10,pc,False,,"['0', '6', '7']",240
10_89,10,locpc,True,"['8', '1']","['1', '8']",225
10_89,10,pc,True,"['1', '8']","['1', '8']",494
10_90,10,locpc,True,"['5', '6', '1', '0', '3']","['5', '6']",384
10_90,10,pc,True,"['6', '5', '1', '0', '3']","['5', '6']",544
10_91,10,locpc,True,"['0', '4']","['1', '4']",218
10_91,10,pc,True,"['0', '4']","['1', '4']",504
10_92,10,locpc,True,"['6', '1', '3']","['0', '1', '3', '6']",91
10_92,10,pc,True,"['3', '1', '6']","['0', '1', '3', '6']",250
10_93,10,locpc,True,"['8', '7', '2', '3']","['4', '9']",554
10_93,10,pc,True,"['3', '7', '2', '8']","['4', '9']",1040
10_94,10,locpc,False,,"['5', '9']",722
10_94,10,pc,True,"['1', '3']","['5', '9']",997
10_95,10,locpc,False,,"['0', '1']",112
10_95,10,pc,False,,"['0', '1']",190
10_96,10,locpc,True,[],"['2', '3', '7']",106
10_96,10,pc,True,"['3', '7', '2']","['2', '3', '7']",920
10_97,10,locpc,True,"['6', '7', '8']","['6', '8']",85
10_97,10,pc,True,"['7', '8', '6']","['6', '8']",189
10_98,10,locpc,True,"['6', '0']","['0', '3']",686
10_98,10,pc,True,"['6', '0']","['0', '3']",1160
10_99,10,locpc,True,[],"['0', '7', '8']",107
10_99,10,pc,True,"['3', '0', '1']","['0', '7', '8']",688
20_0,20,locpc,True,[],"['2', '9']",38
20_0,20,pc,True,"['2', '3']","['2', '9']",828
20_1,20,locpc,True,"['3', '5']",['5'],632
20_1,20,pc,True,"['3', '5']",['5'],1743
20_2,20,locpc,False,,"['2', '4']",401
20_2,20,pc,False,,"['2', '4']",1023
20_3,20,locpc,True,"['3', '9', '1']","['1', '3', '9', '10']",444
20_3,20,pc,True,"['9', '3', '1']","['1', '3', '9', '10']",1420
20_4,20,locpc,False,,['14'],560
20_4,20,pc,False,,['14'],1358
20_5,20,locpc,True,"['9', '15']","['9', '15']",1468
20_5,20,pc,True,"['15', '9']","['9', '15']",2350
20_6,20,locpc,True,[],['5'],80
20_6,20,pc,True,['19'],['5'],1053
20_7,20,locpc,False,,['14'],127
20_7,20,pc,False,,['14'],699
20_8,20,locpc,True,[],['8'],129
20_8,20,pc,True,['0'],['8'],3498
20_9,20,locpc,False,,"['9', '12', '19']",423
20_9,20,pc,False,,"['9', '12', '19']",700
20_10,20,locpc,True,"['13', '2', '12', '11']","['12', '13']",592
20_10,20,pc,True,"['11', '13', '12']","['12', '13']",882
20_11,20,locpc,False,,"['5', '10', '17']",239
20_11,20,pc,True,"['10', '17']","['5', '10', '17']",989
20_12,20,locpc,True,"['16', '4']","['4', '16']",705
20_12,20,pc,True,"['16', '4', '14']","['4', '16']",1643
20_13,20,locpc,True,"['2', '3', '15', '6']","['3', '6', '15']",531
20_13,20,pc,True,"['2', '3', '15', '6']","['3', '6', '15']",875
20_14,20,locpc,False,,"['0', '2']",441
20_14,20,pc,False,,"['0', '2']",1235
20_15,20,locpc,True,"['13', '12']","['12', '13', '15']",884
20_15,20,pc,True,"['13', '12']","['12', '13', '15']",1411
20_16,20,locpc,True,"['0', '5', '7', '6', '4']","['4', '5']",1096
20_16,20,pc,True,"['5', '7', '6', '4']","['4', '5']",1564
20_17,20,locpc,True,[],"['8', '15']",629
20_17,20,pc,True,[],"['8', '15']",1193
20_18,20,locpc,False,,"['3', '17', '19']",134
20_18,20,pc,True,"['19', '3', '17']","['3', '17', '19']",1657
20_19,20,locpc,True,['6'],['6'],618
20_19,20,pc,True,['6'],['6'],1276
20_20,20,locpc,True,"['2', '3']","['2', '3', '4']",293
20_20,20,pc,True,"['2', '3']","['2', '3', '4']",950
20_21,20,locpc,False,,"['7', '11']",290
20_21,20,pc,False,,"['7', '11']",1023
20_22,20,locpc,True,"['14', '18']","['14', '17']",405
20_22,20,pc,True,"['18', '17', '14']","['14', '17']",1662
20_23,20,locpc,False,,"['12', '13', '19']",1208
20_23,20,pc,False,,"['12', '13', '19']",1843
20_24,20,locpc,False,,"['4', '10', '19']",943
