experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_44,10,locpc,False,,"['3', '9']",126
10_44,10,pc,False,,"['3', '9']",198
10_45,10,locpc,True,"['4', '1', '7', '0']","['0', '4', '7']",607
10_45,10,pc,True,"['4', '7', '0']","['0', '4', '7']",707
10_46,10,locpc,True,"['3', '6']","['3', '6']",263
10_46,10,pc,True,"['3', '6']","['3', '6']",614
10_47,10,locpc,True,"['4', '6']","['4', '6']",63
10_47,10,pc,True,"['4', '6']","['4', '6']",427
10_48,10,locpc,True,"['4', '9', '1']","['4', '9']",147
10_48,10,pc,True,"['4', '9']","['4', '9']",226
10_49,10,locpc,True,"['5', '9']","['5', '9']",39
10_49,10,pc,True,"['5', '9']","['5', '9']",127
10_50,10,locpc,True,"['7', '1']","['1', '7']",178
10_50,10,pc,True,"['7', '1']","['1', '7']",261
10_51,10,locpc,True,"['2', '1', '0']","['0', '1', '2']",71
10_51,10,pc,True,"['0', '1', '2']","['0', '1', '2']",154
10_52,10,locpc,True,"['9', '1']","['1', '9']",49
10_52,10,pc,True,"['9', '1']","['1', '9']",159
10_53,10,locpc,True,"['5', '8']","['5', '8']",163
10_53,10,pc,True,"['5', '8']","['5', '8']",247
10_54,10,locpc,True,"['8', '5']",['8'],251
10_54,10,pc,True,"['5', '8']",['8'],507
10_55,10,locpc,True,"['1', '0']","['0', '1']",64
10_55,10,pc,True,"['1', '0']","['0', '1']",183
10_56,10,locpc,True,"['5', '6', '2', '0']","['0', '2', '5', '6', '7']",125
10_56,10,pc,True,"['5', '6', '2', '0']","['0', '2', '5', '6', '7']",197
10_57,10,locpc,True,"['8', '2', '3', '0']","['2', '3']",644
10_57,10,pc,True,"['3', '0', '2']","['2', '3']",798
10_58,10,locpc,True,[],"['0', '1', '2', '9']",38
10_58,10,pc,True,"['9', '1', '0']","['0', '1', '2', '9']",227
10_59,10,locpc,True,"['5', '1', '6', '0']","['0', '1', '5', '6']",195
10_59,10,pc,True,"['5', '1', '6', '0']","['0', '1', '5', '6']",294
10_60,10,locpc,True,"['5', '6']","['5', '6']",31
10_60,10,pc,True,"['6', '5']","['5', '6']",167
10_61,10,locpc,True,"['3', '6', '1', '7']","['1', '7', '8']",283
10_61,10,pc,True,"['3', '6', '1', '7']","['1', '7', '8']",617
10_62,10,locpc,True,[],"['0', '8']",33
10_62,10,pc,True,[],"['0', '8']",264
10_63,10,locpc,True,"['3', '9']","['1', '3', '9']",104
10_63,10,pc,True,"['9', '3']","['1', '3', '9']",360
10_64,10,locpc,True,"['8', '6']","['6', '8']",114
10_64,10,pc,True,"['8', '6']","['6', '8']",304
10_65,10,locpc,True,"['1', '0']","['0', '1']",77
10_65,10,pc,True,"['1', '0']","['0', '1']",217
10_66,10,locpc,True,"['7', '9']","['7', '9']",30
10_66,10,pc,True,"['7', '9']","['7', '9']",98
10_67,10,locpc,True,"['4', '5', '1']","['1', '4', '5']",70
10_67,10,pc,True,"['4', '5', '1']","['1', '4', '5']",156
10_68,10,locpc,True,"['0', '4']","['0', '4']",76
10_68,10,pc,True,"['0', '4']","['0', '4']",264
10_69,10,locpc,True,"['9', '6', '5']","['5', '6', '9']",204
10_69,10,pc,True,"['9', '5', '6']","['5', '6', '9']",374
10_70,10,locpc,True,"['1', '4', '6']","['1', '6']",208
10_70,10,pc,True,"['4', '1', '6']","['1', '6']",331
10_71,10,locpc,True,"['2', '3', '8']","['2', '3', '8']",177
10_71,10,pc,True,"['2', '3', '8']","['2', '3', '8']",256
10_72,10,locpc,True,['6'],['6'],197
10_72,10,pc,True,['6'],['6'],382
10_73,10,locpc,True,"['5', '1']","['1', '5']",79
10_73,10,pc,True,"['5', '1']","['1', '5']",340
10_74,10,locpc,True,"['7', '9', '6', '8', '5']","['5', '6', '7', '8', '9']",123
10_74,10,pc,True,"['7', '9', '6', '8', '5']","['5', '6', '7', '8', '9']",213
10_75,10,locpc,True,"['1', '2']","['1', '2']",36
10_75,10,pc,True,"['1', '2']","['1', '2']",163
10_76,10,locpc,True,"['2', '4']","['2', '4']",271
10_76,10,pc,True,"['4', '2']","['2', '4']",392
10_77,10,locpc,True,"['0', '3']","['0', '3']",43
10_77,10,pc,True,"['0', '3']","['0', '3']",146
10_78,10,locpc,False,,"['3', '8']",188
10_78,10,pc,False,,"['3', '8']",315
10_79,10,locpc,True,"['0', '4', '1']","['0', '1', '4']",72
10_79,10,pc,True,"['0', '4', '1']","['0', '1', '4']",142
