dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.96,169.73
10,pc,0.98,349.43
20,locpc,0.99,374.17
20,pc,1.0,1282.62
30,locpc,0.99,742.98
30,pc,1.0,2961.96
40,locpc,0.99,1045.64
40,pc,0.99,4718.25
50,locpc,1.0,1301.19
50,pc,1.0,6610.56
