dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,1.0,1402.5
100,ldecc,0.69,6441.36
100,pc,1.0,23297.78
100,CMB,1.0,10507.25
100,MBbyMB,1.0,14211.46
150,locpc,1.0,2130.18
150,ldecc,0.74,14841.94
150,pc,1.0,48681.2
150,CMB,1.0,34436.85
150,MBbyMB,1.0,30556.92
200,locpc,1.0,3419.41
200,ldecc,0.69,31434.62
200,pc,1.0,89969.93
200,CMB,1.0,63544.48
200,MBbyMB,1.0,61292.0
