experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_7,100,pc,True,"['22', '11', '73', '29']","['29', '73']",29572
100_7,100,CMB,True,"['74', '88', '65', '73', '29', '22']","['29', '73']",11598
100_7,100,MBbyMB,True,"['63', '88', '92', '37', '82', '52', '73', '85', '26', '29', '22']","['29', '73']",14243
100_8,100,locpc,False,,['89'],2956
100_8,100,ldecc,True,"['89', '72']",['89'],1426
100_8,100,pc,True,[],['89'],24276
100_8,100,CMB,True,[],['89'],15493
100_8,100,MBbyMB,True,"['89', '60', '72', '94']",['89'],4367
100_9,100,locpc,False,,['42'],1758
100_9,100,ldecc,True,"['42', '4']",['42'],3012
100_9,100,pc,False,,['42'],21268
100_9,100,CMB,False,,['42'],2703
100_9,100,MBbyMB,True,"['32', '42']",['42'],844
100_10,100,locpc,False,,['70'],1901
100_10,100,ldecc,True,"['70', '17']",['70'],931
100_10,100,pc,False,,['70'],21397
100_10,100,CMB,True,['45'],['70'],28548
100_10,100,MBbyMB,True,"['45', '23']",['70'],4835
100_11,100,locpc,False,,['23'],6036
100_11,100,ldecc,True,[],['23'],9413
100_11,100,pc,True,[],['23'],23822
100_11,100,CMB,True,"['18', '75', '85', '60', '23', '68', '81']",['23'],21866
100_11,100,MBbyMB,True,"['18', '60', '83', '23', '65', '19']",['23'],21523
100_12,100,locpc,False,,['74'],4546
100_12,100,ldecc,True,"['74', '34']",['74'],9520
100_12,100,pc,False,,['74'],27417
100_12,100,CMB,True,"['74', '34', '72']",['74'],8146
100_12,100,MBbyMB,True,[],['74'],4185
100_13,100,locpc,False,,['92'],1818
100_13,100,ldecc,True,"['92', '60']",['92'],1949
100_13,100,pc,False,,['92'],22986
100_13,100,CMB,True,['38'],['92'],18836
100_13,100,MBbyMB,True,"['76', '5']",['92'],6475
100_14,100,locpc,True,[],"['2', '48']",177
100_14,100,ldecc,True,[],"['2', '48']",400
100_14,100,pc,True,[],"['2', '48']",22132
100_14,100,CMB,True,"['10', '45', '36', '18']","['2', '48']",5323
100_14,100,MBbyMB,True,"['45', '70']","['2', '48']",8669
100_15,100,locpc,False,,"['49', '90']",1144
100_15,100,ldecc,True,['49'],"['49', '90']",14599
100_15,100,pc,False,,"['49', '90']",19715
100_15,100,CMB,True,[],"['49', '90']",15557
100_15,100,MBbyMB,True,"['8', '48']","['49', '90']",8727
100_16,100,locpc,True,"['14', '10']","['10', '14', '53']",10247
