dag_size,method,identifiable_proportion,avg_nb_CI_tests
100,locpc,0.33,3011.46
100,ldecc,0.19,8956.08
100,pc,0.28,24436.2
100,CMB,0.01,13829.55
100,MBbyMB,0.0,12882.64
150,locpc,0.22,3761.37
150,ldecc,0.28,21227.46
150,pc,0.15,50671.31
150,CMB,0.0,46676.12
150,MBbyMB,0.0,31143.17
200,locpc,0.21,4730.42
200,ldecc,0.24,38972.39
200,pc,0.19,92458.54
200,CMB,0.0,88585.32
200,MBbyMB,0.0,59883.35
