construction,goods,targeted_greedy_prop1,algorithm1_prop1
G1 construction,252,0.015810,0.928571
G1 construction,256,0.015564,0.929688
G1 construction,260,0.015326,0.930769
G1 construction,264,0.015094,0.931818
G1 construction,268,0.014870,0.925373
G1 construction,272,0.014652,0.926471
G1 construction,276,0.014440,0.927536
G1 construction,280,0.014235,0.928571
G1 construction,284,0.014035,0.929577
G1 construction,288,0.013841,0.930556
G1 construction,292,0.013652,0.924658
G1 construction,296,0.013468,0.925676
G1 construction,300,0.013289,0.926667
G1 construction,304,0.013115,0.927632
G1 construction,308,0.012945,0.928571
G1 construction,312,0.012780,0.929487
G1 construction,316,0.012618,0.924051
G1 construction,320,0.012461,0.925000
G1 construction,324,0.012308,0.925926
G1 construction,328,0.012158,0.926829
G1 construction,332,0.012012,0.927711
G1 construction,336,0.011869,0.922619
G1 construction,340,0.011730,0.923529
G1 construction,344,0.011594,0.924419
G1 construction,348,0.011461,0.925287
G1 construction,352,0.011331,0.926136
G1 construction,356,0.011204,0.926966
G1 construction,360,0.011080,0.922222
G1 construction,364,0.010959,0.923077
G1 construction,368,0.010840,0.923913
G1 construction,372,0.010724,0.924731
G1 construction,376,0.010610,0.925532
G1 construction,380,0.010499,0.926316
G1 construction,384,0.010390,0.921875
G1 construction,388,0.010283,0.922680
G1 construction,392,0.010178,0.923469
G1 construction,396,0.010076,0.924242
G1 construction,400,0.009975,0.925000
G1 construction,404,0.009877,0.925743
G1 construction,408,0.009780,0.921569
G1 construction,412,0.009685,0.922330
G1 construction,416,0.009592,0.923077
G1 construction,420,0.009501,0.923810
G1 construction,424,0.009412,0.924528
G1 construction,428,0.009324,0.925234
G1 construction,432,0.009238,0.921296
G1 construction,436,0.009153,0.922018
G1 construction,440,0.009070,0.922727
G1 construction,444,0.008989,0.923423
G1 construction,448,0.008909,0.924107
G1 construction,452,0.008830,0.924779
G1 construction,456,0.008753,0.921053
G1 construction,460,0.008677,0.921739
G1 construction,464,0.008602,0.922414
G1 construction,468,0.008529,0.923077
G1 construction,472,0.008457,0.923729
G1 construction,476,0.008386,0.920168
G1 construction,480,0.008316,0.920833
G1 construction,484,0.008247,0.921488
G1 construction,488,0.008180,0.922131
G1 construction,492,0.008114,0.922764
G1 construction,496,0.008048,0.923387
G1 construction,500,0.007984,0.920000
G2 construction,4,1.000000,1.000000
G2 construction,8,0.500000,1.000000
G2 construction,12,0.333333,1.000000
G2 construction,16,0.250000,1.000000
G2 construction,20,0.200000,1.000000
G2 construction,24,0.166667,1.000000
G2 construction,28,0.142857,1.000000
G2 construction,32,0.125000,1.000000
G2 construction,36,0.111111,1.000000
G2 construction,40,0.100000,1.000000
G2 construction,44,0.090909,1.000000
G2 construction,48,0.083333,1.000000
G2 construction,52,0.076923,1.000000
G2 construction,56,0.071429,1.000000
G2 construction,60,0.066667,1.000000
G2 construction,64,0.062500,1.000000
G2 construction,68,0.058824,1.000000
G2 construction,72,0.055556,1.000000
G2 construction,76,0.052632,1.000000
G2 construction,80,0.050000,1.000000
G2 construction,84,0.047619,1.000000
G2 construction,88,0.045455,1.000000
G2 construction,92,0.043478,1.000000
G2 construction,96,0.041667,1.000000
G2 construction,100,0.040000,1.000000
G2 construction,104,0.038462,1.000000
G2 construction,108,0.037037,1.000000
G2 construction,112,0.035714,1.000000
G2 construction,116,0.034483,1.000000
G2 construction,120,0.033333,1.000000
G2 construction,124,0.032258,1.000000
G2 construction,128,0.031250,1.000000
G2 construction,132,0.030303,1.000000
G2 construction,136,0.029412,1.000000
G2 construction,140,0.028571,1.000000
G2 construction,144,0.027778,1.000000
G2 construction,148,0.027027,1.000000
G2 construction,152,0.026316,1.000000
G2 construction,156,0.025641,1.000000
G2 construction,160,0.025000,1.000000
G2 construction,164,0.024390,1.000000
G2 construction,168,0.023810,1.000000
G2 construction,172,0.023256,1.000000
