seed,instance,best_f_cma,best_f_berw,label,dim,hidden_dim,max_steps,force_noise_std,noise_df,objective,x_threshold,theta_threshold_deg,terminate_penalty,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,1,16.709733769813326,24.775336027017126,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.28444444444444444,0.13333333333333333,3.159222256958255,0.002852708273397788
10,10,101.12087394585929,492.9294650342855,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.1688888888888889,10.252535812608892,0.004481695580809192
11,11,36.64497661238224,418.8793874371914,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.3022222222222222,2.194274507579433,0.005869848036732548
12,12,290.4749384062501,201.5716001395051,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.2755555555555556,9.287092340448096,0.0029863613135266798
13,13,29.457119135263973,32.451742546939776,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.21333333333333335,2.781925882909735,0.005686111210191168
14,14,501.1714813621645,44.360477668548214,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1511111111111111,0.19555555555555554,8.54110861535,0.003854596945746071
15,15,281.52623042487636,200.62588715416774,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.19555555555555554,4.03070635490115,0.005387935885008283
16,16,23.95094712035236,114.28557336438382,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.24000000000000002,1.6069780565921001,0.006387946215205345
17,17,15.764974192521736,186.68274691724906,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.12444444444444444,3.3801037078182334,0.02052767818699521
18,18,179.41614262585375,31.639712415749326,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.1688888888888889,5.668034023493581,0.00630093312733279
19,19,27.078731517561195,41.30374466654884,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.13333333333333333,7.893550881521105,0.003686258811083382
2,2,36.40565454487394,178.14188136163165,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.08888888888888888,3.9596930894837246,0.005269818834999011
20,20,38.230316471967825,205.13617161064687,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.11555555555555556,0.2755555555555556,2.6108788613682488,0.006608877801551629
21,21,184.2953303521325,61.21961866367744,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.16,6.432966435665343,0.004982239470412839
22,22,81.27653775636918,401.16015712807746,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.19555555555555554,2.6332334614557706,0.016130126444701794
23,23,88.67205304600984,281.49324595728757,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.3555555555555555,0.3288888888888889,2.0998894409414484,0.0066838144482643125
24,24,80.90116840483063,222.3709486852502,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.09777777777777777,0.19555555555555554,4.000875394700362,0.00474588117317269
25,25,70.69011655916735,107.6516076443833,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.17777777777777776,5.79786212298997,0.005069115884727348
26,26,22.50261069328746,54.676718340777654,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.26666666666666666,4.285106972150551,0.0021403089124182087
27,27,40.787003634472285,185.46497538780548,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.19555555555555554,0.1688888888888889,6.365665428741181,0.006780522037258944
28,28,123.96161069383072,28.660632752568493,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.22222222222222224,5.9935328069896965,0.011591442279254552
29,29,18.306598763996664,144.11024796619319,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.26666666666666666,0.20444444444444446,5.515027411445129,0.006577282238444719
3,3,154.49521103328874,50.64217089602823,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.18666666666666665,4.371434462608616,0.005670337328220783
30,30,373.5304156688227,129.20735000698306,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.14222222222222222,1.6523235832505037,0.0053592335837822505
31,31,37.39231390146891,50.2098576474817,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.19555555555555554,2.9125162838080096,0.005158879837561594
32,32,125.81669351883164,61.67676044454032,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.18666666666666665,0.14222222222222222,5.725988527260931,0.00862354278041976
33,33,21.160829652807905,376.0407855561931,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.28444444444444444,0.18666666666666665,4.108797545786244,0.006900070357626476
34,34,34.61599756929371,46.488085021877914,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.3022222222222222,0.09777777777777777,3.305673500899336,0.005067104928743959
35,35,30.46552686551606,615.439947380604,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.13333333333333333,7.664133797502287,0.0066173937889575105
36,36,18.046936315068507,77.84704759503836,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.24888888888888888,12.40042121130274,0.00468547754008959
37,37,208.81043810031696,146.77231176840687,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.24888888888888888,1.931432557633064,0.005827264581619198
38,38,141.68863897868232,433.1986163238769,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1688888888888889,0.20444444444444446,11.847212428080933,0.005053468658165246
39,39,18.357188612574554,39.570120137466176,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.11555555555555556,0.18666666666666665,3.1410247106724114,0.0076774080247306335
4,4,357.8230836468514,179.75483431012862,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.16,5.493398616689263,0.00484493967607519
40,40,27.291429067354624,518.4883344928842,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.26666666666666666,0.08888888888888888,26.736101920383106,0.008937100505330083
41,41,364.6285510827716,444.594365544996,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.21333333333333335,2.468368756566403,0.00448975660940334
42,42,140.33790706671687,26.914361896147422,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1688888888888889,0.1511111111111111,7.703078364485316,0.006562252583049358
43,43,53.101768506603634,388.43439874582344,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.28444444444444444,2.913448687841746,0.006002156453670671
44,44,148.90154152902358,24.28710831580529,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1511111111111111,0.14222222222222222,6.828220433090178,0.009190171327448985
45,45,16.75093741009642,34.06939073494478,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.06222222222222222,0.13333333333333333,5.564050193524304,0.006393790336556972
46,46,43.49556452516843,182.2594561169948,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.17777777777777776,2.302211958188551,0.004057620389504266
47,47,200.11006336702184,161.61518659377114,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.07111111111111111,0.16,3.728260969268568,0.005513154313152174
48,48,30.660617542148827,148.7879085622431,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.14222222222222222,6.92759881812384,0.005314046017979112
49,49,15.488813658834061,26.352461658546805,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.2577777777777778,1.7594102893432577,0.004928867533602031
5,5,40.098280512637096,279.6642785049364,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.19555555555555554,2.682326080909718,0.00353216100419752
50,50,152.77537249810604,53.5156975321323,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.16,17.69541175764297,0.00748009601497108
6,6,59.286065734734194,146.51954069898136,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.10666666666666667,4.178710731249065,0.0038336618747074397
7,7,54.30869968149583,93.44090583474534,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.16,1.7173275591872967,0.005543186833031905
8,8,239.3911173593164,408.7693279836286,cma,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.1688888888888889,21.827250403037,0.005610567759673293
9,9,121.69190410106566,26.19787468856522,berw,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.20444444444444446,2.3608688616368663,0.004269112546464746
