Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD,Max_strength.perceptual,Minkowski3.perceptual,Exclusivity.perceptual,Dominant.perceptual,Max_strength.action,Minkowski3.action,Exclusivity.action,Dominant.action,Max_strength.sensorimotor,Minkowski3.sensorimotor,Exclusivity.sensorimotor,Dominant.sensorimotor,N_known.perceptual,List_N.perceptual,Percent_known.perceptual,N_known.action,List_N.action,Percent_known.action,Mean_age.perceptual,Mean_age.action,List#.perceptual,List#.action
ABDUCT,1.736842105,0,1,0.578947368,0.105263158,2.894736842,1.95,2.55,2.35,1.85,1.7,1.790161547,0,1.374368542,1.017392608,0.315301768,1.969058908,1.848897253,1.848897253,1.843195166,1.814415956,1.657518754,2.894736842,3.130910426,0.458333333,Visual,2.55,3.639753586,0.081730769,Hand_arm,2.894736842,4.289206984,0.173173804,Visual,19,19,1,20,21,0.952380952,37.21052632,34.75,PN_Sample_303.csv,MN_sample_303.csv
ABDUCTEE,1.25,0.1,0.6,0.55,0.1,2.9,1.411764706,1.823529412,2.352941176,1.411764706,1.529411765,1.618153594,0.447213595,1.313893371,1.538112309,0.447213595,1.916685736,1.872792819,1.975958442,1.93459222,1.73417212,1.907801322,2.9,2.989835973,0.509090909,Visual,2.352941176,3.047228115,0.110344828,Head,2.9,3.803455741,0.199580713,Visual,20,20,1,17,19,0.894736842,39.9,39.35294118,PN_Sample_423.csv,MN_sample_423.csv
ABDUCTION,2.058823529,0,1.529411765,2.176470588,0,4,1.80952381,2.333333333,1.952380952,1.476190476,1.333333333,1.853057886,0,1.58578242,1.845104811,0,1.17260394,2.112322126,2.373464416,2.246690688,1.88730092,1.932183566,4,4.424489624,0.409638554,Visual,2.333333333,3.16345228,0.112299465,Hand_arm,4,4.908638336,0.214253563,Visual,17,17,1,21,21,1,39.64705882,33.33333333,PN_Sample_479.csv,MN_sample_479.csv
ABDUCTOR,2.352941176,0.294117647,1.823529412,0.941176471,0.352941176,3.058823529,1.222222222,2,2.388888889,1.444444444,1.222222222,1.93459222,1.212678125,2.007339474,1.748949264,1.221739358,1.983386883,1.895988197,2.114376559,2.118237027,1.976991839,1.895988197,3.058823529,3.64964824,0.313333333,Visual,2.388888889,3.047330189,0.140939597,Head,3.058823529,4.252685727,0.161666348,Visual,17,18,0.944444444,18,18,1,31.0625,36.27777778,PN_Sample_770.csv,MN_sample_770.csv
ABHOR,1.695652174,0,0.173913043,2.086956522,0.173913043,1.782608696,0.111111111,0.222222222,1.833333333,1.111111111,0.111111111,1.717153633,0,0.650326765,2.213862184,0.834057656,1.650248514,0.471404521,0.646761667,1.382665797,1.3234931,0.323380833,2.086956522,2.698032854,0.352941176,Interoceptive,1.833333333,1.96155719,0.508196721,Head,2.086956522,3.006928668,0.22435731,Interoceptive,23,28,0.821428571,18,21,0.857142857,37.82608696,36.22222222,PN_Sample_810.csv,MN_sample_810.csv
ABHORRENCE,1.3125,0.1875,0.5,2.75,0.4375,1.5,0.588235294,0.705882353,3.529411765,1.470588235,0.647058824,1.662077014,0.543905629,1.154700538,1.914854216,1.030776406,2,1.227743027,1.263165957,1.662740474,1.73629084,1.411611511,2.75,2.986913119,0.38317757,Interoceptive,3.529411765,3.633521872,0.423728814,Head,3.529411765,4.210023255,0.245211762,Head,16,21,0.761904762,17,20,0.85,36.25,40.58823529,PN_Sample_201.csv,MN_sample_201.csv
ABHORRENTLY,2.266666667,0.866666667,0.466666667,2.733333333,1,2.266666667,0.043478261,0.086956522,1.739130435,1.304347826,0,1.830950833,1.457329587,0.639940473,2.153623746,1.558387445,1.830950833,0.208514414,0.288104066,1.93572611,1.844766125,0,2.733333333,3.569099959,0.236111111,Interoceptive,1.739130435,1.955691184,0.547945205,Head,2.733333333,3.754983023,0.213977763,Interoceptive,15,19,0.789473684,23,25,0.92,39.6,38,PN_Sample_677.csv,MN_sample_677.csv
ABHORRING,1,0.2,0,3.2,0.2,1.4,0.5,1.0625,3.0625,1.875,0.6875,1.414213562,0.560611911,0,2.111194652,0.560611911,1.804755623,1.032795559,1.652018967,1.806239187,1.784189825,1.195477589,3.2,3.317991721,0.533333333,Interoceptive,3.0625,3.331144125,0.356521739,Head,3.2,4.188709497,0.242654028,Interoceptive,15,19,0.789473684,16,20,0.8,37.13333333,38.25,PN_Sample_651.csv,MN_sample_651.csv
ABIDE,1.1875,0.0625,0.4375,1.1875,0.1875,1.6875,0.578947368,0.789473684,2.105263158,1.421052632,0.789473684,1.515200757,0.25,1.263262971,1.600781059,0.543905629,1.887458609,1.070606758,1.272746259,1.940639552,1.835325871,1.43677677,1.6875,2.020221293,0.342105263,Visual,2.105263158,2.373944225,0.268518519,Head,2.105263158,2.78597338,0.195775536,Head,16,18,0.888888889,19,19,1,38,35.63157895,PN_Sample_179.csv,MN_sample_179.csv
ABIDING,0.533333333,0.133333333,0.133333333,1.466666667,0.2,0.6,0.555555556,0.888888889,2.388888889,0.888888889,0.666666667,1.125462868,0.516397779,0.516397779,1.884776101,0.774596669,0.985610761,0.921777198,1.490711985,1.974510777,1.450715397,1.137592918,1.466666667,1.52339721,0.434782609,Interoceptive,2.388888889,2.493600459,0.340206186,Head,2.388888889,2.670306693,0.266754271,Head,15,17,0.882352941,18,20,0.9,32.46666667,40,PN_Sample_092.csv,MN_sample_092.csv
