init_top30,bo_top30
-9.699999809265137,-11.100000381469728
-9.600000381469728,-11.100000381469728
-9.5,-10.899999618530272
-9.399999618530272,-10.800000190734863
-9.399999618530272,-10.699999809265137
-9.300000190734863,-10.600000381469728
-9.300000190734863,-10.399999618530272
-9.199999809265137,-10.399999618530272
-9.0,-10.300000190734863
-8.899999618530273,-10.300000190734863
-8.899999618530273,-10.199999809265137
-8.899999618530273,-10.199999809265137
-8.899999618530273,-10.199999809265137
-8.600000381469727,-10.100000381469728
-8.600000381469727,-10.100000381469728
-8.5,-10.0
-8.5,-10.0
-8.5,-9.899999618530272
-8.5,-9.899999618530272
-8.399999618530273,-9.800000190734863
-8.399999618530273,-9.800000190734863
-8.399999618530273,-9.600000381469728
-8.399999618530273,-9.600000381469728
-8.300000190734863,-9.600000381469728
-8.300000190734863,-9.5
-8.300000190734863,-9.5
-8.199999809265137,-9.5
-8.199999809265137,-9.5
-8.199999809265137,-9.399999618530272
-8.199999809265137,-9.399999618530272
