M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.09,0.98,0.94,0.91
128,1.00,1.10,0.99,1.00,0.98
256,1.00,1.13,1.01,1.00,0.95
512,1.00,1.09,0.98,0.96,0.92
