algorithm,n_runs,median_post_mean,median_post_median,median_post_cvar20
BERW-HeteroRobust,8,2589.917658447553,2364.1415495374254,4011.1620021539093
CMA-ES-sep,8,2851.9567051469858,2421.967224825297,4498.695039285567
ProbeSwitch-MR(t=0.12),8,2652.601361540522,2301.4225161652585,4297.036484727934
ProbeSwitch-Noise-Warmstart,8,2679.9457416940427,2416.88369371324,4157.321258672727
ProbeSwitch-Var,8,2598.5794850696143,2359.9135337050348,4100.166265535359
