algorithm,seed,budget,evaluations,best_observed,post_mean_best_observed,post_median_best_observed,post_cvar20_best_observed,post_mean,post_median,post_cvar20,postselect_k
BERW-HeteroRobust,1,800,800,1749.793448208423,2983.1947644255533,2646.2123049476963,4784.87802198151,957.4056211381163,761.6802402401571,2018.664695287578,10
BERW-HeteroRobust,2,800,800,1646.8981328551556,3301.368340140255,2647.2820823028624,6501.244763463725,2532.5877229799253,2380.004204734505,3702.0812757776253,10
BERW-HeteroRobust,3,800,800,2220.8941712177234,4173.227292497405,3800.27252187582,6282.941728623387,3633.3834225089718,3284.624985945681,5561.707592569534,10
BERW-HeteroRobust,4,800,800,1663.2892910719474,2795.0598297387096,2573.1192430810856,4206.532323028906,1724.6936820184087,1264.1713627305123,3891.961530800958,10
BERW-HeteroRobust,5,800,800,2351.4237538525326,4627.937211199466,4243.448958519142,6998.911671676232,3792.6153505537595,3537.256024809102,5516.48836084776,10
BERW-HeteroRobust,6,800,800,1664.553513207385,2806.093004495923,2586.123253278736,4371.238386922609,2647.247593915181,2348.2788943403457,4161.585090247299,10
BERW-HeteroRobust,7,800,800,1804.2327872278315,3772.262433045801,2776.9165439310723,8140.062575715099,2822.7264792522246,2636.1675150581686,3919.2405516648923,10
BERW-HeteroRobust,8,800,800,1960.671879683663,3288.3999693761434,3021.198130018638,5069.590451030206,2005.7750353262252,1584.56857899249,4103.083452642926,10
CMA-ES-sep,1,800,800,2009.466039893413,3317.0329868971603,2843.8519104473344,5674.647738979405,957.4056211381163,761.6802402401571,2018.664695287578,10
CMA-ES-sep,2,800,800,2576.757888294215,4092.9356246728707,3244.7097437440407,7870.668792779814,2826.477048338591,2299.5824322367416,5660.9923053300645,10
CMA-ES-sep,3,800,800,1696.3358696492226,3194.7636689054652,2881.169758958593,5022.1086399475835,2877.43636195538,2544.352017413852,4739.683882886075,10
CMA-ES-sep,4,800,800,2004.1291453489866,3025.9760828069,2792.6983282176125,4516.042908424619,1724.6936820184087,1264.1713627305123,3891.961530800958,10
CMA-ES-sep,5,800,800,2791.714694532311,4662.1116896723115,4404.371495597916,6623.765740631512,4177.173658236079,3901.7503865959934,5965.7999023540815,10
CMA-ES-sep,6,800,800,2141.179818811408,5728.426822489015,3468.325793382802,15287.052296073192,3423.3439352296423,3057.6222954688847,5515.402319296992,10
CMA-ES-sep,7,800,800,2074.141265551604,4931.722423071336,2978.337418336544,13144.382211874256,2935.7777056938676,2677.207236699174,4257.70619568506,10
CMA-ES-sep,8,800,800,1850.641106792854,2885.3924826148177,2687.3868325664816,4329.146013505396,2005.7750353262252,1584.56857899249,4103.083452642926,10
ProbeSwitch-MR(t=0.12),1,800,800,1967.6013354493227,3095.6657327658895,2639.4705124219086,5282.363272345257,957.4056211381163,761.6802402401571,2018.664695287578,10
ProbeSwitch-MR(t=0.12),2,800,800,2100.436624643721,4487.208353221209,3239.847463219051,9822.8177053425,2826.477048338591,2299.5824322367416,5660.9923053300645,10
ProbeSwitch-MR(t=0.12),3,800,800,1695.9162708812478,3193.9719657419396,2946.983240248612,4884.046472627725,3040.8233282282613,2873.567826013279,4490.989516812942,10
ProbeSwitch-MR(t=0.12),4,800,800,1870.8339940917901,3345.707990807555,3152.8547132612234,4768.164832476921,1724.6936820184087,1264.1713627305123,3891.961530800958,10
ProbeSwitch-MR(t=0.12),5,800,800,2743.2312681096164,4205.395155175841,3668.4271012164627,7096.189185919816,3558.387572523372,3324.4629578177573,5169.154114636489,10
ProbeSwitch-MR(t=0.12),6,800,800,1990.1492697193423,3297.930519922065,3051.011371330207,5020.567985508351,3089.635247804972,2783.2382326354373,4931.941227033649,10
ProbeSwitch-MR(t=0.12),7,800,800,1671.529189686557,4099.733893745008,2490.748106584323,10888.601782821665,2478.725674742453,2303.262600093775,3563.0421376653144,10
ProbeSwitch-MR(t=0.12),8,800,800,1603.2069126187553,2898.9808867080833,2696.8305468077774,4488.877411977227,2005.7750353262252,1584.56857899249,4103.083452642926,10
ProbeSwitch-Noise-Warmstart,1,800,800,2090.1982667453603,3359.972836607906,2919.8588724834244,5670.223687752071,957.4056211381163,761.6802402401571,2018.664695287578,10
ProbeSwitch-Noise-Warmstart,2,800,800,2036.629794121033,4389.166362009343,3021.5982784764647,10312.226522273168,2471.0771970187307,2227.254802300772,3923.2751417881354,10
ProbeSwitch-Noise-Warmstart,3,800,800,1695.9162708812478,3193.9719657419396,2946.983240248612,4884.046472627725,3040.8233282282613,2873.567826013279,4490.989516812942,10
ProbeSwitch-Noise-Warmstart,4,800,800,2085.2086169154313,3242.501805413558,3008.795478912265,4691.918750187605,1724.6936820184087,1264.1713627305123,3891.961530800958,10
ProbeSwitch-Noise-Warmstart,5,800,800,2227.873366274436,3330.944799026454,2982.2723142680243,5135.6681393989575,3230.9265529711506,3089.8300486564026,4455.329426279676,10
ProbeSwitch-Noise-Warmstart,6,800,800,1902.9600276625572,3377.6478992749812,3052.3512702351695,5079.094510321387,2989.6891615091968,2606.512585125708,4947.4283347133305,10
ProbeSwitch-Noise-Warmstart,7,800,800,1747.950535227491,5159.108345131052,3058.329328102607,14095.844788294142,2888.8142863693547,2712.4245371648594,4211.559064702527,10
ProbeSwitch-Noise-Warmstart,8,800,800,2284.316787291762,6092.284305997858,5775.2590428381045,8828.759076742079,2005.7750353262252,1584.56857899249,4103.083452642926,10
ProbeSwitch-Var,1,800,800,462.4213760099793,1076.835754325566,772.1879167824385,2461.3235307833847,957.4056211381163,761.6802402401571,2018.664695287578,10
ProbeSwitch-Var,2,800,800,796.0822930413755,3558.1963167067993,2070.520519962064,9828.720240109187,2415.5134146830387,2205.060875258081,3612.4641226161507,10
ProbeSwitch-Var,3,800,800,728.2877581432492,3854.8178524188233,3281.4495550931224,7754.681932342359,2966.8295242732775,2773.233662168668,4558.688903323753,10
ProbeSwitch-Var,4,800,800,740.5841976238077,1497.5480459213888,1230.4463017784792,2883.511882410088,1724.6936820184087,1264.1713627305123,3891.961530800958,10
ProbeSwitch-Var,5,800,800,1925.3781252724016,13273.674232095784,8896.65156947307,34974.77125223411,3370.359763368199,3141.497815989848,4810.441759104454,10
ProbeSwitch-Var,6,800,800,1610.8012116625207,3226.546790972855,2898.6629619951955,5098.322908424806,2961.6189701336752,2514.766192151989,5191.790082158241,10
ProbeSwitch-Var,7,800,800,613.0657729190435,5457.514335467013,2546.3824354961516,17997.32795476165,2781.64555545619,2559.742871649665,4097.2490784277925,10
ProbeSwitch-Var,8,800,800,636.63707310764,2034.2321084412802,1642.6339250462474,3930.2034362706127,2005.7750353262252,1584.56857899249,4103.083452642926,10
