seed,dim,hidden_dim,max_steps,force_noise_std,noise_df,objective,x_threshold,theta_threshold_deg,terminate_penalty,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.28444444444444444,0.13333333333333333,3.159222256958255,0.002852708273397788
2,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.08888888888888888,3.9596930894837246,0.005269818834999011
3,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.18666666666666665,4.371434462608616,0.005670337328220783
4,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.16,5.493398616689263,0.00484493967607519
5,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.19555555555555554,2.682326080909718,0.00353216100419752
6,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.10666666666666667,4.178710731249065,0.0038336618747074397
7,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.16,1.7173275591872967,0.005543186833031905
8,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.1688888888888889,21.827250403037,0.005610567759673293
9,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.20444444444444446,2.3608688616368663,0.004269112546464746
10,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.1688888888888889,10.252535812608892,0.004481695580809192
11,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.3022222222222222,2.194274507579433,0.005869848036732548
12,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.2755555555555556,9.287092340448096,0.0029863613135266798
13,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.21333333333333335,2.781925882909735,0.005686111210191168
14,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1511111111111111,0.19555555555555554,8.54110861535,0.003854596945746071
15,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.19555555555555554,4.03070635490115,0.005387935885008283
16,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.24000000000000002,1.6069780565921001,0.006387946215205345
17,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.12444444444444444,3.3801037078182334,0.02052767818699521
18,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.1688888888888889,5.668034023493581,0.00630093312733279
19,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.13333333333333333,7.893550881521105,0.003686258811083382
20,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.11555555555555556,0.2755555555555556,2.6108788613682488,0.006608877801551629
21,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.16,6.432966435665343,0.004982239470412839
22,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.19555555555555554,2.6332334614557706,0.016130126444701794
23,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.3555555555555555,0.3288888888888889,2.0998894409414484,0.0066838144482643125
24,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.09777777777777777,0.19555555555555554,4.000875394700362,0.00474588117317269
25,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.17777777777777776,5.79786212298997,0.005069115884727348
26,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.10666666666666667,0.26666666666666666,4.285106972150551,0.0021403089124182087
27,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.19555555555555554,0.1688888888888889,6.365665428741181,0.006780522037258944
28,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.17777777777777776,0.22222222222222224,5.9935328069896965,0.011591442279254552
29,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.26666666666666666,0.20444444444444446,5.515027411445129,0.006577282238444719
30,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.14222222222222222,1.6523235832505037,0.0053592335837822505
31,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.19555555555555554,2.9125162838080096,0.005158879837561594
32,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.18666666666666665,0.14222222222222222,5.725988527260931,0.00862354278041976
33,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.28444444444444444,0.18666666666666665,4.108797545786244,0.006900070357626476
34,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.3022222222222222,0.09777777777777777,3.305673500899336,0.005067104928743959
35,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.21333333333333335,0.13333333333333333,7.664133797502287,0.0066173937889575105
36,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.24888888888888888,12.40042121130274,0.00468547754008959
