seed,dim,hidden_dim,max_steps,force_noise_std,noise_df,objective,x_threshold,theta_threshold_deg,terminate_penalty,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
37,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.13333333333333333,0.24888888888888888,1.931432557633064,0.005827264581619198
38,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1688888888888889,0.20444444444444446,11.847212428080933,0.005053468658165246
39,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.11555555555555556,0.18666666666666665,3.1410247106724114,0.0076774080247306335
40,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.26666666666666666,0.08888888888888888,26.736101920383106,0.008937100505330083
41,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.20444444444444446,0.21333333333333335,2.468368756566403,0.00448975660940334
42,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1688888888888889,0.1511111111111111,7.703078364485316,0.006562252583049358
43,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.22222222222222224,0.28444444444444444,2.913448687841746,0.006002156453670671
44,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.1511111111111111,0.14222222222222222,6.828220433090178,0.009190171327448985
45,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.06222222222222222,0.13333333333333333,5.564050193524304,0.006393790336556972
46,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.12444444444444444,0.17777777777777776,2.302211958188551,0.004057620389504266
47,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.07111111111111111,0.16,3.728260969268568,0.005513154313152174
48,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.24888888888888888,0.14222222222222222,6.92759881812384,0.005314046017979112
49,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.16,0.2577777777777778,1.7594102893432577,0.004928867533602031
50,43,7,200,3.0,3.0,quadratic_cost,2.4,12.0,5.0,0.14222222222222222,0.16,17.69541175764297,0.00748009601497108
