INFO - main.py - 2026-03-21 21:12:20,175 - Namespace(dataname='ACS_income_AZ', gpu=0, log_path='./classification_process/discrete_log_42/ACS_income_AZ/train/several_sigma_error_diff_train_260321_21-12-20', mode='train', comment='several_sigma_error_diff_EDM_3.0', use_weight=True, temperature=3.0, weight_criterion='several_timestep_error_diff', method='several_sigma_error_diff', non_param_dro=False, chi2_eta=None, cvar_alpha=None, kappa=None, tau=None, alpha=1, error_reflection='softmax', timestep_weight_criterion='EDM', single_sigma_index=None, selected_several_sigma_indices=None, eval_attribute=None, evaluated_model_path=None, seed=42, baseline_method=None, K=32, device='cuda:0')
INFO - main.py - 2026-03-21 21:12:44,895 - Update model in epoch 69, 0.17 < 0.17
INFO - main.py - 2026-03-21 21:12:45,175 - Update model in epoch 70, 0.17 < 0.17
INFO - main.py - 2026-03-21 21:12:45,182 - Epoch 70, training loss: 0.17
INFO - main.py - 2026-03-21 21:12:45,194 - Epoch 70, test acc: 0.79
INFO - main.py - 2026-03-21 21:12:45,913 - Update model in epoch 73, 0.16 < 0.17
INFO - main.py - 2026-03-21 21:12:46,745 - Update model in epoch 76, 0.16 < 0.16
INFO - main.py - 2026-03-21 21:12:47,748 - Update model in epoch 80, 0.16 < 0.16
INFO - main.py - 2026-03-21 21:12:47,755 - Epoch 80, training loss: 0.16
INFO - main.py - 2026-03-21 21:12:47,768 - Epoch 80, test acc: 0.78
INFO - main.py - 2026-03-21 21:12:47,952 - Update model in epoch 81, 0.15 < 0.16
INFO - main.py - 2026-03-21 21:12:48,232 - Update model in epoch 82, 0.15 < 0.15
INFO - main.py - 2026-03-21 21:12:48,517 - Update model in epoch 83, 0.15 < 0.15
INFO - main.py - 2026-03-21 21:12:48,803 - Update model in epoch 84, 0.15 < 0.15
INFO - main.py - 2026-03-21 21:12:49,263 - Update model in epoch 86, 0.15 < 0.15
INFO - main.py - 2026-03-21 21:12:49,548 - Update model in epoch 87, 0.14 < 0.15
INFO - main.py - 2026-03-21 21:12:49,826 - Update model in epoch 88, 0.14 < 0.14
INFO - main.py - 2026-03-21 21:12:50,288 - Epoch 90, training loss: 0.14
INFO - main.py - 2026-03-21 21:12:50,299 - Epoch 90, test acc: 0.79
INFO - main.py - 2026-03-21 21:12:50,570 - Update model in epoch 91, 0.14 < 0.14
INFO - main.py - 2026-03-21 21:12:52,888 - Epoch 100, training loss: 0.14
INFO - main.py - 2026-03-21 21:12:52,901 - Epoch 100, test acc: 0.78
INFO - main.py - 2026-03-21 21:12:53,623 - Update model in epoch 103, 0.13 < 0.14
INFO - main.py - 2026-03-21 21:12:53,900 - Update model in epoch 104, 0.13 < 0.13
INFO - main.py - 2026-03-21 21:12:54,089 - Update model in epoch 105, 0.12 < 0.13
INFO - main.py - 2026-03-21 21:12:54,642 - Update model in epoch 107, 0.12 < 0.12
INFO - main.py - 2026-03-21 21:12:54,916 - Update model in epoch 108, 0.12 < 0.12
INFO - main.py - 2026-03-21 21:12:55,374 - Epoch 110, training loss: 0.12
INFO - main.py - 2026-03-21 21:12:55,386 - Epoch 110, test acc: 0.78
INFO - main.py - 2026-03-21 21:12:55,665 - Update model in epoch 111, 0.12 < 0.12
INFO - main.py - 2026-03-21 21:12:55,942 - Update model in epoch 112, 0.12 < 0.12
INFO - main.py - 2026-03-21 21:12:56,131 - Update model in epoch 113, 0.12 < 0.12
INFO - main.py - 2026-03-21 21:12:57,951 - Epoch 120, training loss: 0.12
INFO - main.py - 2026-03-21 21:12:57,963 - Epoch 120, test acc: 0.77
INFO - main.py - 2026-03-21 21:12:58,149 - Update model in epoch 121, 0.11 < 0.12
INFO - main.py - 2026-03-21 21:12:58,439 - Update model in epoch 122, 0.11 < 0.11
INFO - main.py - 2026-03-21 21:12:58,725 - Update model in epoch 123, 0.11 < 0.11
