regime,dataset,train_size,test_size,mean_max_similarity,median_max_similarity,std_max_similarity,min_max_similarity,max_max_similarity,mean_mean_similarity,very_similar_pct,similar_pct,moderate_pct,different_pct,train_solvents,test_solvents,overlapping_solvents,novel_test_solvents,exact_match_pct
I,aqsoldb,7480.0,832.0,0.6402872924294065,0.6203448275862069,0.18972548325772984,0.05555555555555555,1.0,0.08491378015461991,18.75,37.98076923076923,33.05288461538461,10.216346153846153,,,,,
I,esol,902.0,226.0,0.5776036076904846,0.5714285714285714,0.19398925988482013,0.06666666666666667,1.0,0.07843438211553641,13.716814159292035,30.088495575221238,37.16814159292036,19.02654867256637,,,,,
I,sc2,8312.0,100.0,0.6430916386374139,0.614066193853428,0.23474433114934123,0.24242424242424243,1.0,0.08766898847253277,27.0,28.0,29.0,16.0,,,,,
II,bigsol1.0,,,0.3871218527226286,0.375,0.17905197882176035,0.09090909090909091,0.9230769230769231,0.10485791595681693,5.504587155963303,0.9174311926605505,33.027522935779814,60.55045871559633,19.0,109.0,0.0,109.0,0.0
II,bigsol2.0,,,0.386451511653513,0.36363636363636365,0.2064371933762133,0.0,1.0,0.1072038221711999,7.909604519774011,1.1299435028248588,29.37853107344633,61.016949152542374,21.0,177.0,0.0,177.0,0.5649717514124294
II,leeds,,,1.0,1.0,0.0,1.0,1.0,0.1183502074764714,0.0,0.0,0.0,0.0,126.0,3.0,2.0,1.0,100.0
