regime,dataset,total_samples,valid_samples,mean_similarity,median_similarity,std_similarity,min_similarity,max_similarity,unique_pairs
I,aqsoldb_train,7480,7479,0.001184127895763131,0.0,0.008447415383386333,0.0,0.25,
I,aqsoldb_test,832,832,0.0009401812502950797,0.0,0.007502649342441959,0.0,0.1111111111111111,
I,esol_train,902,902,0.0011108416917865649,0.0,0.009388597142778359,0.0,0.1111111111111111,
I,esol_test,226,226,0.001503179711144313,0.0,0.012664940974594568,0.0,0.16666666666666666,
I,sc2_train,8312,8311,0.0011597068141809609,0.0,0.008357969126940652,0.0,0.25,
I,sc2_test,100,100,0.0005551387846961741,0.0,0.003937762946062919,0.0,0.03225806451612903,
II,bigsol1.0_train,38540,38540,0.05043439583094164,0.037037037037037035,0.05490230018780538,0.0,0.9230769230769231,4183.0
II,bigsol1.0_test,9137,9137,0.06554473657000838,0.045454545454545456,0.0761524460241893,0.0,1.0,1122.0
II,bigsol2.0_train,71648,71648,0.05235953139610451,0.038461538461538464,0.055358924292678365,0.0,0.9230769230769231,7912.0
II,bigsol2.0_test,17803,17803,0.0664471962301348,0.046511627906976744,0.07893343397458515,0.0,1.0,2176.0
II,leeds_train,46206,46206,0.052013229863423334,0.038461538461538464,0.057020511451781976,0.0,1.0,5143.0
II,leeds_test,1469,1469,0.07283839028273718,0.0625,0.05634480611652543,0.0,0.3333333333333333,1469.0
