M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,7807.408,9048.636,7729.695,7567.452,7330.209
128,11430.665,12812.021,11722.491,11329.029,10941.019
256,11741.643,13771.457,12739.449,12184.730,11758.045
512,9992.338,11799.439,10747.079,10312.037,9842.821
