M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.11,1.09,1.04,1.02
128,1.00,1.18,1.09,1.07,1.04
256,1.00,1.16,1.08,1.03,1.06
512,1.00,1.15,1.05,1.03,1.02
