env,algorithm,config,run,mc_mean,mc_stddev
sailing,UCT,bias=auto,eps=0.100000,0,-18.713,20.8023
sailing,UCT,bias=auto,eps=0.100000,1,-21.6895,21.8786
sailing,UCT,bias=auto,eps=0.100000,2,-36.911,16.14
sailing,UCT,bias=auto,eps=0.100000,3,-33.9585,18.1749
sailing,UCT,bias=auto,eps=0.100000,4,-21.056,22.0306
sailing,UCT,bias=auto,eps=0.100000,5,-16.316,20.5004
sailing,UCT,bias=auto,eps=0.100000,6,-21.169,21.5807
sailing,UCT,bias=auto,eps=0.100000,7,-23.2235,21.4433
sailing,UCT,bias=auto,eps=0.100000,8,-20.5275,22.0659
sailing,UCT,bias=auto,eps=0.100000,9,-16.994,20.0549
sailing,UCT,bias=auto,eps=0.100000,10,-19.7775,21.6004
sailing,UCT,bias=auto,eps=0.100000,11,-19.068,21.3303
sailing,UCT,bias=auto,eps=0.100000,12,-19.0275,21.177
sailing,UCT,bias=auto,eps=0.100000,13,-17.7585,20.6306
sailing,UCT,bias=auto,eps=0.100000,14,-22.673,20.8348
sailing,UCT,bias=auto,eps=0.100000,15,-16.6315,20.8807
sailing,UCT,bias=auto,eps=0.100000,16,-18.8605,21.3688
sailing,UCT,bias=auto,eps=0.100000,17,-18.561,21.2373
sailing,UCT,bias=auto,eps=0.100000,18,-17.242,20.4605
sailing,UCT,bias=auto,eps=0.100000,19,-21.7835,21.6211
sailing,UCT,bias=auto,eps=0.100000,20,-18.072,21.5131
sailing,UCT,bias=auto,eps=0.100000,21,-18.0325,20.1041
sailing,UCT,bias=auto,eps=0.100000,22,-17.7635,21.1678
sailing,UCT,bias=auto,eps=0.100000,23,-16.182,20.8823
sailing,UCT,bias=auto,eps=0.100000,24,-18.4025,21.6895
sailing,UCT,bias=auto,eps=0.100000,25,-20.135,20.9502
sailing,UCT,bias=auto,eps=0.100000,26,-14.145,19.4168
sailing,UCT,bias=auto,eps=0.100000,27,-19.1205,21.3527
sailing,UCT,bias=auto,eps=0.100000,28,-21.1565,21.5203
sailing,UCT,bias=auto,eps=0.100000,29,-17.9415,21.2258
sailing,UCT,bias=auto,eps=0.100000,30,-19.9875,21.2682
sailing,UCT,bias=auto,eps=0.100000,31,-18.4895,21.389
sailing,UCT,bias=auto,eps=0.100000,32,-27.898,21.0801
sailing,UCT,bias=auto,eps=0.100000,33,-22.0475,21.5925
sailing,UCT,bias=auto,eps=0.100000,34,-15.4495,20.5201
sailing,UCT,bias=auto,eps=0.100000,35,-18.977,20.913
sailing,UCT,bias=auto,eps=0.100000,36,-22.932,21.7003
sailing,UCT,bias=auto,eps=0.100000,37,-22.2765,21.7557
sailing,UCT,bias=auto,eps=0.100000,38,-20.3995,21.4703
sailing,UCT,bias=auto,eps=0.100000,39,-35.7905,18.02
sailing,UCT,bias=auto,eps=0.100000,40,-23.186,22.0576
sailing,UCT,bias=auto,eps=0.100000,41,-23.8455,21.9112
sailing,UCT,bias=auto,eps=0.100000,42,-24.674,21.5848
sailing,UCT,bias=auto,eps=0.100000,43,-17.0515,20.6888
sailing,UCT,bias=auto,eps=0.100000,44,-21.2105,21.082
sailing,UCT,bias=auto,eps=0.100000,45,-22.6735,22.0101
sailing,UCT,bias=auto,eps=0.100000,46,-22.986,21.5139
sailing,UCT,bias=auto,eps=0.100000,47,-19.76,21.8228
sailing,UCT,bias=auto,eps=0.100000,48,-21.236,21.401
sailing,UCT,bias=auto,eps=0.100000,49,-12.822,18.61
sailing,UCT,bias=auto,eps=0.500000,0,-28.655,21.1349
sailing,UCT,bias=auto,eps=0.500000,1,-33.304,18.9753
sailing,UCT,bias=auto,eps=0.500000,2,-28.65,20.9008
sailing,UCT,bias=auto,eps=0.500000,3,-26.8815,21.1777
sailing,UCT,bias=auto,eps=0.500000,4,-28.4485,20.8186
sailing,UCT,bias=auto,eps=0.500000,5,-33.031,18.5347
sailing,UCT,bias=auto,eps=0.500000,6,-33.054,18.6458
sailing,UCT,bias=auto,eps=0.500000,7,-27.5715,20.9105
sailing,UCT,bias=auto,eps=0.500000,8,-25.975,20.7235
sailing,UCT,bias=auto,eps=0.500000,9,-29.7845,20.2503
sailing,UCT,bias=auto,eps=0.500000,10,-28.432,21.1411
sailing,UCT,bias=auto,eps=0.500000,11,-29.4265,20.3786
sailing,UCT,bias=auto,eps=0.500000,12,-30.9635,20.9907
sailing,UCT,bias=auto,eps=0.500000,13,-36.3875,16.9863
sailing,UCT,bias=auto,eps=0.500000,14,-33.296,18.3442
sailing,UCT,bias=auto,eps=0.500000,15,-26.552,21.4799
sailing,UCT,bias=auto,eps=0.500000,16,-33.7265,19.0909
sailing,UCT,bias=auto,eps=0.500000,17,-33.1975,18.2627
sailing,UCT,bias=auto,eps=0.500000,18,-33.185,19.5595
sailing,UCT,bias=auto,eps=0.500000,19,-33.9655,18.6286
sailing,UCT,bias=auto,eps=0.500000,20,-31.7905,19.639
sailing,UCT,bias=auto,eps=0.500000,21,-36.904,17.0063
sailing,UCT,bias=auto,eps=0.500000,22,-31.8725,18.6295
sailing,UCT,bias=auto,eps=0.500000,23,-25.4255,20.7628
