env,algorithm,run,trial,mc_mean,mc_stddev
sailing,UCT,0,1000,-39.2985,14.5483
sailing,UCT,0,2000,-37.823,16.4713
sailing,UCT,0,3000,-32.423,19.3298
sailing,UCT,0,4000,-22.9405,20.7706
sailing,UCT,0,5000,-19.122,20.591
sailing,UCT,0,6000,-19.763,20.8795
sailing,UCT,0,7000,-19.095,21.2559
sailing,UCT,0,8000,-15.8015,19.7378
sailing,UCT,0,9000,-13.5025,18.3186
sailing,UCT,0,10000,-11.9055,17.3576
sailing,UCT,0,11000,-13.466,18.369
sailing,UCT,0,12000,-11.608,17.3038
sailing,UCT,0,13000,-10.064,16.646
sailing,UCT,0,14000,-8.091,14.1659
sailing,UCT,0,15000,-8.336,14.6679
sailing,UCT,0,16000,-7.5685,13.8504
sailing,UCT,0,17000,-8.226,14.404
sailing,UCT,0,18000,-6.9535,12.8329
sailing,UCT,0,19000,-6.414,11.9822
sailing,UCT,0,20000,-6.2905,12.0132
sailing,UCT,0,21000,-6.2535,11.5396
sailing,UCT,0,22000,-7.864,13.832
sailing,UCT,0,23000,-5.373,10.135
sailing,UCT,0,24000,-6.2355,11.3871
sailing,UCT,0,25000,-5.336,9.98733
sailing,UCT,0,26000,-5.9705,11.3528
sailing,UCT,0,27000,-5.6845,10.6263
sailing,UCT,0,28000,-5.7495,11.2009
sailing,UCT,0,29000,-4.7925,8.76551
sailing,UCT,0,30000,-5.7645,10.668
sailing,UCT,1,1000,-39.148,15.4457
sailing,UCT,1,2000,-30.479,20.676
sailing,UCT,1,3000,-24.062,20.8878
sailing,UCT,1,4000,-22.1715,20.7008
sailing,UCT,1,5000,-20.878,21.173
sailing,UCT,1,6000,-22.2075,22.1321
sailing,UCT,1,7000,-18.884,20.4152
sailing,UCT,1,8000,-16.7305,19.8621
sailing,UCT,1,9000,-15.3695,19.0908
sailing,UCT,1,10000,-16.7405,20.3286
sailing,UCT,1,11000,-15.1085,19.3998
sailing,UCT,1,12000,-15.0775,19.6272
sailing,UCT,1,13000,-12.2625,17.3611
sailing,UCT,1,14000,-14.912,19.1936
sailing,UCT,1,15000,-13.467,18.2605
sailing,UCT,1,16000,-13.6775,18.8653
sailing,UCT,1,17000,-11.9955,17.6216
sailing,UCT,1,18000,-14.5515,19.7791
sailing,UCT,1,19000,-12.3915,17.9265
sailing,UCT,1,20000,-10.628,16.4487
sailing,UCT,1,21000,-11.856,17.2175
sailing,UCT,1,22000,-10.191,16.1022
sailing,UCT,1,23000,-11.4065,17.028
sailing,UCT,1,24000,-11.633,17.6598
sailing,UCT,1,25000,-11.3,17.2724
sailing,UCT,1,26000,-9.986,15.4945
sailing,UCT,1,27000,-11.071,16.4985
sailing,UCT,1,28000,-12.8555,18.451
sailing,UCT,1,29000,-9.9435,16.0935
sailing,UCT,1,30000,-10.2955,15.858
sailing,UCT,2,1000,-40.5815,13.3687
sailing,UCT,2,2000,-37.3935,15.8963
sailing,UCT,2,3000,-28.897,20.7263
sailing,UCT,2,4000,-20.958,20.78
sailing,UCT,2,5000,-17.4925,21.4174
sailing,UCT,2,6000,-13.614,18.9527
sailing,UCT,2,7000,-12.3535,18.5758
sailing,UCT,2,8000,-8.437,15.1759
sailing,UCT,2,9000,-7.423,13.8569
sailing,UCT,2,10000,-6.282,12.7469
sailing,UCT,2,11000,-4.249,9.46196
sailing,UCT,2,12000,-3.6595,8.26506
sailing,UCT,2,13000,-3.77,7.86376
sailing,UCT,2,14000,-3.726,9.07356
sailing,UCT,2,15000,-2.653,5.86467
sailing,UCT,2,16000,-2.9155,5.60964
sailing,UCT,2,17000,-2.332,2.96115
sailing,UCT,2,18000,-2.561,5.18783
sailing,UCT,2,19000,-2.805,5.69952
sailing,UCT,2,20000,-3.0855,6.22725
sailing,UCT,2,21000,-2.701,5.67921
sailing,UCT,2,22000,-2.6315,5.41703
sailing,UCT,2,23000,-3.3235,7.39429
sailing,UCT,2,24000,-2.5165,4.567
sailing,UCT,2,25000,-2.578,4.723
sailing,UCT,2,26000,-2.7315,5.82832
sailing,UCT,2,27000,-3.5435,8.21059
sailing,UCT,2,28000,-3.0725,6.89345
sailing,UCT,2,29000,-2.527,4.93464
sailing,UCT,2,30000,-3.223,7.73712
sailing,UCT,3,1000,-40.3535,14.5499
sailing,UCT,3,2000,-39.1155,15.8585
sailing,UCT,3,3000,-39.867,14.7036
sailing,UCT,3,4000,-30.5875,20.6529
sailing,UCT,3,5000,-28.4595,20.9401
sailing,UCT,3,6000,-24.2295,21.5728
sailing,UCT,3,7000,-20.535,20.7441
sailing,UCT,3,8000,-20.504,21.1982
sailing,UCT,3,9000,-14.936,18.8733
sailing,UCT,3,10000,-16.1525,19.307
sailing,UCT,3,11000,-11.211,16.5949
sailing,UCT,3,12000,-12.657,17.8716
sailing,UCT,3,13000,-11.888,17.3278
sailing,UCT,3,14000,-12.3415,17.6834
sailing,UCT,3,15000,-11.298,16.6162
sailing,UCT,3,16000,-9.807,15.2997
sailing,UCT,3,17000,-13.0085,18.2354
sailing,UCT,3,18000,-9.9245,15.8433
sailing,UCT,3,19000,-10.3525,16.3361
sailing,UCT,3,20000,-9.2605,14.7778
sailing,UCT,3,21000,-11.383,16.3514
sailing,UCT,3,22000,-11.565,17.6314
sailing,UCT,3,23000,-10.5785,16.0429
sailing,UCT,3,24000,-9.8315,15.4325
sailing,UCT,3,25000,-10.7925,16.3431
sailing,UCT,3,26000,-9.8205,15.7951
sailing,UCT,3,27000,-7.458,13.2693
sailing,UCT,3,28000,-7.822,13.2654
sailing,UCT,3,29000,-7.918,13.6816
sailing,UCT,3,30000,-8.607,14.4908
sailing,UCT,4,1000,-28.029,21.5083
sailing,UCT,4,2000,-20.693,21.2572
sailing,UCT,4,3000,-18.6015,20.8129
sailing,UCT,4,4000,-10.74,17.0038
sailing,UCT,4,5000,-6.3745,12.5013
sailing,UCT,4,6000,-9.501,16.4033
sailing,UCT,4,7000,-8.387,14.939
sailing,UCT,4,8000,-9.255,16.5059
sailing,UCT,4,9000,-6.9845,13.5746
sailing,UCT,4,10000,-4.6785,10.0071
sailing,UCT,4,11000,-6.302,12.9344
sailing,UCT,4,12000,-4.3,9.56255
sailing,UCT,4,13000,-4.012,8.68228
sailing,UCT,4,14000,-3.873,8.55459
sailing,UCT,4,15000,-5.166,10.8633
sailing,UCT,4,16000,-3.7115,8.14214
sailing,UCT,4,17000,-4.2055,9.41045
sailing,UCT,4,18000,-3.4795,6.90372
sailing,UCT,4,19000,-4.96,10.6303
sailing,UCT,4,20000,-3.718,8.30745
sailing,UCT,4,21000,-5.544,11.7991
sailing,UCT,4,22000,-3.2185,6.83975
sailing,UCT,4,23000,-4.711,10.203
sailing,UCT,4,24000,-3.9215,8.51408
sailing,UCT,4,25000,-4.505,9.75826
sailing,UCT,4,26000,-3.5075,7.55015
sailing,UCT,4,27000,-3.5585,7.72809
sailing,UCT,4,28000,-3.3975,7.39447
sailing,UCT,4,29000,-2.8315,5.00251
sailing,UCT,4,30000,-3.2775,6.56189
sailing,UCT,5,1000,-37.8385,15.9357
sailing,UCT,5,2000,-19.883,21.4732
sailing,UCT,5,3000,-18.355,20.9991
sailing,UCT,5,4000,-14.226,19.7156
sailing,UCT,5,5000,-12.2595,18.6556
sailing,UCT,5,6000,-12.536,18.9424
sailing,UCT,5,7000,-9.2815,16.1761
sailing,UCT,5,8000,-7.1395,14.3722
