env,algorithm,config,run,mc_mean,mc_stddev
taxi,UCT,bias=auto,eps=0.100000,0,-57.53,15.5783
taxi,UCT,bias=auto,eps=0.100000,1,-61.095,16.4792
taxi,UCT,bias=auto,eps=0.100000,2,-36.515,38.1551
taxi,UCT,bias=auto,eps=0.100000,3,-18.795,38.367
taxi,UCT,bias=auto,eps=0.100000,4,-59.255,16.9753
taxi,UCT,bias=auto,eps=0.100000,5,-58.925,15.5476
taxi,UCT,bias=auto,eps=0.100000,6,-21.595,37.9704
taxi,UCT,bias=auto,eps=0.100000,7,-23.78,41.0159
taxi,UCT,bias=auto,eps=0.100000,8,-57.71,14.5034
taxi,UCT,bias=auto,eps=0.100000,9,-23.655,38.5812
taxi,UCT,bias=auto,eps=0.100000,10,-19.795,37.9256
taxi,UCT,bias=auto,eps=0.100000,11,-23.9,39.6103
taxi,UCT,bias=auto,eps=0.100000,12,-59.735,15.5041
taxi,UCT,bias=auto,eps=0.100000,13,-61.715,15.9416
taxi,UCT,bias=auto,eps=0.100000,14,-37.11,38.3812
taxi,UCT,bias=auto,eps=0.100000,15,-18.59,39.1286
taxi,UCT,bias=auto,eps=0.100000,16,-36.765,37.744
taxi,UCT,bias=auto,eps=0.100000,17,-17.215,36.7425
taxi,UCT,bias=auto,eps=0.100000,18,-58.025,16.9624
taxi,UCT,bias=auto,eps=0.100000,19,-59.915,16.2301
taxi,UCT,bias=auto,eps=0.100000,20,-18.205,39.1183
taxi,UCT,bias=auto,eps=0.100000,21,-25.34,40.936
taxi,UCT,bias=auto,eps=0.100000,22,-63.095,16.5856
taxi,UCT,bias=auto,eps=0.100000,23,-60.07,16.7556
taxi,UCT,bias=auto,eps=0.100000,24,-25.6,38.9665
taxi,UCT,bias=auto,eps=0.100000,25,-27.325,37.8655
taxi,UCT,bias=auto,eps=0.100000,26,-57.94,18.8375
taxi,UCT,bias=auto,eps=0.100000,27,-28.29,39.5017
taxi,UCT,bias=auto,eps=0.100000,28,-58.545,15.7957
taxi,UCT,bias=auto,eps=0.100000,29,-61.625,15.7169
taxi,UCT,bias=auto,eps=0.100000,30,-59.05,15.6869
taxi,UCT,bias=auto,eps=0.100000,31,-58.73,16.9776
taxi,UCT,bias=auto,eps=0.100000,32,-23.94,40.7618
taxi,UCT,bias=auto,eps=0.100000,33,-60.33,16.8311
taxi,UCT,bias=auto,eps=0.100000,34,-61.715,16.3947
taxi,UCT,bias=auto,eps=0.100000,35,-33.43,39.5053
taxi,UCT,bias=auto,eps=0.100000,36,-58.925,15.069
taxi,UCT,bias=auto,eps=0.100000,37,-43.55,36.2424
taxi,UCT,bias=auto,eps=0.100000,38,-61.22,15.2682
taxi,UCT,bias=auto,eps=0.100000,39,-61.085,17.5553
taxi,UCT,bias=auto,eps=0.100000,40,-26,38.3204
taxi,UCT,bias=auto,eps=0.100000,41,-61.355,16.3181
taxi,UCT,bias=auto,eps=0.100000,42,-59.06,14.7827
taxi,UCT,bias=auto,eps=0.100000,43,-23.21,38.6647
taxi,UCT,bias=auto,eps=0.100000,44,-22.39,40.1109
taxi,UCT,bias=auto,eps=0.100000,45,-58.505,16.863
taxi,UCT,bias=auto,eps=0.100000,46,-27.775,39.4837
taxi,UCT,bias=auto,eps=0.100000,47,-59.13,17.3727
taxi,UCT,bias=auto,eps=0.100000,48,-59.62,17.0882
taxi,UCT,bias=auto,eps=0.100000,49,-62.795,16.5755
taxi,UCT,bias=auto,eps=0.500000,0,-65.16,17.0227
taxi,UCT,bias=auto,eps=0.500000,1,-63.72,17.1763
taxi,UCT,bias=auto,eps=0.500000,2,-63.695,16.2255
taxi,UCT,bias=auto,eps=0.500000,3,-65.845,18.7016
taxi,UCT,bias=auto,eps=0.500000,4,-61.43,15.5943
taxi,UCT,bias=auto,eps=0.500000,5,-61.315,16.281
taxi,UCT,bias=auto,eps=0.500000,6,-63.92,17.2272
taxi,UCT,bias=auto,eps=0.500000,7,-60.14,18.0641
taxi,UCT,bias=auto,eps=0.500000,8,-65.09,15.4439
taxi,UCT,bias=auto,eps=0.500000,9,-63.76,17.0516
taxi,UCT,bias=auto,eps=0.500000,10,-61.07,17.4847
taxi,UCT,bias=auto,eps=0.500000,11,-61.88,16.4993
taxi,UCT,bias=auto,eps=0.500000,12,-42.245,40.7433
taxi,UCT,bias=auto,eps=0.500000,13,-61.235,18.2743
taxi,UCT,bias=auto,eps=0.500000,14,-63.22,14.9613
taxi,UCT,bias=auto,eps=0.500000,15,-60.575,15.917
taxi,UCT,bias=auto,eps=0.500000,16,-60.635,16.0383
taxi,UCT,bias=auto,eps=0.500000,17,-59.375,16.9143
taxi,UCT,bias=auto,eps=0.500000,18,-57.985,14.1955
taxi,UCT,bias=auto,eps=0.500000,19,-62.81,16.4825
taxi,UCT,bias=auto,eps=0.500000,20,-64.505,16.3455
taxi,UCT,bias=auto,eps=0.500000,21,-58.88,14.5976
taxi,UCT,bias=auto,eps=0.500000,22,-63.875,16.7572
taxi,UCT,bias=auto,eps=0.500000,23,-61.04,17.2055
taxi,UCT,bias=auto,eps=0.500000,24,-63.875,15.069
taxi,UCT,bias=auto,eps=0.500000,25,-64.28,15.7924
taxi,UCT,bias=auto,eps=0.500000,26,-62.12,16.2847
taxi,UCT,bias=auto,eps=0.500000,27,-62.345,16.1854
