env,algorithm,config,run,mc_mean,mc_stddev
frozenlake,UCT,bias=auto,eps=0.500000,10,0.322555,0.35811
frozenlake,UCT,bias=auto,eps=0.500000,11,0.239185,0.338551
frozenlake,UCT,bias=auto,eps=0.500000,12,0.320302,0.355854
frozenlake,UCT,bias=auto,eps=0.500000,13,0.327973,0.357016
frozenlake,UCT,bias=auto,eps=0.500000,14,0.294105,0.354357
frozenlake,UCT,bias=auto,eps=0.500000,15,0.278162,0.3495
frozenlake,UCT,bias=auto,eps=0.500000,16,0.255028,0.345052
frozenlake,UCT,bias=auto,eps=0.500000,17,0.337597,0.359971
frozenlake,UCT,bias=auto,eps=0.500000,18,0.334245,0.35991
frozenlake,UCT,bias=auto,eps=0.500000,19,0.324806,0.357078
frozenlake,UCT,bias=auto,eps=0.500000,20,0.264414,0.3467
frozenlake,UCT,bias=auto,eps=0.500000,21,0.294953,0.355245
frozenlake,UCT,bias=auto,eps=0.500000,22,0.244809,0.342497
frozenlake,UCT,bias=auto,eps=0.500000,23,0.291504,0.354811
frozenlake,UCT,bias=auto,eps=0.500000,24,0.233906,0.327108
frozenlake,UCT,bias=auto,eps=0.500000,25,0.30396,0.354998
frozenlake,UCT,bias=auto,eps=0.500000,26,0.323219,0.358719
frozenlake,UCT,bias=auto,eps=0.500000,27,0.23812,0.340555
frozenlake,UCT,bias=auto,eps=0.500000,28,0.30677,0.35473
frozenlake,UCT,bias=auto,eps=0.500000,29,0.298912,0.352862
frozenlake,UCT,bias=auto,eps=0.500000,30,0.335025,0.354276
frozenlake,UCT,bias=auto,eps=0.500000,31,0.226421,0.323906
frozenlake,UCT,bias=auto,eps=0.500000,32,0.303276,0.354281
frozenlake,UCT,bias=auto,eps=0.500000,33,0.30885,0.353948
frozenlake,UCT,bias=auto,eps=0.500000,34,0.297055,0.354262
frozenlake,UCT,bias=auto,eps=0.500000,35,0.327853,0.357002
frozenlake,UCT,bias=auto,eps=0.500000,36,0.312855,0.35779
frozenlake,UCT,bias=auto,eps=0.500000,37,0.316061,0.357957
frozenlake,UCT,bias=auto,eps=0.500000,38,0.311347,0.356346
frozenlake,UCT,bias=auto,eps=0.500000,39,0.333684,0.35929
frozenlake,UCT,bias=auto,eps=0.500000,40,0.345079,0.36055
frozenlake,UCT,bias=auto,eps=0.500000,41,0.291758,0.35492
frozenlake,UCT,bias=auto,eps=0.500000,42,0.320248,0.355695
frozenlake,UCT,bias=auto,eps=0.500000,43,0.344102,0.359765
frozenlake,UCT,bias=auto,eps=0.500000,44,0.2627,0.344337
frozenlake,UCT,bias=auto,eps=0.500000,45,0.280674,0.34886
frozenlake,UCT,bias=auto,eps=0.500000,46,0.286167,0.351956
frozenlake,UCT,bias=auto,eps=0.500000,47,0.269583,0.34941
frozenlake,UCT,bias=auto,eps=0.500000,48,0.260613,0.334151
frozenlake,UCT,bias=auto,eps=0.500000,49,0.306615,0.357879
frozenlake,UCT,bias=auto,eps=1.000000,0,0,0
frozenlake,UCT,bias=auto,eps=1.000000,1,0,0
frozenlake,UCT,bias=auto,eps=1.000000,2,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,3,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,4,0.00299368,0.0423371
frozenlake,UCT,bias=auto,eps=1.000000,5,0,0
frozenlake,UCT,bias=auto,eps=1.000000,6,0,0
frozenlake,UCT,bias=auto,eps=1.000000,7,0,0
frozenlake,UCT,bias=auto,eps=1.000000,8,0,0
frozenlake,UCT,bias=auto,eps=1.000000,9,0,0
frozenlake,UCT,bias=auto,eps=1.000000,10,0.0152918,0.095825
frozenlake,UCT,bias=auto,eps=1.000000,11,0,0
frozenlake,UCT,bias=auto,eps=1.000000,12,0.00630249,0.0628664
frozenlake,UCT,bias=auto,eps=1.000000,13,0,0
frozenlake,UCT,bias=auto,eps=1.000000,14,0.00630249,0.0628664
