env,algorithm,run,trial,mc_mean,mc_stddev
stree,UCT,0,10,0.327883,1.40217
stree,UCT,0,100,0.128982,1.16991
stree,UCT,0,200,0.495061,1.50996
stree,UCT,0,300,1.68712,1.80619
stree,UCT,0,400,1.74987,1.6096
stree,UCT,0,500,1.67122,1.73285
stree,UCT,0,600,1.6255,1.66333
stree,UCT,0,700,1.66627,1.67798
stree,UCT,0,800,1.6826,1.64308
stree,UCT,0,900,1.66308,1.65705
stree,UCT,0,1000,1.668,1.63797
stree,UCT,0,1100,1.7495,1.63826
stree,UCT,0,1200,1.65863,1.63085
stree,UCT,0,1300,1.70132,1.66076
stree,UCT,0,1400,1.71736,1.63154
stree,UCT,0,1500,1.69445,1.65356
stree,UCT,0,1600,1.80334,1.59865
stree,UCT,0,1700,1.74716,1.59851
stree,UCT,0,1800,4.91159,7.6595
stree,UCT,0,1900,4.44305,7.37838
stree,UCT,0,2000,4.59851,7.45028
stree,UCT,1,10,0.0419427,1.08795
stree,UCT,1,100,0.143903,1.33087
stree,UCT,1,200,-0.955511,2.31608
stree,UCT,1,300,-0.496154,3.46997
stree,UCT,1,400,4.5107,7.66326
stree,UCT,1,500,4.79115,7.4339
stree,UCT,1,600,4.53318,7.74176
stree,UCT,1,700,5.18825,7.92882
stree,UCT,1,800,4.89,7.59571
stree,UCT,1,900,4.76264,7.42597
stree,UCT,1,1000,4.98474,7.5739
stree,UCT,1,1100,4.45615,7.37959
stree,UCT,1,1200,5.30013,7.97703
stree,UCT,1,1300,4.39378,7.17983
stree,UCT,1,1400,5.29152,7.82751
stree,UCT,1,1500,4.64392,7.26668
stree,UCT,1,1600,5.40522,7.63054
stree,UCT,1,1700,4.80682,7.42897
stree,UCT,1,1800,4.90559,7.34507
stree,UCT,1,1900,4.84655,7.49627
stree,UCT,1,2000,5.14021,7.55925
stree,UCT,2,10,0.0857517,1.15599
stree,UCT,2,100,0.369421,2.39069
stree,UCT,2,200,0.298939,2.46042
stree,UCT,2,300,0.168172,1.82835
stree,UCT,2,400,1.97813,2.36217
stree,UCT,2,500,1.72938,1.77968
stree,UCT,2,600,1.72495,1.76872
stree,UCT,2,700,1.77556,1.78085
stree,UCT,2,800,1.77234,2.11565
stree,UCT,2,900,1.79489,2.17906
stree,UCT,2,1000,1.92706,1.81094
stree,UCT,2,1100,1.90515,1.69351
stree,UCT,2,1200,1.77739,1.73588
stree,UCT,2,1300,1.76205,1.86223
stree,UCT,2,1400,1.78656,2.00625
stree,UCT,2,1500,1.83518,1.82464
stree,UCT,2,1600,1.80927,1.78103
stree,UCT,2,1700,1.80346,1.82251
stree,UCT,2,1800,1.80562,1.76223
stree,UCT,2,1900,1.7021,1.81361
stree,UCT,2,2000,1.84399,1.72498
stree,UCT,3,10,0.614737,1.56956
stree,UCT,3,100,0.0277195,1.06637
stree,UCT,3,200,0.0928915,1.06151
stree,UCT,3,300,0.90412,1.63833
stree,UCT,3,400,1.69112,1.74075
stree,UCT,3,500,1.75543,1.71785
stree,UCT,3,600,1.71386,1.65365
stree,UCT,3,700,1.65243,1.63381
stree,UCT,3,800,1.72441,1.63073
stree,UCT,3,900,1.73454,1.64718
stree,UCT,3,1000,1.77419,1.63971
stree,UCT,3,1100,1.73554,1.64553
stree,UCT,3,1200,1.78228,1.59566
stree,UCT,3,1300,1.77622,1.61653
stree,UCT,3,1400,1.76087,1.61997
stree,UCT,3,1500,1.76674,1.61052
stree,UCT,3,1600,1.70749,1.63762
stree,UCT,3,1700,1.73877,1.62622
stree,UCT,3,1800,1.73426,1.60676
stree,UCT,3,1900,1.8177,1.61106
stree,UCT,3,2000,1.76686,1.6
stree,UCT,4,10,0.0810932,1.33588
stree,UCT,4,100,0.570782,1.55393
stree,UCT,4,200,1.56734,1.82238
stree,UCT,4,300,1.63619,1.77616
stree,UCT,4,400,1.71043,1.8219
stree,UCT,4,500,1.60448,1.83632
stree,UCT,4,600,1.70637,1.7827
stree,UCT,4,700,1.66582,1.76178
stree,UCT,4,800,1.66456,1.77101
stree,UCT,4,900,1.64408,1.78628
stree,UCT,4,1000,1.70724,1.79983
stree,UCT,4,1100,1.65931,1.8448
stree,UCT,4,1200,1.78922,1.79001
stree,UCT,4,1300,1.73282,1.83067
stree,UCT,4,1400,1.71678,1.77902
stree,UCT,4,1500,1.76807,1.77992
stree,UCT,4,1600,1.73403,1.75817
stree,UCT,4,1700,1.64674,1.77768
stree,UCT,4,1800,1.76792,1.7997
stree,UCT,4,1900,1.77012,2.25946
stree,UCT,4,2000,1.79578,1.89029
stree,UCT,5,10,0.043932,1.19411
stree,UCT,5,100,0.927406,1.61298
stree,UCT,5,200,0.339403,1.33959
stree,UCT,5,300,2.35047,5.91628
stree,UCT,5,400,2.58275,5.99969
stree,UCT,5,500,4.80824,7.52605
stree,UCT,5,600,4.83316,7.73652
stree,UCT,5,700,4.43839,7.46966
stree,UCT,5,800,4.55002,7.27424
stree,UCT,5,900,4.9635,7.84877
stree,UCT,5,1000,4.86969,7.58522
stree,UCT,5,1100,4.70699,7.55775
stree,UCT,5,1200,5.03731,7.78101
stree,UCT,5,1300,4.71733,7.35172
stree,UCT,5,1400,4.97943,7.60758
stree,UCT,5,1500,5.12592,7.62507
stree,UCT,5,1600,4.90248,7.45652
stree,UCT,5,1700,5.17726,7.75054
stree,UCT,5,1800,4.79276,7.54337
stree,UCT,5,1900,4.56222,7.40544
stree,UCT,5,2000,5.02978,7.46768
stree,UCT,6,10,0.00794648,1.08941
stree,UCT,6,100,0.0255816,1.00858
stree,UCT,6,200,0.0853419,1.06882
stree,UCT,6,300,0.118303,1.03372
stree,UCT,6,400,0.0686902,1.08698
stree,UCT,6,500,1.72892,1.57727
stree,UCT,6,600,1.6835,1.68381
stree,UCT,6,700,1.71903,1.60075
stree,UCT,6,800,1.6931,1.64151
stree,UCT,6,900,1.67546,1.8226
stree,UCT,6,1000,4.74293,7.51988
stree,UCT,6,1100,4.77645,7.23277
stree,UCT,6,1200,5.04966,7.87094
stree,UCT,6,1300,4.94228,7.58154
stree,UCT,6,1400,5.31185,7.6596
stree,UCT,6,1500,5.13509,7.69625
stree,UCT,6,1600,4.9169,7.59514
stree,UCT,6,1700,4.84968,7.28012
stree,UCT,6,1800,4.99793,7.88636
stree,UCT,6,1900,5.31282,7.59502
stree,UCT,6,2000,4.78381,7.47108
stree,UCT,7,10,0.273658,1.29378
stree,UCT,7,100,0.413001,1.45918
stree,UCT,7,200,-0.0107803,1.05728
stree,UCT,7,300,1.69702,1.82406
stree,UCT,7,400,1.69375,1.78184
stree,UCT,7,500,1.77051,1.78666
stree,UCT,7,600,1.67874,1.81608
stree,UCT,7,700,1.78569,1.73873
stree,UCT,7,800,1.74691,1.77626
stree,UCT,7,900,1.75616,1.73375
stree,UCT,7,1000,1.81477,1.7808
stree,UCT,7,1100,1.74589,1.83673
stree,UCT,7,1200,1.77522,1.80068
stree,UCT,7,1300,1.66909,1.68835
stree,UCT,7,1400,1.80596,1.81349
stree,UCT,7,1500,1.811,1.63063
stree,UCT,7,1600,1.79831,1.60421
stree,UCT,7,1700,1.8687,1.60421
stree,UCT,7,1800,1.70424,1.63932
stree,UCT,7,1900,1.72477,1.60277
stree,UCT,7,2000,1.67775,1.63992
stree,UCT,8,10,0.0334102,1.0736
stree,UCT,8,100,0.826276,1.73201
stree,UCT,8,200,1.61911,1.87259
stree,UCT,8,300,1.51735,1.82033
stree,UCT,8,400,1.69841,1.9277
stree,UCT,8,500,1.55839,1.87398
stree,UCT,8,600,1.65815,1.86269
stree,UCT,8,700,1.68539,1.78588
stree,UCT,8,800,1.59854,1.82129
stree,UCT,8,900,1.60756,1.84726
stree,UCT,8,1000,1.61786,1.80325
stree,UCT,8,1100,1.76365,1.75018
stree,UCT,8,1200,1.77107,1.78388
stree,UCT,8,1300,1.82988,1.73479
stree,UCT,8,1400,1.72875,1.82612
stree,UCT,8,1500,1.73356,1.78648
stree,UCT,8,1600,1.71283,1.62772
stree,UCT,8,1700,1.75914,1.62579
stree,UCT,8,1800,1.80809,1.60321
stree,UCT,8,1900,1.82869,1.61845
stree,UCT,8,2000,1.82799,1.58522
stree,UCT,9,10,0.0671452,1.28748
stree,UCT,9,100,0.0676142,1.09273
stree,UCT,9,200,0.0835598,1.08308
stree,UCT,9,300,1.7728,1.76348
stree,UCT,9,400,1.66203,1.78561
stree,UCT,9,500,1.68444,1.83505
stree,UCT,9,600,1.63076,1.84242
stree,UCT,9,700,1.68352,1.81684
stree,UCT,9,800,1.77683,1.83724
stree,UCT,9,900,1.68936,1.79556
stree,UCT,9,1000,1.67704,1.78369
stree,UCT,9,1100,1.70442,1.78427
