env,algorithm,config,run,mc_mean,mc_stddev
stree,UCT,bias=auto,eps=0.100000,0,1.91766,1.63083
stree,UCT,bias=auto,eps=0.100000,1,1.67229,1.82109
stree,UCT,bias=auto,eps=0.100000,2,1.79622,1.76824
stree,UCT,bias=auto,eps=0.100000,3,1.66434,1.74858
stree,UCT,bias=auto,eps=0.100000,4,1.7816,1.63524
stree,UCT,bias=auto,eps=0.100000,5,1.71213,1.79387
stree,UCT,bias=auto,eps=0.100000,6,1.63251,1.644
stree,UCT,bias=auto,eps=0.100000,7,1.78692,1.61214
stree,UCT,bias=auto,eps=0.100000,8,2.02863,2.24914
stree,UCT,bias=auto,eps=0.100000,9,1.91137,1.73062
stree,UCT,bias=auto,eps=0.100000,10,2.0443,2.66063
stree,UCT,bias=auto,eps=0.100000,11,1.79555,1.66154
stree,UCT,bias=auto,eps=0.100000,12,1.73227,1.62487
stree,UCT,bias=auto,eps=0.100000,13,5.0385,7.4494
stree,UCT,bias=auto,eps=0.100000,14,4.49646,7.61532
stree,UCT,bias=auto,eps=0.100000,15,1.85847,1.73562
stree,UCT,bias=auto,eps=0.100000,16,1.82581,1.60584
stree,UCT,bias=auto,eps=0.100000,17,1.8233,1.74434
stree,UCT,bias=auto,eps=0.100000,18,1.81427,1.76584
stree,UCT,bias=auto,eps=0.100000,19,1.70418,1.73166
stree,UCT,bias=auto,eps=0.100000,20,1.78717,1.57297
stree,UCT,bias=auto,eps=0.100000,21,1.82214,1.79645
stree,UCT,bias=auto,eps=0.100000,22,1.65582,1.65344
stree,UCT,bias=auto,eps=0.100000,23,1.84719,1.93525
stree,UCT,bias=auto,eps=0.100000,24,5.17084,7.70597
stree,UCT,bias=auto,eps=0.100000,25,1.81164,1.61836
stree,UCT,bias=auto,eps=0.100000,26,4.75477,7.41316
stree,UCT,bias=auto,eps=0.100000,27,1.78632,1.7877
stree,UCT,bias=auto,eps=0.100000,28,0.568305,3.02844
stree,UCT,bias=auto,eps=0.100000,29,1.84597,1.59311
stree,UCT,bias=auto,eps=0.100000,30,2.04618,2.95907
stree,UCT,bias=auto,eps=0.100000,31,1.76323,1.62669
stree,UCT,bias=auto,eps=0.100000,32,0.13982,1.33778
stree,UCT,bias=auto,eps=0.100000,33,1.7769,1.73154
stree,UCT,bias=auto,eps=0.100000,34,1.77693,1.76464
stree,UCT,bias=auto,eps=0.100000,35,2.07965,2.67929
stree,UCT,bias=auto,eps=0.100000,36,1.77182,1.80065
stree,UCT,bias=auto,eps=0.100000,37,2.14907,2.80368
stree,UCT,bias=auto,eps=0.100000,38,1.8215,1.60131
stree,UCT,bias=auto,eps=0.100000,39,1.65644,1.62186
stree,UCT,bias=auto,eps=0.100000,40,1.70359,1.76216
stree,UCT,bias=auto,eps=0.100000,41,1.66953,1.80528
stree,UCT,bias=auto,eps=0.100000,42,1.72715,1.64515
stree,UCT,bias=auto,eps=0.100000,43,2.12407,2.50667
stree,UCT,bias=auto,eps=0.100000,44,5.16516,7.85429
stree,UCT,bias=auto,eps=0.100000,45,1.72565,1.58847
stree,UCT,bias=auto,eps=0.100000,46,1.84048,1.69637
stree,UCT,bias=auto,eps=0.100000,47,1.72041,1.6234
stree,UCT,bias=auto,eps=0.100000,48,1.7528,1.93356
stree,UCT,bias=auto,eps=0.100000,49,5.22776,7.80235
stree,UCT,bias=auto,eps=0.500000,0,1.91329,1.70013
stree,UCT,bias=auto,eps=0.500000,1,1.86402,1.58139
stree,UCT,bias=auto,eps=0.500000,2,1.7075,1.63739
stree,UCT,bias=auto,eps=0.500000,3,1.7527,1.6308
stree,UCT,bias=auto,eps=0.500000,4,1.67446,1.78686
stree,UCT,bias=auto,eps=0.500000,5,2.17008,2.45657
stree,UCT,bias=auto,eps=0.500000,6,1.65681,1.66233
