seed,batch_size,dim,in_dim,hidden_dim,dataset,n_samples,teacher_scale,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd,pred_noise_probe_switch
28,4,265,64,4,digits0,256,2.0,1.0,0.25,0.195,3.2368086132906377,0.29926847552413,hetero
28,16,265,64,4,digits0,256,2.0,1.0,0.26,0.225,2.2297321080408428,0.28394994979495775,hetero
28,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
29,4,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.28500000000000003,4.397027756478774,0.4023494047898143,robust
29,16,265,64,4,digits0,256,2.0,1.0,0.215,0.265,2.5896422836513526,0.19095956026653146,hetero
29,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
30,4,265,64,4,digits0,256,2.0,1.0,0.31,0.255,3.969253518834692,0.403288365988078,hetero
30,16,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.18,4.280143087025425,0.2908494260358741,robust
30,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
31,4,265,64,4,digits0,256,2.0,1.0,0.32999999999999996,0.255,6.151723298357681,0.7562747157464154,robust
31,16,265,64,4,digits0,256,2.0,1.0,0.175,0.2,3.7061992251293496,0.26525758815931233,hetero
31,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
32,4,265,64,4,digits0,256,2.0,1.0,0.29,0.225,6.371791738863352,0.48249011882918774,robust
32,16,265,64,4,digits0,256,2.0,1.0,0.2,0.16499999999999998,5.954107249937152,0.32416805968681534,robust
32,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
33,4,265,64,4,digits0,256,2.0,1.0,0.35,0.265,4.813335142520456,0.5880780194314599,robust
33,16,265,64,4,digits0,256,2.0,1.0,0.28500000000000003,0.15,2.084312018313902,0.2566211281258303,hetero
33,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
34,4,265,64,4,digits0,256,2.0,1.0,0.195,0.185,4.0779474056556735,0.21463650159752254,robust
34,16,265,64,4,digits0,256,2.0,1.0,0.33999999999999997,0.22999999999999998,4.687555765487489,0.2597437920856375,robust
34,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
35,4,265,64,4,digits0,256,2.0,1.0,0.27,0.29500000000000004,3.972793248102926,0.4016585223861699,hetero
35,16,265,64,4,digits0,256,2.0,1.0,0.27999999999999997,0.31,3.4357862242130626,0.19341028872532018,hetero
35,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
36,4,265,64,4,digits0,256,2.0,1.0,0.355,0.37,2.796917195523128,0.8773104733175658,hetero
36,16,265,64,4,digits0,256,2.0,1.0,0.26,0.205,3.0901393818615674,0.3251800153925215,hetero
36,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
