algorithm,n_runs,median_post_true,median_post_return
BERW-HeteroRobust,50,145.31489433258727,-145.31489433258727
CMA-ES-Resample(k=10),50,677.648530742161,-677.648530742161
CMA-ES-Resample(k=5),50,515.8334613402358,-515.8334613402358
CMA-ES-sep,50,56.79738270811501,-56.79738270811501
