dataset,sample_size,mean_delta_mse,std_err_delta_mse,n
227_cpu_small,300,1.9164561370875508,2.993217591983757,15
227_cpu_small,500,-7.342633842551705,1.9096857215838368,15
227_cpu_small,700,-13.041226040083277,2.9621323404265354,15
294_satellite_image,300,-0.9494087951853174,1.7429652283830759,15
294_satellite_image,500,-2.0766741057230567,1.3375637811388699,15
294_satellite_image,700,-1.9475894994475211,0.9676691268187909,15
503_wind,300,-3.775351369393795,1.2346764012937783,15
503_wind,500,-2.535205389922355,0.7910058094917367,15
503_wind,700,-2.4681466146532745,0.9455782498322531,15
623_fri_c4_1000_10,300,-2.3056768245853516,1.857471419656432,15
623_fri_c4_1000_10,500,-4.010048724660919,1.970513666211397,15
623_fri_c4_1000_10,700,-1.1468391471500314,2.1603062296645192,15
ConcreteCompressiveStrength,300,-0.9522054381176982,1.8466248676754595,15
ConcreteCompressiveStrength,500,-0.689461117332225,1.2858503092982734,15
ConcreteCompressiveStrength,700,0.4561627375404715,1.2641550126426682,15
EnergyEfficiency,300,-1.6459933549754213,2.826725736440927,15
EnergyEfficiency,500,-4.948983471453309,3.3153300659616995,15
EnergyEfficiency,700,-1.8850142356768098,2.96078750873574,15
HousePrice,300,-22.798048559964986,1.9684139674720484,15
HousePrice,500,-18.874736280721784,1.6936613132717298,15
HousePrice,700,-14.112921890580715,1.635396930196463,15
ParkinsonsTelemonitoring,300,-1.4440831065953827,1.994082739473666,15
ParkinsonsTelemonitoring,500,-5.127011907351539,1.967296201036358,15
ParkinsonsTelemonitoring,700,-1.3295560089935454,1.492534181079231,15
WineQuality,300,-0.09212131877916264,1.2839712695779135,15
WineQuality,500,-1.6207627956109212,0.95870743820496,15
WineQuality,700,-1.935553237212669,0.6810564707295342,15
