dataset,sample_size,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed
ConcreteCompressiveStrength,700,985772,0.00360152380976,0.0036017542334015,0.0063979485820555,0.052734375,False
ConcreteCompressiveStrength,700,305711,0.0031841203689455,0.0031577856444986,-0.8270643504479366,0.1376953125,False
ConcreteCompressiveStrength,700,435829,0.0037897855393387,0.0038056540669306,0.4187183529839689,0.0185546875,True
ConcreteCompressiveStrength,700,117952,0.0037416607064726,0.0040222875220501,7.500060470263638,0.65234375,False
ConcreteCompressiveStrength,700,963395,0.0036192477108081,0.0035508998956461,-1.8884536407353083,0.65234375,False
ConcreteCompressiveStrength,700,152315,0.0041297213794574,0.0042230966888036,2.2610559107142367,0.24609375,False
ConcreteCompressiveStrength,700,882371,0.0035205452646141,0.0034780218921625,-1.20786325001757,0.24609375,False
ConcreteCompressiveStrength,700,359783,0.0024348126251986,0.0022901356451818,-5.942016996274767,0.2783203125,False
ConcreteCompressiveStrength,700,304137,0.0037566566506394,0.0036860806958598,-1.8786905842903707,0.9345703125,False
ConcreteCompressiveStrength,700,122579,0.003134717176473,0.0033907356720424,8.167195991105853,0.1376953125,False
ConcreteCompressiveStrength,700,610581,0.0028596258046468,0.0029145810404846,1.921763181341771,0.5390625,False
ConcreteCompressiveStrength,700,448242,0.0038070272948091,0.0036231911098673,-4.828864379102077,0.001953125,True
ConcreteCompressiveStrength,700,374564,0.0042139130078134,0.0046570331393655,10.515644977256091,0.384765625,False
ConcreteCompressiveStrength,700,735831,0.0040413244028653,0.0039228463645089,-2.9316636465126975,0.0419921875,True
ConcreteCompressiveStrength,700,736326,0.0028471375266126,0.0027206170293315,-4.443778921759815,0.4609375,False
ConcreteCompressiveStrength,500,985772,0.0035234510911211,0.0036637992610796,3.9832586384445654,0.1162109375,False
ConcreteCompressiveStrength,500,305711,0.0033127628207812,0.0032914553154864,-0.643194410451936,0.5,False
ConcreteCompressiveStrength,500,435829,0.0050959994374436,0.0048422559379676,-4.979268592763109,0.1875,False
ConcreteCompressiveStrength,500,117952,0.0042512785837739,0.0038496300886674,-9.447710546175086,0.052734375,False
ConcreteCompressiveStrength,500,963395,0.0028449655866234,0.0030190695950428,6.11972282680837,0.5771484375,False
ConcreteCompressiveStrength,500,152315,0.0027504321416665,0.0024834752703552,-9.705997369183684,0.013671875,True
ConcreteCompressiveStrength,500,882371,0.0029345974783255,0.0029304095684633,-0.1427081530966684,0.6875,False
ConcreteCompressiveStrength,500,359783,0.004085613528038,0.0039447685058256,-3.447340803183474,0.0068359375,True
ConcreteCompressiveStrength,500,304137,0.0028547493766614,0.0028714230105404,0.5840664688550592,0.1875,False
ConcreteCompressiveStrength,500,122579,0.0030635539000697,0.0031850375192532,3.965447423029663,0.4609375,False
ConcreteCompressiveStrength,500,610581,0.0049533026517638,0.0049550107593152,0.0344842153099461,0.1875,False
ConcreteCompressiveStrength,500,448242,0.0041807204708354,0.0042399230679463,1.4160859957976937,0.5771484375,False
ConcreteCompressiveStrength,500,374564,0.0042892059531905,0.0044765009395389,4.36665873339623,0.0322265625,True
