suite,sampling,noise_model,noise_sigma,function,dimension,instance,set_id,lambda,mu,rank_disagreement,topmu_overlap,topmu_disagreement,kendall_pairwise_disagreement
bbob-noisy,es,native,nan,107,40,1,3,15,7,0.3111111111111111,0.42857142857142855,0.5714285714285714,0.49523809523809526
bbob-noisy,es,native,nan,107,40,1,4,15,7,0.3288888888888889,0.42857142857142855,0.5714285714285714,0.5142857142857142
bbob-noisy,es,native,nan,107,40,1,5,15,7,0.29333333333333333,0.5714285714285714,0.4285714285714286,0.4380952380952381
bbob-noisy,es,native,nan,107,40,1,6,15,7,0.3911111111111111,0.2857142857142857,0.7142857142857143,0.6285714285714286
bbob-noisy,es,native,nan,107,40,1,7,15,7,0.3111111111111111,0.5714285714285714,0.4285714285714286,0.5333333333333333
bbob-noisy,es,native,nan,107,40,1,8,15,7,0.29333333333333333,0.5714285714285714,0.4285714285714286,0.44761904761904764
bbob-noisy,es,native,nan,107,40,1,9,15,7,0.2577777777777778,0.5714285714285714,0.4285714285714286,0.4380952380952381
bbob-noisy,es,native,nan,107,40,1,10,15,7,0.2577777777777778,0.5714285714285714,0.4285714285714286,0.4380952380952381
bbob-noisy,es,native,nan,107,40,1,11,15,7,0.36444444444444446,0.42857142857142855,0.5714285714285714,0.5714285714285714
bbob-noisy,es,native,nan,107,40,1,12,15,7,0.38222222222222224,0.42857142857142855,0.5714285714285714,0.5714285714285714
bbob-noisy,es,native,nan,107,40,1,13,15,7,0.23111111111111113,0.7142857142857143,0.2857142857142857,0.37142857142857144
bbob-noisy,es,native,nan,107,40,1,14,15,7,0.3466666666666667,0.42857142857142855,0.5714285714285714,0.5047619047619047
bbob-noisy,es,native,nan,107,40,1,15,15,7,0.32,0.5714285714285714,0.4285714285714286,0.5142857142857142
bbob-noisy,es,native,nan,107,40,1,16,15,7,0.3288888888888889,0.42857142857142855,0.5714285714285714,0.45714285714285713
bbob-noisy,es,native,nan,107,40,1,17,15,7,0.3288888888888889,0.42857142857142855,0.5714285714285714,0.49523809523809526
bbob-noisy,es,native,nan,107,40,1,18,15,7,0.2577777777777778,0.7142857142857143,0.2857142857142857,0.3619047619047619
bbob-noisy,es,native,nan,107,40,1,19,15,7,0.3288888888888889,0.42857142857142855,0.5714285714285714,0.44761904761904764
bbob-noisy,es,native,nan,107,40,1,20,15,7,0.23111111111111113,0.8571428571428571,0.1428571428571429,0.3523809523809524
