epoch,train_loss,test_loss,train_acc,test_acc,test_balanced_acc,test_worst_acc,kappa,seed
1,2.5127639976478444,3.8392781372070313,0.36850881372081945,0.2302,0.23020000000000002,0.0,,123
2,1.3010547959617116,2.541065759277344,0.5394632364618072,0.2437,0.24370000000000003,0.0,,123
3,1.1033554816219528,2.227092529296875,0.6148959822137526,0.3122,0.3122,0.0,,123
4,1.1886910385076104,2.5026652770996094,0.5977449579164682,0.3091,0.3091,0.0,,123
5,1.2497548125595521,2.5248017211914062,0.5819437827536922,0.2901,0.2901,0.0,91.61456367645339,123
6,1.2226627801777314,2.373270227050781,0.6083849452120057,0.3433,0.3433,0.0,32.575589362100054,123
7,1.061417785470062,2.0409470886230467,0.642051770684453,0.3978,0.39780000000000004,0.0,15.448454776108962,123
8,0.9168579794593097,2.030381866455078,0.6827854533905034,0.3968,0.39679999999999993,0.0,4741.6458286462785,123
9,1.0377817134242295,1.6711352966308595,0.6532475782118469,0.4432,0.44320000000000004,0.011,18.388471163753923,123
10,0.845129311416042,1.9767677551269531,0.7067651262505955,0.4012,0.40119999999999995,0.0,240.46083476224302,123
11,0.886276831527693,1.988882000732422,0.6985072256630142,0.4297,0.4297000000000001,0.032,55.34820319208256,123
12,0.8451504915578792,1.8722752380371093,0.7120851198983643,0.4588,0.4588,0.056,25.565638524919812,123
13,1.1713417274943985,1.977399560546875,0.6168810544703828,0.4364,0.4364,0.056,13.157347658413382,123
14,1.053059902497089,1.907692041015625,0.6730983007781484,0.4715,0.4715,0.043,19391.919320944537,123
15,0.711210621904528,1.3965351898193359,0.7551214864221057,0.5616,0.5616000000000001,0.123,11521.485047229478,123
16,0.9823546849566261,2.34567919921875,0.6666666666666666,0.4132,0.41320000000000007,0.009,15.965841029878622,123
17,0.704721793080391,2.036847344970703,0.7644116245831348,0.4934,0.4934,0.014,55.88903272473502,123
18,0.8718187278540377,2.325891943359375,0.7221692869620454,0.4446,0.4446,0.034,703.2046067792868,123
19,0.7172028067681039,1.5053390411376952,0.7536128315070668,0.5727,0.5727,0.192,3555.6283403268894,123
20,0.7152242186487109,1.8811470092773437,0.7685405748769255,0.5351,0.5351,0.033,45.25155558662018,123
21,0.8335630587401684,2.17078271484375,0.732809274257583,0.4627,0.46270000000000006,0.105,38.20536990125988,123
22,0.5682052356658785,1.4108119232177734,0.7997459107511513,0.578,0.5780000000000001,0.097,13.534160933381994,123
23,0.966274062319182,2.0479551818847654,0.7143084008257901,0.5296,0.5296000000000001,0.168,35.84746654385577,123
24,0.614489937010352,2.0169092102050783,0.7996665078608861,0.5301,0.5301,0.035,23.372782570600528,123
25,0.5663873521945051,1.5052283264160156,0.8099888835953629,0.6201,0.6201,0.213,43508.834243435624,123
26,0.450228463473236,1.2210256134033204,0.844767349531523,0.655,0.655,0.331,5.971167369863867,123
27,0.5034561968993171,0.9759972869873047,0.8215817055740829,0.7142,0.7142,0.405,5.32443614975761,123
28,0.4511475365408379,1.3477244567871094,0.848261076703192,0.6401,0.6401,0.327,19.758287253861184,123
29,0.3982597046358842,1.164615362548828,0.8596950929013816,0.6636,0.6636,0.394,2518506.9529014374,123
30,0.4074219220097678,1.3533092224121093,0.8597744957916468,0.6359,0.6359,0.214,27.735271368791985,123
31,0.40693168752208975,1.113817315673828,0.856757185961569,0.6858,0.6858,0.345,565926.1713140563,123
32,0.4036521323998996,1.543359600830078,0.8591392726695252,0.5915,0.5914999999999999,0.225,53.9380555588509,123
33,0.3958249903111415,1.0583309509277343,0.8641416547562332,0.7143,0.7143,0.401,3.6309006576760674,123
34,0.47471145184925667,1.3943607025146485,0.8400031761156106,0.6465,0.6465,0.182,55.82386564853261,123
35,0.31564832063105175,0.9847580535888671,0.8885977449579164,0.7282,0.7282,0.599,264874.3067663764,123
36,0.3252120872934943,1.3346066802978516,0.8865332698110211,0.6675,0.6675000000000001,0.332,13.901463969167384,123
37,0.4007053729634787,1.595417919921875,0.8604891218040337,0.6363,0.6363000000000001,0.262,797379.6987720919,123
38,0.5635818833109877,1.781514224243164,0.8284897570271558,0.636,0.6359999999999999,0.328,6.527882177612817,123
39,0.2788654935914637,1.2652639343261718,0.9037636969985707,0.6821,0.6821,0.39,6.239101695178296,123
40,0.4307194031740685,1.4818114379882812,0.8508813720819438,0.6497,0.6496999999999999,0.305,18.028927774731855,123
41,0.32125313031743474,1.6992240600585937,0.8893123709703034,0.643,0.643,0.101,13217.289589675103,123
42,0.36570622585151846,1.6294667358398438,0.875655073844688,0.6371,0.6371,0.361,36.691743327248005,123
43,0.2795828724922179,1.476368588256836,0.9060663808162617,0.6629,0.6628999999999999,0.297,13668.666466946303,123
44,0.28843383931424554,1.0915040618896485,0.8998729553755757,0.7412,0.7411999999999999,0.491,3.251474961584757,123
45,0.27265521066613246,1.504537353515625,0.9040813085596315,0.6729,0.6729,0.308,4.556729022646793,123
46,0.23940916093205655,1.0104651519775392,0.9173415912339209,0.7526,0.7526,0.522,1.782435957403669,123
47,0.26806246706166115,1.622770751953125,0.9111481657932349,0.6814,0.6814,0.264,12.287615322199688,123
48,0.2872286353278618,1.0857711395263672,0.8987613149118628,0.7361,0.7360999999999999,0.535,604990.9905572481,123
49,0.24001014083079616,1.2155377014160156,0.9175797999047165,0.7307,0.7306999999999999,0.432,6589038.309359402,123
50,0.15103443319766846,1.3838097991943359,0.9475146895346991,0.7147,0.7147,0.334,1507212.1169380925,123
51,0.22138854922312337,1.1650878326416017,0.9210735270763856,0.7357,0.7357,0.448,2.426009986044093,123
52,0.17733513515715335,1.4319188446044921,0.9387803716055264,0.7012,0.7012,0.402,10426475.523826955,123
