class_id,class_name,train_count,test_count,irs_correct,irs_acc,irs_loss
0,airplane,4500,1000,0,0.0,20291307372.544
1,automobile,2913,1000,0,0.0,19357479206.912
2,bird,1886,1000,0,0.0,17491870482.432
3,cat,1221,1000,0,0.0,5906383290.368
4,deer,790,1000,0,0.0,7600323510.272
5,dog,511,1000,881,0.881,27679269.184
6,frog,331,1000,0,0.0,23033208242.176
7,horse,214,1000,63,0.063,1004273772.544
8,ship,138,1000,0,0.0,20911576842.24
9,truck,90,1000,0,0.0,30657521385.472
