dataset,acc,nmi,ari,f1,epoch,lr,weight_decay,order,order_h,hidden_dim,latent_dim,weight_soft,tao,sigma,beta_up,beta_low
acm,0.9514,0.8149,0.8605,0.9518,930,0.001,5e-06,1,1,1024,128,10,0.2,0.007,0.9,-0.4
acm,0.9514,0.8149,0.8605,0.9518,930,0.001,5e-06,1,1,1024,128,10,0.2,0.007,0.9,-0.4
