target,target_label,status,always_cma_regret_mean,bbob_B500_threshold,bbob_B500_accuracy,bbob_B500_regret_mean,safe_method,safe_status,safe_threshold,safe_accuracy,safe_regret_mean,target_tuned_threshold,target_tuned_accuracy,target_tuned_regret_mean,delta_transfer_minus_always,delta_safe_minus_always
bbob_B200_d40,COCO D40 B200,ok,0.096116062928925,0.12,0.7422222222222222,0.0351926925407039,fixed0p22,ok,0.22,0.7288888888888889,0.0436875211749088,0.18,0.7311111111111112,0.0366201448630954,-0.06092337038822109,-0.05242854175401619
bbob_B500_d40,COCO D40 B500,ok,0.0963953856105931,0.12,0.7546728971962616,0.0243932314621288,fixed0p22,ok,0.22,0.7453271028037384,0.0403179418969709,0.12,0.7546728971962616,0.0243932314621288,-0.07200215414846431,-0.0560774437136222
logreg_synth,LogReg (synth),ok,0.0873510768064058,0.12,0.7733333333333333,0.0107868870469918,fixed0p22,ok,0.22,0.7266666666666667,0.0192953420188101,0.005,0.7733333333333333,0.0107868870469918,-0.07656418975941401,-0.0680557347875957
logreg_breast_cancer,LogReg (BC),ok,0.1489589614998652,0.12,0.68,0.0622693698386269,fixed0p22,ok,0.22,0.56,0.1151427260436823,0.005,0.72,0.0589768159368371,-0.0866895916612383,-0.03381623545618291
logreg_digits0,LogReg (digits0),ok,0.1256791575610196,0.12,0.64,0.0452168223867539,fixed0p22,ok,0.22,0.5866666666666667,0.0540545926886738,0.0,0.68,0.0355725709206624,-0.08046233517426571,-0.07162456487234581
mlp_digits0_heavytail_vs_noise_switch,"MLP (digits0, HT)",ok,0.1770060697847871,0.12,0.6363636363636364,0.073030387004834,fixed0p22,ok,0.22,0.5,0.1241895324393965,0.005,0.6363636363636364,0.073030387004834,-0.10397568277995312,-0.052816537345390616
lqr_heavytail_control,LQR (HT),ok,0.0535560365841201,0.12,0.48,0.0522540392512616,fixed0p22,boundary,0.22,0.36,0.0614801258111508,0.09,0.56,0.0358678589520208,-0.0013019973328585038,0.007924089227030702
hpo_noisy_logreg_digits0_sigma1p0,HPO (digits0),boundary,0.0412483820045841,0.12,0.56,0.0522308626189342,fixed0p22,boundary,0.22,0.66,0.0430018984616524,0.22,0.66,0.0430018984616524,0.010982480614350101,0.0017535164570683034
rl_pendulum_gaussian,RL (Pendulum),boundary,0.030500146930713727,0.12,0.56,0.033218439261677946,fixed0p22,boundary,0.22,0.42,0.03491456659505003,0.22,0.42,0.03491456659505003,0.002718292330964219,0.004414419664336303
