budget_mult,batch_size,median_post_true_CMA,median_post_true_Switch,median_post_true_Warmstart,p_CMA_vs_Switch,p_CMA_vs_Warmstart,p_Switch_vs_Warmstart
20,8,5.50664799602,4.69146638299,4.67413742915,0.0066004479668109,0.0026021714567221,1.0
40,8,5.06762112306,4.11440094331,4.06892444796,5.614100093254137e-06,1.163555804595262e-06,1.0
80,8,4.92540377038,3.80012300785,3.80012300785,2.098677427397888e-07,2.098677427397888e-07,
20,256,1.05114163628,1.08931036395,1.05564263218,4.656612873077393e-10,0.00390625,9.313225746154783e-10
40,256,0.549450524044,0.561674243546,0.549450524044,1.1368683772161605e-13,0.015625,2.273736754432321e-13
80,256,0.371163844266,0.372090595192,0.371163844266,3.637978807091713e-12,0.001953125,5.820766091346741e-11
