Sensor Range,Agents,MSE,Std
0.04,20,0.0008001301321201026,0.0004914251621812582
0.04,40,0.00013941862562205642,9.706885612104088e-05
0.04,60,7.813623233232647e-05,3.958138404414058e-05
0.04,80,7.437468593707308e-05,3.1709943868918344e-05
0.04,100,6.89293592586182e-05,2.5279632609453984e-05
0.06,20,0.000734505127184093,0.0004482385120354593
0.06,40,0.0001429063268005848,0.0001034066008287482
0.06,60,6.622566434089094e-05,3.641912553575821e-05
0.06,80,5.6977791246026754e-05,2.2797596102464013e-05
0.06,100,5.312640860211104e-05,1.622822310309857e-05
0.08,20,0.0002273594873258844,0.00015268329298123717
0.08,40,4.153310146648437e-05,1.629210964892991e-05
0.08,60,3.0169952879077755e-05,8.20770856080344e-06
0.08,80,2.8242766347830184e-05,8.777378752711229e-06
0.08,100,3.0301212973427027e-05,9.654124369262718e-06
0.12,20,0.00020711190882138908,0.00017127055616583675
0.12,40,3.965309588238597e-05,1.2619297194760293e-05
0.12,60,3.282227771705948e-05,1.016752594296122e-05
0.12,80,3.2166582968784496e-05,8.381495717912912e-06
0.12,100,3.4886445064330474e-05,9.214028978021815e-06
0.2,20,0.00010370842937845737,6.45301042823121e-05
0.2,40,3.167927570757456e-05,1.0391295290901326e-05
0.2,60,2.3977809178177267e-05,6.188180577737512e-06
0.2,80,2.4366094294236973e-05,4.666133008868201e-06
0.2,100,2.4501150619471446e-05,4.909760718874168e-06
0.3,20,0.00023100254475139081,0.00024478902923874557
0.3,40,4.7463661758229136e-05,3.130906043224968e-05
0.3,60,2.534209670557175e-05,6.286572443059413e-06
0.3,80,2.4319098884006962e-05,3.880752501572715e-06
0.3,100,2.935351039923262e-05,8.606490155216306e-06
0.5,20,0.0001123197071137838,6.668839341728017e-05
0.5,40,2.621411476866342e-05,6.343093446048442e-06
0.5,60,2.0175710233161226e-05,3.4887004858319415e-06
0.5,80,4.1994713683379814e-05,2.6086960133397952e-05
0.5,100,0.0005240367026999593,0.00048186557251028717
1.0,20,0.00014341568748932332,5.73851284570992e-05
1.0,40,2.9503604309866205e-05,6.90268234393443e-06
1.0,60,2.4059492716332898e-05,5.847336069564335e-06
1.0,80,4.216641900711693e-05,1.9119666831102222e-05
1.0,100,0.0005030838656239212,0.000407854764489457
