dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
HousePrice,985772,0.0007095544948962084,0.0005923485474219322,-16.51824466159159,0.0009765625,True,"[4, 5]"
HousePrice,305711,0.0005821871230073789,0.00047829997722737905,-17.844287802752227,0.0009765625,True,"[4, 5]"
HousePrice,435829,0.0010909889392556533,0.0011503610787331065,5.4420477917916354,0.0009765625,True,"[4, 3]"
HousePrice,117952,0.0007090054323046516,0.0006426607988070979,-9.357422450473711,0.0009765625,True,"[5, 3]"
HousePrice,963395,0.0007910327663470604,0.0007740433079741596,-2.147756590584357,0.0009765625,True,"[4, 5]"
