function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
104,4,40,11,38.61545477,38.09085996,berw,0.017777777777777778,0.010030500667741766,cma,cma
104,4,40,12,38.45721335,36.91930622,berw,0.008888888888888889,0.012590350117426223,cma,cma
104,4,40,13,39.69772578,38.5109291,berw,0.008888888888888889,0.010815015684409703,cma,cma
104,4,40,14,39.7623488,38.89078383,berw,0.0,0.006956163834755506,cma,cma
104,4,40,15,35.80156418,38.2912832,cma,0.008888888888888889,0.008316515856502688,cma,cma
105,5,40,1,91.77560779,40.11703403,berw,0.017777777777777778,0.0166517147588934,cma,cma
105,5,40,2,102.8538242,38.99154925,berw,0.017777777777777778,0.01607647544662007,cma,cma
105,5,40,3,40.2081906,39.71081958,berw,0.02666666666666667,0.016782614257647165,cma,cma
105,5,40,4,40.72798713,39.31340969,berw,0.02666666666666667,0.017581643578709696,cma,cma
105,5,40,5,205.0865459,35.71437172,berw,0.04444444444444444,0.015927860185345855,cma,cma
105,5,40,6,113.084575,38.95842803,berw,0.008888888888888889,0.016181319362149442,cma,cma
105,5,40,7,37.03717279,40.24426273,cma,0.008888888888888889,0.015868385835011344,cma,cma
105,5,40,8,39.66709033,39.48460885,berw,0.008888888888888889,0.011532065128271358,cma,cma
105,5,40,9,40.18828433,39.7113368,berw,0.02666666666666667,0.020599113555529354,cma,cma
105,5,40,10,39.80701595,39.00444804,berw,0.008888888888888889,0.023925109549439168,cma,cma
105,5,40,11,38.2828288,39.89843595,cma,0.0,0.014504998445883596,cma,cma
105,5,40,12,39.12105952,39.08005012,berw,0.008888888888888889,0.01629929431793058,cma,cma
105,5,40,13,217.8975854,39.05158954,berw,0.017777777777777778,0.022041424996486925,cma,cma
105,5,40,14,39.49669571,40.01597829,cma,0.017777777777777778,0.016287926756922356,cma,cma
105,5,40,15,41.12033842,108.8760181,cma,0.0,0.018022896833636056,cma,cma
106,6,40,1,32.77544801,35.91094253,cma,0.0,3.033492127633134e-08,cma,cma
106,6,40,2,34.14120929,36.76395814,cma,0.0,8.3235851094342e-08,cma,cma
106,6,40,3,34.37582061,39.01282688,cma,0.0,5.748355163993594e-08,cma,cma
106,6,40,4,37.85946432,115.1506632,cma,0.0,1.2565602787734029e-08,cma,cma
106,6,40,5,32.79940987,36.31832342,cma,0.0,1.766342894159909e-16,cma,cma
106,6,40,6,33.36791809,37.21877732,cma,0.0,0.0,cma,cma
106,6,40,7,38.05002303,37.93639471,berw,0.0,0.0,cma,cma
106,6,40,8,33.91585294,36.88827002,cma,0.0,8.903036434161802e-09,cma,cma
106,6,40,9,34.36184932,37.07802608,cma,0.0,1.092423982011747e-06,cma,cma
106,6,40,10,34.05295626,38.10669302,cma,0.0,0.0,cma,cma
106,6,40,11,34.14331448,36.43880738,cma,0.0,1.4257845651352041e-16,cma,cma
106,6,40,12,34.03817938,36.3452165,cma,0.0,9.667671416818184e-08,cma,cma
106,6,40,13,34.43158747,36.39019845,cma,0.0,1.518640637212464e-08,cma,cma
106,6,40,14,33.9140709,37.4179901,cma,0.0,2.1423229017478954e-07,cma,cma
106,6,40,15,35.02093141,92.23267127,cma,0.0,0.0,cma,cma
107,7,40,1,160.688989,115.989279,berw,0.28444444444444444,0.7958650082576215,berw,berw
107,7,40,2,157.4571813,158.2511235,cma,0.36444444444444446,0.4718390950415687,berw,berw
107,7,40,3,87.06978382,207.5756643,cma,0.29333333333333333,4.924530210619124,berw,berw
107,7,40,4,244.8565137,154.0645263,berw,0.32,1.715235239585366,berw,berw
107,7,40,5,229.5599771,133.389673,berw,0.3555555555555555,1.1661337158938698,berw,berw
107,7,40,6,176.6159339,187.6238553,cma,0.3555555555555555,1.2901412449210394,berw,berw
107,7,40,7,160.5489601,151.1650572,berw,0.32,0.7875959150053886,berw,berw
107,7,40,8,172.4827693,130.8868689,berw,0.32,1.499792249815328,berw,berw
107,7,40,9,180.1059975,143.2042674,berw,0.3466666666666667,1.1395261578081026,berw,berw
107,7,40,10,151.9219884,122.1829269,berw,0.2755555555555556,0.6714977644623319,berw,berw
107,7,40,11,161.5175897,156.7978597,berw,0.3377777777777778,1.0081071593303381,berw,berw
107,7,40,12,188.8544033,134.9198757,berw,0.21333333333333335,0.2148925807521221,berw,berw
107,7,40,13,182.7253737,139.0743556,berw,0.32,2.4859790018040453,berw,berw
107,7,40,14,132.5591278,177.0737843,cma,0.29333333333333333,1.1747843962558175,berw,berw
107,7,40,15,164.9841515,137.1600472,berw,0.3466666666666667,1.2264419617087772,berw,berw
108,8,40,1,250.7639853,182.3626337,berw,0.2755555555555556,1.1008978677451726,berw,berw
108,8,40,2,326.3555594,308.7766335,berw,0.3288888888888889,1.2992089259438977,berw,berw
108,8,40,3,245.3339075,222.2844497,berw,0.3288888888888889,1.9931910299909796,berw,berw
108,8,40,4,203.5245639,192.5998822,berw,0.2755555555555556,2.5418449595478187,berw,berw
108,8,40,5,230.3852092,141.9032141,berw,0.36444444444444446,1.9077528411472207,berw,berw
108,8,40,6,216.5264962,169.2646828,berw,0.26666666666666666,1.1952782228544399,berw,berw
108,8,40,7,240.0616683,185.1513112,berw,0.36444444444444446,1.5502777714631397,berw,berw
108,8,40,8,223.4109986,218.5868309,berw,0.3466666666666667,2.224017692760747,berw,berw
108,8,40,9,253.0797302,164.9050867,berw,0.3022222222222222,1.2897415639574787,berw,berw
108,8,40,10,233.5646846,212.0673179,berw,0.32,1.7019179654762011,berw,berw
108,8,40,11,230.3182348,234.8613979,cma,0.32,1.5310763606711735,berw,berw
108,8,40,12,288.2403459,190.2778851,berw,0.32,2.068626597756953,berw,berw
108,8,40,13,264.3640791,210.4543825,berw,0.3288888888888889,1.4686100993318487,berw,berw
108,8,40,14,323.1731589,242.9384597,berw,0.3022222222222222,2.3633716180187987,berw,berw
108,8,40,15,184.1727617,262.7431974,cma,0.2577777777777778,1.389564632624525,berw,berw
109,9,40,1,1.760653483e-05,0.03843623389,cma,0.0,0.0015341789206222505,cma,cma
109,9,40,2,4.446214689e-05,0.1845749157,cma,0.0,0.0007381349602620425,cma,cma
109,9,40,3,2.786179238e-05,0.005398419154,cma,0.008888888888888889,0.00031603249203942174,cma,cma
109,9,40,4,2.11326292e-05,0.03294970269,cma,0.0,0.0017296414178284457,cma,cma
109,9,40,5,6.148430053e-06,1.109752135,cma,0.0,0.00018301791941089637,cma,cma
109,9,40,6,5.05285459e-06,0.07826872552,cma,0.0,0.00382159717145222,cma,cma
109,9,40,7,2.453008904e-05,0.3531097978,cma,0.0,0.009748598180945443,cma,cma
109,9,40,8,2.233789656e-05,1.630475103,cma,0.035555555555555556,0.0,cma,cma
109,9,40,9,1.699858461e-05,0.05073138853,cma,0.0,0.00023630283887371398,cma,cma
109,9,40,10,9.497330055e-05,0.2522041732,cma,0.008888888888888889,0.003025414926603827,cma,cma
109,9,40,11,4.087590423e-05,0.01145935406,cma,0.0,0.0004879865021124883,cma,cma
109,9,40,12,5.649985326e-06,0.3392089176,cma,0.008888888888888889,0.00033573671809700075,cma,cma
109,9,40,13,1.392386721e-05,0.3542857366,cma,0.017777777777777778,0.0002857580166243638,cma,cma
109,9,40,14,2.92729586e-05,0.005230540157,cma,0.0,0.0011244167217985684,cma,cma
109,9,40,15,1.234057066e-06,0.290955068,cma,0.017777777777777778,0.0004791372808487984,cma,cma
110,10,40,1,5076.62699,8019.574714,cma,0.3377777777777778,0.9909990882925896,berw,berw
110,10,40,2,57028.40543,16273.08049,berw,0.3466666666666667,1.10716345628559,berw,berw
110,10,40,3,62815.84088,6841.560806,berw,0.3111111111111111,0.7374766798099974,berw,berw
110,10,40,4,44157.87217,8403.412513,berw,0.3111111111111111,0.7416836563533495,berw,berw
110,10,40,5,60481.65456,30327.9395,berw,0.24888888888888888,1.2040605943389622,berw,berw
110,10,40,6,14989.85033,16898.18466,cma,0.26666666666666666,0.8060559435797655,berw,berw
110,10,40,7,84618.24893,22382.53768,berw,0.38222222222222224,0.7251094375576044,berw,berw
