Protein,PCC
CD11c,0.9536901
CD3,0.9267128
CD14,0.9263637
CD4,0.91050744
CD34,0.89231926
CD19,0.8890705
CD10,0.8792069
CCR7,0.87415755
CCR5,0.8644017
CD16,0.8512683
CD56,0.82827437
CD45RA,0.7954582
CD8,0.7085906
