Metric,Value
PCC_protein_mean,0.8692324757575989
PCC_protein_median,0.8792068958282471
PCC_protein_std,0.06184785068035126
PCC_cell_mean,0.9405021071434021
PCC_cell_median,0.9673839211463928
PCC_cell_std,0.076636902987957
CMD_cell,0.031149222106646612
CMD_protein,0.0035008303819558106
RMSE,0.5114051498555099
