algorithm,n_runs,median_post_mean,median_post_median,median_post_cvar20
BERW-HeteroRobust,50,5896.256218991134,4357.6801881774445,11187.295625872106
CMA-ES-sep,50,6471.484388272849,4587.365393403081,11711.210069429959
ProbeSwitch-MR-Robust(t=0.12),50,6465.212978574458,4358.397786641655,11273.925895310924
ProbeSwitch-MR-Robust(t=0.22),50,6546.257820469962,4428.763927754141,13239.93699588241
