Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307
LRU,0.095/1.309,0.095/1.309,0.095/1.309,0.095/1.309,0.095/1.309,0.095/1.309,0.095/1.309
Marker,0.094/1.311,0.094/1.311,0.094/1.311,0.094/1.311,0.094/1.311,0.094/1.311,0.094/1.311
OnlineMin,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307,0.097/1.307
Predict[Belady],0.309/1.000,0.276/1.047,0.243/1.094,0.221/1.128,0.212/1.139,0.207/1.147,0.205/1.150
PredMark[Belady],0.118/1.276,0.110/1.288,0.103/1.297,0.101/1.301,0.100/1.302,0.099/1.304,0.100/1.302
LMarker[Belady],0.118/1.276,0.109/1.289,0.103/1.298,0.101/1.301,0.100/1.302,0.099/1.303,0.099/1.304
LNonMarker[Belady],0.119/1.274,0.114/1.281,0.111/1.287,0.108/1.291,0.108/1.291,0.107/1.291,0.108/1.291
FollowerRobust[OracleState],0.309/1.000,0.145/1.236,0.122/1.270,0.113/1.284,0.111/1.287,0.110/1.288,0.108/1.291
PredictiveOnlineMin[Belady]-msf-100,0.309/1.000,0.217/1.133,0.173/1.197,0.142/1.241,0.133/1.254,0.132/1.256,0.129/1.261
RPB-OnlineMin[Belady]-msf-100-pb-0,0.309/1.000,0.218/1.132,0.171/1.199,0.146/1.235,0.133/1.255,0.130/1.259,0.128/1.261
RPB-OnlineMin[Belady]-msf-100-pb-1,0.309/1.000,0.248/1.088,0.209/1.144,0.180/1.186,0.173/1.197,0.168/1.203,0.166/1.206
RPB-OnlineMin[Belady]-msf-100-pb-2,0.309/1.000,0.249/1.086,0.212/1.139,0.188/1.175,0.180/1.186,0.174/1.195,0.172/1.199
RPB-OnlineMin[Belady]-msf-100-pb-4,0.309/1.000,0.248/1.087,0.213/1.138,0.188/1.174,0.182/1.184,0.174/1.195,0.173/1.196
RPB-OnlineMin[Belady]-msf-100-pb-5,0.309/1.000,0.248/1.088,0.212/1.140,0.188/1.175,0.180/1.186,0.174/1.195,0.174/1.195
RPB-OnlineMin[Belady]-msf-100-pb-10,0.309/1.000,0.247/1.090,0.212/1.139,0.189/1.173,0.179/1.188,0.176/1.192,0.172/1.197
RPB-OnlineMin[Belady]-msf-100-pb-20,0.309/1.000,0.248/1.087,0.212/1.139,0.188/1.174,0.180/1.186,0.176/1.191,0.173/1.196
RPB-OnlineMin[Belady]-msf-100-pb-50,0.309/1.000,0.248/1.088,0.212/1.140,0.187/1.176,0.181/1.185,0.175/1.193,0.173/1.197
RPB-OnlineMin[Belady]-msf-100-pb-100,0.309/1.000,0.247/1.089,0.213/1.138,0.189/1.173,0.179/1.187,0.177/1.191,0.173/1.197
RPB-OnlineMin[Belady]-msf-100-pb-200,0.309/1.000,0.248/1.087,0.211/1.141,0.188/1.174,0.181/1.184,0.174/1.194,0.172/1.198
RPB-OnlineMin[Belady]-msf-100-pb-500,0.309/1.000,0.248/1.087,0.212/1.140,0.188/1.175,0.179/1.187,0.175/1.194,0.173/1.196
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.309/1.000,0.249/1.087,0.212/1.139,0.189/1.174,0.180/1.187,0.178/1.190,0.173/1.196
"CombDet[Predict[Belady], LRU]",0.309/1.000,0.276/1.047,0.245/1.092,0.221/1.127,0.212/1.140,0.205/1.150,0.204/1.151
"CombineRandom[Predict[Belady], LRU]",0.309/1.000,0.273/1.051,0.240/1.100,0.220/1.129,0.212/1.141,0.208/1.145,0.204/1.152
