Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.205/1.433,0.205/1.433,0.205/1.433,0.205/1.433,0.205/1.433,0.205/1.433,0.205/1.433
LRU,0.271/1.315,0.271/1.315,0.271/1.315,0.271/1.315,0.271/1.315,0.271/1.315,0.271/1.315
Marker,0.256/1.342,0.256/1.342,0.256/1.342,0.256/1.342,0.256/1.342,0.256/1.342,0.256/1.342
OnlineMin,0.186/1.468,0.186/1.468,0.186/1.468,0.186/1.468,0.186/1.468,0.186/1.468,0.186/1.468
Predict[Belady],0.446/1.000,0.415/1.056,0.348/1.177,0.292/1.277,0.273/1.311,0.262/1.331,0.256/1.341
PredMark[Belady],0.321/1.224,0.307/1.251,0.285/1.290,0.273/1.311,0.269/1.319,0.267/1.321,0.267/1.323
LMarker[Belady],0.321/1.224,0.305/1.253,0.282/1.295,0.269/1.318,0.266/1.325,0.264/1.328,0.263/1.329
LNonMarker[Belady],0.324/1.219,0.312/1.241,0.292/1.276,0.280/1.299,0.277/1.305,0.275/1.308,0.274/1.309
FollowerRobust[OracleState],0.446/1.000,0.349/1.173,0.310/1.244,0.290/1.281,0.282/1.294,0.279/1.300,0.278/1.302
PredictiveOnlineMin[Belady]-msf-100,0.446/1.000,0.381/1.117,0.280/1.299,0.224/1.401,0.205/1.434,0.197/1.448,0.198/1.447
RPB-OnlineMin[Belady]-msf-100-pb-0,0.446/1.000,0.379/1.120,0.279/1.301,0.227/1.394,0.210/1.424,0.200/1.442,0.198/1.446
RPB-OnlineMin[Belady]-msf-100-pb-1,0.446/1.000,0.414/1.057,0.340/1.190,0.282/1.294,0.264/1.327,0.253/1.348,0.249/1.355
RPB-OnlineMin[Belady]-msf-100-pb-2,0.446/1.000,0.414/1.056,0.347/1.178,0.293/1.275,0.275/1.308,0.266/1.325,0.260/1.335
RPB-OnlineMin[Belady]-msf-100-pb-4,0.446/1.000,0.415/1.056,0.348/1.177,0.295/1.272,0.276/1.306,0.267/1.321,0.262/1.331
RPB-OnlineMin[Belady]-msf-100-pb-5,0.446/1.000,0.414/1.056,0.347/1.178,0.295/1.271,0.277/1.305,0.266/1.324,0.262/1.332
RPB-OnlineMin[Belady]-msf-100-pb-10,0.446/1.000,0.415/1.056,0.347/1.177,0.294/1.273,0.276/1.306,0.267/1.322,0.260/1.334
RPB-OnlineMin[Belady]-msf-100-pb-20,0.446/1.000,0.415/1.056,0.347/1.177,0.296/1.270,0.276/1.305,0.267/1.322,0.262/1.330
RPB-OnlineMin[Belady]-msf-100-pb-50,0.446/1.000,0.414/1.056,0.348/1.176,0.295/1.271,0.276/1.305,0.267/1.322,0.261/1.333
RPB-OnlineMin[Belady]-msf-100-pb-100,0.446/1.000,0.414/1.056,0.347/1.177,0.295/1.271,0.276/1.306,0.266/1.324,0.262/1.332
RPB-OnlineMin[Belady]-msf-100-pb-200,0.446/1.000,0.414/1.056,0.347/1.177,0.295/1.272,0.275/1.307,0.268/1.321,0.261/1.333
RPB-OnlineMin[Belady]-msf-100-pb-500,0.446/1.000,0.415/1.056,0.348/1.177,0.295/1.271,0.276/1.306,0.267/1.321,0.262/1.331
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.446/1.000,0.414/1.057,0.348/1.176,0.295/1.272,0.277/1.304,0.267/1.322,0.262/1.331
"CombDet[Predict[Belady], LRU]",0.446/1.000,0.415/1.056,0.347/1.177,0.298/1.266,0.286/1.287,0.281/1.297,0.278/1.302
"CombineRandom[Predict[Belady], LRU]",0.446/1.000,0.414/1.058,0.344/1.184,0.294/1.273,0.280/1.299,0.275/1.307,0.274/1.310
