Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
LRU,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
Marker,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
OnlineMin,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
Predict[Belady],0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000
PredMark[Belady],0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
LMarker[Belady],0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
LNonMarker[Belady],0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056,0.000/1.056
FollowerRobust[OracleState],0.053/1.000,0.003/1.052,0.003/1.053,0.002/1.054,0.002/1.054,0.001/1.055,0.002/1.054
PredictiveOnlineMin[Belady]-msf-100,0.053/1.000,0.028/1.026,0.024/1.031,0.020/1.035,0.018/1.037,0.020/1.035,0.019/1.036
RPB-OnlineMin[Belady]-msf-100-pb-0,0.053/1.000,0.028/1.026,0.023/1.032,0.021/1.034,0.019/1.036,0.018/1.037,0.019/1.036
RPB-OnlineMin[Belady]-msf-100-pb-1,0.053/1.000,0.029/1.025,0.025/1.030,0.022/1.033,0.021/1.034,0.020/1.034,0.019/1.035
RPB-OnlineMin[Belady]-msf-100-pb-2,0.053/1.000,0.033/1.022,0.027/1.028,0.023/1.031,0.022/1.033,0.022/1.033,0.022/1.033
RPB-OnlineMin[Belady]-msf-100-pb-4,0.053/1.000,0.035/1.019,0.029/1.025,0.025/1.029,0.025/1.030,0.025/1.030,0.025/1.030
RPB-OnlineMin[Belady]-msf-100-pb-5,0.053/1.000,0.036/1.018,0.030/1.024,0.026/1.028,0.025/1.029,0.025/1.029,0.025/1.029
RPB-OnlineMin[Belady]-msf-100-pb-10,0.053/1.000,0.036/1.018,0.032/1.023,0.029/1.025,0.029/1.026,0.028/1.026,0.027/1.027
RPB-OnlineMin[Belady]-msf-100-pb-20,0.053/1.000,0.036/1.018,0.032/1.023,0.030/1.025,0.028/1.026,0.028/1.026,0.027/1.027
RPB-OnlineMin[Belady]-msf-100-pb-50,0.053/1.000,0.036/1.018,0.032/1.022,0.029/1.026,0.028/1.026,0.028/1.027,0.027/1.028
RPB-OnlineMin[Belady]-msf-100-pb-100,0.053/1.000,0.036/1.018,0.032/1.022,0.029/1.026,0.028/1.026,0.028/1.027,0.027/1.027
RPB-OnlineMin[Belady]-msf-100-pb-200,0.053/1.000,0.036/1.018,0.032/1.023,0.029/1.025,0.028/1.026,0.028/1.027,0.028/1.027
RPB-OnlineMin[Belady]-msf-100-pb-500,0.053/1.000,0.036/1.018,0.030/1.024,0.029/1.025,0.029/1.026,0.028/1.027,0.028/1.026
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.053/1.000,0.035/1.019,0.033/1.022,0.029/1.025,0.028/1.027,0.028/1.027,0.027/1.028
"CombDet[Predict[Belady], LRU]",0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000
"CombineRandom[Predict[Belady], LRU]",0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000,0.053/1.000
