Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.023/1.300,0.023/1.300,0.023/1.300,0.023/1.300,0.023/1.300,0.023/1.300,0.023/1.300
LRU,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330
Marker,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330,0.000/1.330
OnlineMin,0.019/1.305,0.019/1.305,0.019/1.305,0.019/1.305,0.019/1.305,0.019/1.305,0.019/1.305
Predict[Belady],0.248/1.000,0.236/1.016,0.224/1.033,0.212/1.048,0.207/1.054,0.204/1.058,0.202/1.062
PredMark[Belady],0.002/1.328,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329
LMarker[Belady],0.002/1.328,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329,0.001/1.329
LNonMarker[Belady],0.002/1.328,0.002/1.328,0.002/1.328,0.002/1.328,0.002/1.328,0.002/1.328,0.002/1.328
FollowerRobust[OracleState],0.248/1.000,0.027/1.294,0.018/1.307,0.013/1.314,0.012/1.315,0.011/1.316,0.011/1.316
PredictiveOnlineMin[Belady]-msf-100,0.248/1.000,0.151/1.130,0.123/1.166,0.106/1.190,0.098/1.200,0.097/1.202,0.094/1.205
RPB-OnlineMin[Belady]-msf-100-pb-0,0.248/1.000,0.151/1.130,0.122/1.168,0.106/1.189,0.100/1.197,0.095/1.204,0.094/1.205
RPB-OnlineMin[Belady]-msf-100-pb-1,0.248/1.000,0.176/1.096,0.154/1.125,0.138/1.147,0.133/1.153,0.130/1.158,0.127/1.161
RPB-OnlineMin[Belady]-msf-100-pb-2,0.248/1.000,0.178/1.093,0.154/1.126,0.141/1.142,0.137/1.148,0.133/1.153,0.130/1.157
RPB-OnlineMin[Belady]-msf-100-pb-4,0.248/1.000,0.178/1.093,0.155/1.124,0.141/1.143,0.135/1.150,0.133/1.154,0.132/1.155
RPB-OnlineMin[Belady]-msf-100-pb-5,0.248/1.000,0.178/1.094,0.155/1.124,0.140/1.144,0.136/1.150,0.133/1.153,0.129/1.159
RPB-OnlineMin[Belady]-msf-100-pb-10,0.248/1.000,0.177/1.094,0.156/1.123,0.141/1.143,0.136/1.149,0.133/1.153,0.132/1.155
RPB-OnlineMin[Belady]-msf-100-pb-20,0.248/1.000,0.178/1.094,0.154/1.125,0.142/1.142,0.135/1.150,0.133/1.153,0.132/1.155
RPB-OnlineMin[Belady]-msf-100-pb-50,0.248/1.000,0.177/1.095,0.154/1.125,0.141/1.143,0.137/1.148,0.132/1.155,0.131/1.156
RPB-OnlineMin[Belady]-msf-100-pb-100,0.248/1.000,0.178/1.093,0.155/1.123,0.143/1.141,0.136/1.150,0.133/1.154,0.133/1.153
RPB-OnlineMin[Belady]-msf-100-pb-200,0.248/1.000,0.177/1.094,0.155/1.124,0.141/1.143,0.136/1.149,0.134/1.153,0.131/1.156
RPB-OnlineMin[Belady]-msf-100-pb-500,0.248/1.000,0.177/1.095,0.154/1.126,0.141/1.143,0.137/1.149,0.134/1.152,0.131/1.156
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.248/1.000,0.177/1.094,0.155/1.124,0.140/1.144,0.135/1.151,0.134/1.152,0.132/1.155
"CombDet[Predict[Belady], LRU]",0.248/1.000,0.236/1.016,0.224/1.033,0.212/1.048,0.208/1.053,0.204/1.059,0.203/1.060
"CombineRandom[Predict[Belady], LRU]",0.248/1.000,0.237/1.016,0.224/1.032,0.212/1.049,0.207/1.055,0.204/1.059,0.201/1.062
