Name,LogDis-0,LogDis-5,LogDis-10,LogDis-20,LogDis-30,LogDis-40,LogDis-50
Rand,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
LRU,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
Marker,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
OnlineMin,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
Predict[Belady],0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000
PredMark[Belady],0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
LMarker[Belady],0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
LNonMarker[Belady],0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014,0.000/1.014
FollowerRobust[OracleState],0.014/1.000,0.004/1.010,0.003/1.011,0.002/1.012,0.002/1.012,0.002/1.013,0.002/1.012
PredictiveOnlineMin[Belady]-msf-100,0.013/1.001,0.007/1.007,0.006/1.008,0.005/1.008,0.005/1.009,0.005/1.009,0.004/1.009
RPB-OnlineMin[Belady]-msf-100-pb-0,0.013/1.001,0.007/1.007,0.006/1.008,0.005/1.009,0.005/1.009,0.005/1.009,0.004/1.010
RPB-OnlineMin[Belady]-msf-100-pb-1,0.013/1.001,0.008/1.005,0.007/1.007,0.006/1.008,0.006/1.008,0.005/1.008,0.006/1.008
RPB-OnlineMin[Belady]-msf-100-pb-2,0.013/1.001,0.008/1.005,0.007/1.006,0.007/1.007,0.006/1.008,0.006/1.008,0.006/1.008
RPB-OnlineMin[Belady]-msf-100-pb-4,0.013/1.001,0.009/1.005,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.006/1.008
RPB-OnlineMin[Belady]-msf-100-pb-5,0.013/1.001,0.009/1.004,0.007/1.006,0.007/1.007,0.007/1.007,0.006/1.008,0.007/1.007
RPB-OnlineMin[Belady]-msf-100-pb-10,0.013/1.001,0.009/1.005,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.007/1.007
RPB-OnlineMin[Belady]-msf-100-pb-20,0.013/1.001,0.010/1.004,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.007/1.007
RPB-OnlineMin[Belady]-msf-100-pb-50,0.013/1.001,0.009/1.004,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.006/1.007
RPB-OnlineMin[Belady]-msf-100-pb-100,0.013/1.001,0.009/1.004,0.008/1.006,0.007/1.006,0.006/1.007,0.007/1.007,0.006/1.007
RPB-OnlineMin[Belady]-msf-100-pb-200,0.013/1.001,0.009/1.005,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.007/1.007
RPB-OnlineMin[Belady]-msf-100-pb-500,0.013/1.001,0.009/1.004,0.008/1.006,0.007/1.007,0.007/1.007,0.007/1.007,0.007/1.007
RPB-OnlineMin[Belady]-msf-100-pb-1000,0.013/1.001,0.009/1.005,0.008/1.006,0.007/1.006,0.007/1.007,0.007/1.007,0.007/1.007
"CombDet[Predict[Belady], LRU]",0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000
"CombineRandom[Predict[Belady], LRU]",0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000,0.014/1.000
