init_top30,bo_top30
0.7,5.9
1.0,5.9
1.2,6.0
1.4,6.0
2.1,5.9
3.2,6.0
3.2,6.4
4.5,6.3
3.8,6.1
3.7,6.4
5.6,6.2
5.0,6.2
3.6,6.1
5.5,6.4
5.3,6.2
5.1,6.3
5.4,6.0
4.8,6.2
4.2,6.1
5.4,6.4
5.1,6.5
6.2,6.6
9.5,6.5
5.3,7.3
5.0,7.2
3.5,6.8
5.4,6.4
5.6,6.7
4.3,6.4
3.7,6.4
