epoch,batch,loss,time
0,10,0.5377564907073975,1774131623.9135303
0,20,0.5347328126430512,1774131623.9641392
0,30,0.5341458400090535,1774131624.0144935
0,40,0.5334897667169571,1774131624.0648985
0,50,0.5332527554035187,1774131624.1151283
0,60,0.5326599766810735,1774131624.165272
0,70,0.5319069658006941,1774131624.2156503
0,80,0.5310480527579784,1774131624.266218
0,90,0.5306552622053359,1774131624.3168125
0,100,0.5299750679731369,1774131624.3669596
0,110,0.5294829043475064,1774131624.4178336
0,120,0.5288631285230319,1774131624.4682596
0,130,0.5283698833905733,1774131624.5185106
0,140,0.5279291020972389,1774131624.568591
0,150,0.527457412481308,1774131624.6184711
0,160,0.5269263628870249,1774131624.671717
1,10,0.522188252210617,1774131625.1614199
1,20,0.5214556872844696,1774131625.2133362
1,30,0.5210886895656586,1774131625.2644782
1,40,0.5200074926018715,1774131625.318227
1,50,0.5193440699577332,1774131625.3693504
1,60,0.5187312593062718,1774131625.4210417
1,70,0.5182286918163299,1774131625.4721847
1,80,0.5177929989993573,1774131625.5257804
1,90,0.5174994574652778,1774131625.5764823
1,100,0.5169348329305649,1774131625.6277916
1,110,0.5166132764382796,1774131625.678184
1,120,0.5163605287671089,1774131625.7287486
1,130,0.5161505259000339,1774131625.7794948
1,140,0.5159163981676101,1774131625.829956
1,150,0.5157012788454691,1774131625.8805156
1,160,0.5153803590685129,1774131625.9345813
2,10,0.5093177080154419,1774131626.3578432
2,20,0.5062161415815354,1774131626.412764
2,30,0.5063676506280899,1774131626.4651356
2,40,0.5064703911542893,1774131626.5173614
2,50,0.5051969832181931,1774131626.5694375
2,60,0.5046709428230921,1774131626.6206775
2,70,0.50417143872806,1774131626.6722002
2,80,0.5034741040319204,1774131626.7231705
2,90,0.5029585437642203,1774131626.7752252
2,100,0.5022670319676399,1774131626.8265269
2,110,0.5017648992213336,1774131626.8779814
2,120,0.5012234504024188,1774131626.9288783
2,130,0.5004570977045939,1774131626.9798768
2,140,0.4994188532233238,1774131627.031379
2,150,0.4985469615459442,1774131627.0819573
2,160,0.49760114327073096,1774131627.1358845
3,10,0.4804215937852859,1774131627.639346
3,20,0.4771695703268051,1774131627.6896482
3,30,0.4757010340690613,1774131627.7400467
3,40,0.47475187927484513,1774131627.7905254
3,50,0.4727690553665161,1774131627.8406446
3,60,0.4712294161319733,1774131627.891569
3,70,0.469462987780571,1774131627.9420733
3,80,0.4677400816231966,1774131627.992346
3,90,0.4657970779471927,1774131628.0428116
3,100,0.463715041577816,1774131628.0966718
3,110,0.46180244332010095,1774131628.1501215
3,120,0.45946319624781606,1774131628.2018125
