algorithm,avg_rank,hit_rate,win_count,total_problems
BERW-Hetero,2.298,0.000,64,225
BERW-Hetero(reeval=0),2.320,0.000,62,225
BERW-Hetero(reeval=3),2.471,0.000,58,225
CMA-ES-sep,2.911,0.000,41,225

algorithm,budget,avg_rank,hit_rate,win_count,total_budget_problems
BERW-Hetero,100,2.298,0.000,64,225
BERW-Hetero(reeval=0),100,2.320,0.000,62,225
BERW-Hetero(reeval=3),100,2.471,0.000,58,225
CMA-ES-sep,100,2.911,0.000,41,225
