n_agents,enstrophy,effort,relative_mse
36,35.31791057327378,321.64797688787206,211.096882209437
64,16.730664235122894,306.51783530573687,100.0
81,10.787342681071909,310.76063893213103,64.47647582590238
100,6.8501466886950455,363.39031934600155,40.94366244177231
121,5.005719879766069,560.1670610482829,29.919433020821124
144,3.0690853669127294,836.1632482142544,18.344073634983122
196,2.4657643534482157,1070.633272106142,14.737994372463739
256,2.772896647168273,1163.853994542194,16.573739142688048
324,2.9504710864837542,1250.3008857980708,17.63511026830479
400,3.6446970670602026,1343.0179738902427,21.784532973944
