set_id,dim,lambda,mu,sigma_x,noise_sigma,M_RD,q_pair,M_topmu,update_dispersion_sq,update_cosine,f0,f_after_draw1,f_after_draw2,f_after_mean_update,E_f_after,Var_update,Jensen_gap,gap_over_half_var
0.0,40.0,16.0,8.0,0.5,1.0,0.0625,0.08333333333333333,0.0,0.0,0.999999999999211,109.3550306351526,105.37255602060438,105.37255602060438,105.33633174697586,105.41119873633363,0.14973397871556648,0.0748669893577727,0.999999999986502
1.0,40.0,16.0,8.0,0.5,1.0,0.0859375,0.1,0.125,0.3245379877072916,0.9039623565992374,77.63720932063717,74.73316340932553,74.8909279567621,74.79782261118785,74.8544171161183,0.11318900986092392,0.0565945049304446,0.9999999999820237
2.0,40.0,16.0,8.0,0.5,1.0,0.0390625,0.05,0.0,0.0,0.9999999999994557,55.59093803571288,47.68339635185113,47.68339635185113,47.65100100151518,47.68409887577765,0.06619574852493298,0.033097874262466576,0.9999999999697892
3.0,40.0,16.0,8.0,0.5,1.0,0.0625,0.06666666666666667,0.25,0.767481673737418,0.6836887247671068,71.08936869663987,70.89472833909426,70.71906522229959,70.52697613794575,70.63689542101804,0.21983856614459762,0.10991928307228704,0.9999999999907953
4.0,40.0,16.0,8.0,0.5,1.0,0.0390625,0.041666666666666664,0.0,0.0,0.9999999999992483,78.74482485124021,74.19196734744058,74.19196734744058,74.18620844491147,74.21407887102289,0.05574085222288688,0.027870426111419988,0.9999999999632782
5.0,40.0,16.0,8.0,0.5,1.0,0.0546875,0.06666666666666667,0.125,0.23011885770264778,0.8836542262847538,58.71524898191023,57.03169524545476,57.17278799081269,57.11777860419598,57.186662619173,0.13776802995402326,0.0688840149770158,0.9999999999855432
6.0,40.0,16.0,8.0,0.5,1.0,0.078125,0.1,0.125,0.2583862460738636,0.9074624990940007,62.29322800481457,57.92903881798566,57.854211744034096,57.900882434325574,57.96711139312241,0.13245791759365683,0.06622895879683455,0.9999999999849934
7.0,40.0,16.0,8.0,0.5,1.0,0.0546875,0.06666666666666667,0.125,0.27494011303782523,0.9191637173584621,67.39066672075757,65.0478750922092,64.88027732876706,64.93165282844755,64.98015432698772,0.09700299708031802,0.04850149854016195,0.9999999999794427
8.0,40.0,16.0,8.0,0.5,1.0,0.109375,0.13333333333333333,0.125,0.2524677826910668,0.8872348546982778,84.33300125011976,80.38750246328279,80.12030079805973,80.19945123220299,80.26436890921282,0.12983535401969534,0.06491767700983075,0.9999999999843352
9.0,40.0,16.0,8.0,0.5,1.0,0.0859375,0.09166666666666666,0.25,0.7176172439736886,0.7548877113754447,50.64465226524159,46.81355755389059,46.7018495417565,46.68461447529389,46.75112138748486,0.13301382438192566,0.06650691219096672,0.9999999999850223
10.0,40.0,16.0,8.0,0.5,1.0,0.03125,0.03333333333333333,0.125,0.2194909393518471,0.8929967598927447,97.22135210609545,94.80472045168274,94.63453753649115,94.69267193218157,94.73687186829711,0.08839987223109072,0.044199936115546734,0.9999999999774066
11.0,40.0,16.0,8.0,0.5,1.0,0.0390625,0.041666666666666664,0.0,0.0,0.9999999999990676,64.76039378987542,61.40125233483666,61.40125233483666,61.34049578340807,61.4162307332965,0.1514698997768768,0.0757349498884281,0.99999999998666
12.0,40.0,16.0,8.0,0.5,1.0,0.109375,0.125,0.25,0.6678071786008628,0.7056553332197061,81.19865655677835,73.38481847881816,73.91493994525224,73.43563015798219,73.48490992985964,0.0985595437548738,0.04927977187745114,0.9999999999799967
13.0,40.0,16.0,8.0,0.5,1.0,0.0390625,0.05,0.0,0.0,0.9999999999994383,113.228276659773,106.0139303899835,106.0139303899835,105.9661466312562,106.00792746174574,0.0835616609790912,0.041780830489543064,0.9999999999760049
14.0,40.0,16.0,8.0,0.5,1.0,0.0546875,0.058333333333333334,0.125,0.23952602129772663,0.9070978562199921,74.21980509426871,70.14726484858583,70.74661705668498,70.25937656809421,70.31230573681515,0.1058583374419293,0.05292916872093656,0.9999999999805762
