"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"EleutherAI/llemma_34b",0.459068634491522,-1.21281264744992,30,839,0.733333333333333,0.44889812649986,0.456161137440758,844,0.00290749705076404,0.00290749705076404,8.4535391002016e-06
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",0.573185593301772,0.0428196621454122,30,839,0.633333333333333,0.570955145587375,0.565165876777251,844,0.00801971652452094,0.00801971652452094,6.43158531336742e-05
"eren23/slerp-test-turdus-beagle",0.695073100068503,1.25464793595703,30,839,0.7,0.69489039673359,0.71563981042654,844,-0.020566710358037,0.020566710358037,0.000422989574951388
"Eric111/Yarn-Mistral-7b-128k-DPO",0.523624619928227,-0.464355451898172,30,839,0.633333333333333,0.519556311643736,0.537914691943128,844,-0.0142900720149011,0.0142900720149011,0.000204206158191059
"ericpolewski/AIRIC-The-Intern",0.450480312686541,-1.31917441448657,30,839,0.7,0.441227419461073,0.445497630331754,844,0.00498268235478699,0.00498268235478699,2.48271234487057e-05
"Eurdem/megatron_v3_2x7B",0.567340667385828,0.000393948816393758,30,839,0.7,0.562421285459469,0.612559241706161,844,-0.045218574320333,0.045218574320333,0.00204471946356348
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.510287420850652,-0.606931252232722,30,839,0.6,0.506960625579354,0.517772511848341,844,-0.00748509099768901,0.00748509099768901,5.60265872436851e-05
"ewqr2130/llama_sft_longer",0.410067797448817,-1.938348535771,30,839,0.5,0.406732857922815,0.443127962085308,844,-0.033060164636491,0.033060164636491,0.00109297448579189
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.598763764719536,0.290842368390495,30,839,0.666666666666667,0.596245733744982,0.622037914691943,844,-0.0232741499724071,0.0232741499724071,0.000541686056938096
"fblgit/UNA-POLAR-10.7B-InstructMath-v2",0.609872873604018,0.422776679024396,30,839,0.733333333333333,0.605294611809358,0.671800947867299,844,-0.0619280742632811,0.0619280742632811,0.00383508638195845
"fblgit/UNAversal-8x7B-v1beta",0.566940295635306,-0.032826156437896,30,839,0.733333333333333,0.560769972852932,0.656398104265403,844,-0.089457808630097,0.089457808630097,0.00800269952489906
"FelixChao/Capricorn-7B",0.690001859795453,1.24914217741665,30,839,0.633333333333333,0.692103288465247,0.703791469194313,844,-0.01378960939886,0.01378960939886,0.000190153327373128
"FelixChao/Gemma-10.2B",0.474834281174701,-1.02855029859516,30,839,0.5,0.47390106539626,0.498815165876777,844,-0.023980884702076,0.023980884702076,0.000575082831094262
"FelixChao/NinjaDolphin-7B",0.5914850087292,0.23466285652001,30,839,0.7,0.587460967025709,0.603080568720379,844,-0.011595559991179,0.011595559991179,0.000134457011509031
"FelixChao/Patronum-7B",0.69232879387655,1.25017889966564,30,839,0.633333333333333,0.694516511820056,0.691943127962085,844,0.000385665914464983,0.000385665914464983,1.48738197580112e-07
"FelixChao/ShadowNeural-7B-ORPO",0.617327269147393,0.497667619167883,30,839,0.6,0.617969813120721,0.62085308056872,844,-0.00352581142132702,0.00352581142132702,1.24313461787601e-05
"fhai50032/BeagleLake-7B",0.663895523027,0.968251787358162,30,839,0.566666666666667,0.667501043040362,0.670616113744076,844,-0.00672059071707609,0.00672059071707609,4.51663395864493e-05
"fhai50032/RP-Coder-SM3",0.591238726679861,0.239168883474099,30,839,0.633333333333333,0.589677740030164,0.601895734597156,844,-0.010657007917295,0.010657007917295,0.000113571817749287
"flammenai/flammen18X-mistral-7B",0.689682645885707,1.24796642149223,30,839,0.6,0.693008331147229,0.706161137440758,844,-0.016478491555051,0.016478491555051,0.000271540683929887
"flammenai/flammen20-mistral-7B",0.67006138303411,0.999768222654118,30,839,0.666666666666667,0.670187268684324,0.674170616113744,844,-0.00410923307963396,0.00410923307963396,1.6885796502758e-05
"flammenai/flammen23X-mistral-7B",0.630630544696222,0.608061659560439,30,839,0.566666666666667,0.633002505562584,0.649289099526066,844,-0.0186585548298439,0.0186585548298439,0.000348141668338292
"flemmingmiguel/MDBX-7B",0.672444280905022,1.00517097604432,30,839,0.633333333333333,0.673894625067136,0.696682464454976,844,-0.024238183549954,0.024238183549954,0.00058748954180126
"frankenmerger/delta-4B-super",0.470848309411249,-1.0722463570895,30,839,0.6,0.466059000736759,0.51303317535545,844,-0.042184865944201,0.042184865944201,0.00177956291473021
"freeCS-dot-org/ThetaWave-7B-v0.1",0.616160733473604,0.489179378126755,30,839,0.733333333333333,0.611815643243948,0.638625592417062,844,-0.022464858943458,0.022464858943458,0.000504669887349463
"freecs/Zero-7B-test-1",0.561882004764958,-0.047323871699274,30,839,0.666666666666667,0.557996294187639,0.606635071090047,844,-0.044753066325089,0.044753066325089,0.00200283694549782
"FuseAI/FuseChat-7B-Slerp",0.57217942793431,0.016411508381142,30,839,0.733333333333333,0.566203386942999,0.575829383886256,844,-0.00364995595194606,0.00364995595194606,1.33221784511465e-05
"fzzhang/mistralv1_gsm8k_merged_s",0.541571461198424,-0.273258517869273,30,839,0.633333333333333,0.538168672367711,0.556872037914692,844,-0.0153005767162679,0.0153005767162679,0.000234107647850401
"G-reen/EXPERIMENT-DPO-m7b2-1-merged",0.505355353630988,-0.661745596336824,30,839,0.6,0.501845663407169,0.516587677725118,844,-0.01123232409413,0.01123232409413,0.000126165104555573
"g-ronimo/phi-2-OpenHermes-2.5-v2",0.458066199804632,-1.20425272798453,30,839,0.633333333333333,0.451566800539044,0.503554502369668,844,-0.0454883025650361,0.0454883025650361,0.00206918567024827
"Gille/StrangeMerges_2-7B-slerp",0.610877650878792,0.426771931971921,30,839,0.7,0.607572743000379,0.623222748815166,844,-0.0123450979363741,0.0123450979363741,0.000152401443058667
"Gille/StrangeMerges_22-7B-slerp",0.71892929593993,1.78537678116285,30,839,0.833333333333333,0.714686871809149,0.718009478672986,844,0.000919817266944012,0.000919817266944012,8.46063804568352e-07
"Gille/StrangeMerges_24-7B-slerp",0.719848583928966,1.81716367095163,30,839,0.8,0.716876343530781,0.721563981042654,844,-0.00171539711368796,0.00171539711368796,2.94258725764897e-06
"Gille/StrangeMerges_36-7B-slerp",0.706918421494645,1.49566921654097,30,839,0.733333333333333,0.705938882118674,0.714454976303318,844,-0.00753655480867299,0.00753655480867299,5.6799658384132e-05
"Gille/StrangeMerges_4-7B-slerp",0.640695351325668,0.727022966149626,30,839,0.6,0.642204449644296,0.657582938388626,844,-0.016887587062958,0.016887587062958,0.000285190596808987
"Gille/StrangeMerges_41-7B-dare_ties",0.570838677894896,0.0239659477881396,30,839,0.6,0.569757293886054,0.605450236966825,844,-0.034611559071929,0.034611559071929,0.00119796002138963
"google/codegemma-7b",0.433949310366112,-1.51316097415417,30,839,0.566666666666667,0.429027776757933,0.447867298578199,844,-0.013917988212087,0.013917988212087,0.000193710395871793
"GreenNode/GreenNodeLM-7B-v4leo",0.660084191287708,0.901343194076447,30,839,0.666666666666667,0.659840094549304,0.683649289099526,844,-0.023565097811818,0.023565097811818,0.000555313834880551
"HanNayeoniee/LHK",0.537794599765526,-0.336633851080873,30,839,0.633333333333333,0.534251754268574,0.611374407582938,844,-0.073579807817412,0.073579807817412,0.00541398811844729
"hfl/chinese-mixtral-instruct",0.544887740522814,-0.263365628071164,30,839,0.8,0.535427458960001,0.626777251184834,844,-0.08188951066202,0.08188951066202,0.00670589195646509
"hon9kon9ize/CantoneseLLMChat-preview20240326",0.440819837934594,-1.43288032331662,30,839,0.6,0.434916988908683,0.42654028436019,844,0.014279553574404,0.014279553574404,0.000203905650284275
"ibivibiv/multimaster-7b-v4",0.705231033672075,1.48034248486154,30,839,0.733333333333333,0.704188921200088,0.703791469194313,844,0.00143956447776195,0.00143956447776195,2.07234588563402e-06
"ibivibiv/multimaster-7b-v5",0.69324115784457,1.25013292383354,30,839,0.666666666666667,0.69422661487218,0.699052132701422,844,-0.005810974856852,0.005810974856852,3.37674287869661e-05
"ibivibiv/multimaster-7b-v6",0.703092608982758,1.41089000035247,30,839,0.766666666666667,0.700735103753441,0.704976303317536,844,-0.00188369433477797,0.00188369433477797,3.54830434687464e-06
"ibivibiv/orthorus-125b-moe",0.516871038594148,-0.548508928431423,30,839,0.7,0.510080100593931,0.622037914691943,844,-0.105166876097795,0.105166876097795,0.011060071828169
"ibivibiv/orthorus-125b-v2",0.588795226540518,0.222229033229448,30,839,0.7,0.584671440132873,0.696682464454976,844,-0.107887237914458,0.107887237914458,0.0116396561048109
