old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W,coverage_APS,setsize_APS,coverage_APS_W,setsize_APS_W
chemistry,philosophy,0.8088930936613056,2.8306527909176915,1.0,6.0,0.9990539262062441,4.562913907284768,1.0,6.0
chemistry,economics,0.9001663893510815,2.9983361064891847,0.9833610648918469,3.572379367720466,1.0,4.284525790349417,1.0,4.542429284525791
chemistry,history,0.8563218390804598,2.268199233716475,1.0,6.0,1.0,4.258620689655173,1.0,6.0
chemistry,physics,0.8843283582089553,3.0279850746268657,0.9738805970149254,3.6641791044776117,1.0,4.1138059701492535,1.0,4.393656716417911
chemistry,culture,0.9172661870503597,2.323741007194245,0.9784172661870504,3.1258992805755397,1.0,4.071942446043166,1.0,4.517985611510792
chemistry,geography,0.8625,2.3,0.91875,2.65625,0.99375,4.09375,1.0,4.2875
chemistry,psychology,0.8548559231590181,2.5080042689434365,0.9455709711846318,3.1312700106723588,1.0,4.124866595517609,1.0,4.341515474919957
chemistry,math,0.9209621993127147,3.4925544100801833,1.0,6.0,1.0,4.435280641466209,1.0,6.0
chemistry,other,0.889763779527559,2.591676040494938,0.9651293588301463,3.208098987626547,0.9977502812148481,4.093363329583802,0.9988751406074241,4.4578177727784025
chemistry,engineering,0.9333333333333333,2.925,0.9916666666666667,3.4916666666666667,1.0,4.108333333333333,1.0,4.275
chemistry,biology,0.8586387434554974,2.549738219895288,0.9214659685863874,2.994764397905759,1.0,4.277486910994765,1.0,4.476439790575916
chemistry,politics,0.8618042226487524,2.531669865642994,0.9577735124760077,3.18426103646833,1.0,4.119001919385797,1.0,4.418426103646833
chemistry,computer science,0.9017857142857143,2.994047619047619,0.9553571428571429,3.449404761904762,0.9970238095238095,4.375,1.0,4.741071428571429
chemistry,business,0.9382352941176471,2.15,0.9705882352941176,2.5617647058823527,1.0,3.902941176470588,1.0,4.226470588235294
chemistry,law,0.8641304347826086,3.092391304347826,0.9739130434782609,3.760869565217391,1.0,4.6,1.0,4.784782608695652
chemistry,health,0.8528717545239969,2.5515342250196698,0.9331235247836349,3.140047206923682,0.999213217938631,4.246262785208497,1.0,4.490952006294257
philosophy,economics,0.9750415973377704,3.454242928452579,0.9500831946755408,3.3044925124792015,0.9983361064891847,4.069883527454243,1.0,4.21630615640599
philosophy,history,0.9233716475095786,2.793103448275862,0.9003831417624522,2.553639846743295,0.9942528735632183,3.9406130268199235,1.0,4.388888888888889
philosophy,physics,0.9458955223880597,3.419776119402985,0.9309701492537313,3.3115671641791047,0.996268656716418,3.917910447761194,1.0,4.018656716417911
philosophy,culture,0.9532374100719424,2.758992805755396,0.9532374100719424,2.672661870503597,1.0,3.7949640287769784,1.0,4.0359712230215825
philosophy,geography,0.91875,2.675,0.9,2.48125,0.9875,3.7625,0.99375,4.05
philosophy,psychology,0.928495197438634,2.975453575240128,1.0,6.0,0.9967982924226254,3.864461045891142,1.0,6.0
philosophy,math,0.9759450171821306,3.849942726231386,0.9713631156930126,3.823596792668958,1.0,4.163802978235968,1.0,4.781214203894616
philosophy,other,0.9471316085489314,2.998875140607424,0.9167604049493814,2.770528683914511,0.9943757030371203,3.7874015748031495,0.9977502812148481,4.257592800899888
philosophy,engineering,0.9833333333333333,3.4,0.95,3.191666666666667,1.0,3.925,1.0,3.9833333333333334
philosophy,biology,0.9214659685863874,3.026178010471204,0.9319371727748691,3.089005235602094,0.9921465968586387,3.9659685863874348,1.0,4.947643979057592
philosophy,politics,0.9404990403071017,3.055662188099808,0.9788867562380038,3.4452975047984644,0.9961612284069098,3.9117082533589254,1.0,4.357005758157389
philosophy,computer science,0.9494047619047619,3.363095238095238,0.9375,3.2291666666666665,0.9940476190476191,4.142857142857143,0.9940476190476191,4.232142857142857
philosophy,business,0.9705882352941176,2.588235294117647,0.9882352941176471,3.288235294117647,0.9970588235294118,3.5205882352941176,1.0,4.202941176470588
philosophy,law,0.9586956521739131,3.631521739130435,0.8978260869565218,3.3043478260869565,0.9978260869565218,4.267391304347826,0.9978260869565218,4.214130434782609
philosophy,health,0.919748229740362,2.995279307631786,1.0,6.0,0.995279307631786,3.97639653815893,1.0,6.0
economics,history,0.8620689655172413,2.293103448275862,0.8716475095785441,2.375478927203065,0.9980842911877394,4.126436781609195,0.9980842911877394,4.120689655172414
economics,physics,0.8917910447761194,3.046641791044776,0.9011194029850746,3.091417910447761,1.0,3.996268656716418,1.0,4.434701492537314
economics,culture,0.920863309352518,2.341726618705036,0.920863309352518,2.352517985611511,1.0,3.935251798561151,1.0,4.363309352517986
economics,geography,0.8625,2.3125,0.8625,2.2875,0.99375,3.9125,1.0,4.29375
economics,psychology,0.8580576307363927,2.5400213447171827,0.96051227321238,3.2849519743863396,0.9989327641408752,4.00213447171825,1.0,4.629669156883671
economics,math,0.9221076746849943,3.5143184421534936,0.9140893470790378,3.4341351660939288,1.0,4.277205040091638,1.0,4.901489117983964
economics,other,0.8920134983127109,2.625421822272216,0.8706411698537683,2.481439820022497,0.9966254218222722,3.9313835770528684,0.9988751406074241,4.355455568053993
economics,engineering,0.9416666666666667,2.966666666666667,0.95,2.9916666666666667,1.0,3.9583333333333335,1.0,4.15
economics,biology,0.8612565445026178,2.5785340314136125,1.0,6.0,0.9947643979057592,4.146596858638744,1.0,6.0
economics,politics,0.8675623800383877,2.5508637236084453,0.8426103646833013,2.404990403071017,0.9980806142034548,4.0,0.9961612284069098,3.9712092130518233
economics,computer science,0.9017857142857143,3.0148809523809526,0.9196428571428571,3.125,0.9940476190476191,4.276785714285714,1.0,4.690476190476191
economics,business,0.9382352941176471,2.1588235294117646,0.9382352941176471,2.1588235294117646,1.0,3.723529411764706,1.0,3.7176470588235295
economics,law,0.8706521739130435,3.126086956521739,0.9586956521739131,3.6293478260869567,1.0,4.442391304347826,1.0,4.873913043478261
