old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W
business,computer science,0.8422619047619048,2.619047619047619,1.0,6.0
business,other,0.8402699662542182,2.2722159730033744,0.8998875140607424,2.6951631046119235
business,physics,0.8078358208955224,2.6865671641791047,0.9104477611940298,3.158582089552239
business,chemistry,0.8095238095238095,2.8134920634920637,1.0,6.0
business,math,0.8579610538373424,3.1420389461626574,1.0,6.0
business,geography,0.80625,1.96875,1.0,6.0
business,biology,0.8010471204188482,2.2198952879581153,1.0,6.0
business,culture,0.8992805755395683,2.064748201438849,0.9784172661870504,3.172661870503597
business,history,0.8045977011494253,1.9655172413793103,1.0,6.0
business,politics,0.8080614203454894,2.2130518234165066,0.9213051823416507,2.907869481765835
business,psychology,0.8036286019210246,2.2049092849519742,1.0,6.0
business,law,0.7630434782608696,2.621739130434783,1.0,6.0
business,philosophy,0.7842951750236519,2.6442762535477766,0.9924314096499527,3.7975402081362346
business,health,0.7938630999213218,2.2250196695515343,1.0,6.0
business,engineering,0.9083333333333333,2.65,1.0,6.0
business,economics,0.8502495840266223,2.638935108153078,1.0,6.0
computer science,other,0.8953880764904387,2.640044994375703,0.9122609673790776,2.735658042744657
computer science,physics,0.9011194029850746,3.080223880597015,0.9944029850746269,3.878731343283582
computer science,chemistry,0.9206349206349206,3.3373015873015874,1.0,6.0
computer science,math,0.9266895761741123,3.540664375715922,0.9862542955326461,3.9301260022909505
computer science,geography,0.875,2.3375,0.9375,2.7875
computer science,biology,0.8691099476439791,2.6178010471204187,1.0,6.0
computer science,culture,0.920863309352518,2.3597122302158273,1.0,6.0
computer science,history,0.867816091954023,2.3256704980842913,1.0,6.0
computer science,politics,0.8733205374280231,2.595009596928983,1.0,6.0
computer science,psychology,0.8644610458911419,2.568836712913554,0.9551760939167556,3.215581643543223
computer science,law,0.8771739130434782,3.1652173913043478,1.0,6.0
computer science,philosophy,0.8145695364238411,2.859035004730369,1.0,6.0
computer science,health,0.8583792289535799,2.5924468922108574,0.8788355625491738,2.694728560188828
computer science,engineering,0.95,3.0083333333333333,1.0,4.116666666666666
computer science,economics,0.9051580698835274,3.0399334442595674,1.0,6.0
other,physics,0.9104477611940298,3.1641791044776117,0.9720149253731343,3.6343283582089554
other,chemistry,0.9246031746031746,3.4166666666666665,1.0,6.0
other,math,0.9381443298969072,3.6174112256586484,1.0,6.0
other,geography,0.88125,2.425,1.0,6.0
other,biology,0.8848167539267016,2.696335078534031,1.0,6.0
other,culture,0.9316546762589928,2.420863309352518,0.9460431654676259,2.5431654676258995
other,history,0.8735632183908046,2.3908045977011496,1.0,6.0
other,politics,0.8886756238003839,2.677543186180422,1.0,6.0
other,psychology,0.880469583778015,2.6531483457844183,0.9156883671291356,2.8826040554962646
other,law,0.8891304347826087,3.253260869565217,1.0,6.0
other,philosophy,0.8202459791863765,2.8959318826868494,1.0,6.0
other,health,0.8709677419354839,2.6522423288749017,0.8914240755310779,2.7789142407553107
other,engineering,0.95,3.1,1.0,4.058333333333334
other,economics,0.9234608985024958,3.1231281198003327,0.9950083194675541,3.906821963394343
physics,chemistry,0.9246031746031746,3.373015873015873,1.0,6.0
physics,math,0.9312714776632303,3.5784650630011456,1.0,6.0
physics,geography,0.88125,2.38125,1.0,6.0
physics,biology,0.8743455497382199,2.657068062827225,1.0,6.0
physics,culture,0.920863309352518,2.384892086330935,1.0,3.7517985611510793
physics,history,0.8697318007662835,2.3505747126436782,1.0,6.0
physics,politics,0.8848368522072937,2.6391554702495204,1.0,6.0
physics,psychology,0.8751334044823906,2.606189967982924,0.9967982924226254,3.8292422625400215
physics,law,0.8826086956521739,3.208695652173913,1.0,6.0
physics,philosophy,0.8164616840113529,2.880794701986755,1.0,6.0
physics,health,0.8646734854445318,2.6191974822974036,1.0,6.0
physics,engineering,0.95,3.05,0.9583333333333334,3.2416666666666667
physics,economics,0.913477537437604,3.076539101497504,0.9950083194675541,3.9101497504159735
chemistry,math,0.9209621993127147,3.4925544100801833,1.0,6.0
chemistry,geography,0.8625,2.3,1.0,6.0
chemistry,biology,0.8586387434554974,2.549738219895288,0.9633507853403142,3.358638743455497
chemistry,culture,0.9172661870503597,2.323741007194245,1.0,6.0
chemistry,history,0.8563218390804598,2.268199233716475,1.0,6.0
chemistry,politics,0.8618042226487524,2.531669865642994,1.0,6.0
chemistry,psychology,0.8548559231590181,2.5080042689434365,0.9690501600853789,3.368196371398079
chemistry,law,0.8641304347826086,3.092391304347826,1.0,6.0
chemistry,philosophy,0.8088930936613056,2.8306527909176915,1.0,6.0
chemistry,health,0.8528717545239969,2.5515342250196698,0.9331235247836349,3.140047206923682
chemistry,engineering,0.9333333333333333,2.925,1.0,6.0
chemistry,economics,0.9001663893510815,2.9983361064891847,0.9900166389351082,3.720465890183028
math,geography,0.825,2.125,1.0,6.0
math,biology,0.8324607329842932,2.4214659685863875,0.9842931937172775,3.6387434554973823
math,culture,0.9136690647482014,2.2050359712230216,1.0,6.0
math,history,0.8371647509578544,2.1475095785440614,0.9425287356321839,3.0651340996168583
math,politics,0.836852207293666,2.383877159309021,1.0,6.0
math,psychology,0.8281750266808965,2.3884738527214515,1.0,6.0
math,law,0.8358695652173913,2.9228260869565217,0.9391304347826087,3.518478260869565
math,philosophy,0.7975402081362346,2.7644276253547777,1.0,6.0
math,health,0.8316286388670339,2.4295830055074745,0.967741935483871,3.5051140833988983
math,engineering,0.925,2.808333333333333,1.0,6.0
math,economics,0.8801996672212978,2.8452579034941765,1.0,6.0
geography,biology,0.9109947643979057,2.8743455497382198,1.0,4.2356020942408374
geography,culture,0.9496402877697842,2.6043165467625897,1.0,4.0
geography,history,0.9042145593869731,2.5766283524904217,0.9674329501915708,3.4655172413793105
geography,politics,0.9117082533589251,2.859884836852207,1.0,6.0
geography,psychology,0.9103521878335112,2.823906083244397,1.0,6.0
geography,law,0.9282608695652174,3.4619565217391304,1.0,6.0
geography,philosophy,0.8486281929990539,3.0397350993377485,1.0,6.0
geography,health,0.9016522423288749,2.83477576711251,1.0,6.0
geography,engineering,0.9583333333333334,3.2416666666666667,1.0,6.0
geography,economics,0.9534109816971714,3.3194675540765393,1.0,6.0
biology,culture,0.9424460431654677,2.5179856115107913,1.0,6.0
biology,history,0.8850574712643678,2.4827586206896552,0.9272030651340997,2.82183908045977
biology,politics,0.9021113243761996,2.775431861804223,1.0,6.0
biology,psychology,0.8964781216648879,2.737459978655283,1.0,6.0
biology,law,0.9021739130434783,3.341304347826087,1.0,6.0
biology,philosophy,0.8287606433301797,2.955534531693472,0.988647114474929,3.730368968779565
biology,health,0.8867033831628639,2.7380015735641225,0.926829268292683,3.037765538945712
biology,engineering,0.95,3.15,1.0,3.933333333333333
biology,economics,0.9417637271214643,3.222961730449251,0.9267886855241264,3.146422628951747
culture,history,0.8295019157088123,2.1130268199233715,1.0,6.0
culture,politics,0.8330134357005758,2.362763915547025,1.0,6.0
culture,psychology,0.8249733191035219,2.35965848452508,0.9316969050160085,3.008537886872999
culture,law,0.8260869565217391,2.872826086956522,0.8239130434782609,2.857608695652174
culture,philosophy,0.7928098391674551,2.742667928098392,0.7928098391674551,2.7322611163670767
culture,health,0.8284815106215578,2.3926042486231314,1.0,6.0
culture,engineering,0.925,2.75,1.0,6.0
culture,economics,0.8801996672212978,2.8119800332778704,0.9916805324459235,3.7570715474209653
history,politics,0.9117082533589251,2.8502879078694816,1.0,6.0
history,psychology,0.9082177161152615,2.8121664887940234,1.0,6.0
history,law,0.9271739130434783,3.4543478260869565,1.0,6.0
history,philosophy,0.8467360454115421,3.031220435193945,0.9981078524124882,4.082308420056765
history,health,0.9016522423288749,2.82690794649882,1.0,6.0
history,engineering,0.95,3.2333333333333334,1.0,6.0
history,economics,0.9517470881863561,3.3144758735440933,1.0,6.0
politics,psychology,0.8964781216648879,2.7395944503735326,0.9818569903948773,3.5112059765208112
politics,law,0.9021739130434783,3.3434782608695652,1.0,6.0
politics,philosophy,0.8297067171239356,2.957426679280984,1.0,6.0
politics,health,0.8867033831628639,2.7403619197482296,1.0,6.0
politics,engineering,0.95,3.15,1.0,6.0
politics,economics,0.9417637271214643,3.2246256239600664,1.0,6.0
psychology,law,0.9163043478260869,3.398913043478261,1.0,6.0
