old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W
history,physics,0.9253731343283582,3.292910447761194,1.0,6.0
history,chemistry,0.9404761904761905,3.5555555555555554,1.0,6.0
history,politics,0.9117082533589251,2.8502879078694816,1.0,6.0
history,computer science,0.9404761904761905,3.2410714285714284,1.0,6.0
history,other,0.9313835770528683,2.8548931383577054,1.0,6.0
history,engineering,0.95,3.2333333333333334,1.0,6.0
history,biology,0.9109947643979057,2.863874345549738,1.0,6.0
history,math,0.9587628865979382,3.7651775486827033,1.0,6.0
history,geography,0.90625,2.53125,1.0,6.0
history,health,0.9016522423288749,2.82690794649882,1.0,6.0
history,culture,0.9496402877697842,2.5863309352517985,1.0,6.0
history,law,0.9271739130434783,3.4543478260869565,1.0,6.0
history,psychology,0.9082177161152615,2.8121664887940234,1.0,6.0
history,business,0.9558823529411765,2.4088235294117646,1.0,6.0
history,philosophy,0.8467360454115421,3.031220435193945,1.0,6.0
history,economics,0.9517470881863561,3.3144758735440933,1.0,6.0
physics,chemistry,0.9246031746031746,3.373015873015873,1.0,6.0
physics,politics,0.8848368522072937,2.6391554702495204,1.0,6.0
physics,computer science,0.9166666666666666,3.0922619047619047,0.9940476190476191,4.276785714285714
physics,other,0.8976377952755905,2.6670416197975255,1.0,6.0
physics,engineering,0.95,3.05,1.0,6.0
physics,biology,0.8743455497382199,2.657068062827225,1.0,6.0
physics,math,0.9312714776632303,3.5784650630011456,1.0,6.0
physics,geography,0.88125,2.38125,1.0,6.0
physics,health,0.8646734854445318,2.6191974822974036,1.0,6.0
physics,culture,0.920863309352518,2.384892086330935,1.0,6.0
physics,law,0.8826086956521739,3.208695652173913,1.0,6.0
physics,psychology,0.8751334044823906,2.606189967982924,1.0,6.0
physics,business,0.9411764705882353,2.223529411764706,1.0,6.0
physics,philosophy,0.8164616840113529,2.880794701986755,1.0,6.0
physics,economics,0.913477537437604,3.076539101497504,1.0,6.0
chemistry,politics,0.8618042226487524,2.531669865642994,1.0,6.0
chemistry,computer science,0.9017857142857143,2.994047619047619,1.0,6.0
chemistry,other,0.889763779527559,2.591676040494938,1.0,6.0
