old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W
geography,economics,0.9534109816971714,3.3194675540765393,1.0,6.0
geography,politics,0.9117082533589251,2.859884836852207,0.9904030710172744,3.598848368522073
geography,other,0.9325084364454443,2.8638920134983126,0.9662542182227222,3.2452193475815525
geography,physics,0.9291044776119403,3.300373134328358,0.9123134328358209,3.1884328358208953
geography,biology,0.9109947643979057,2.8743455497382198,0.9319371727748691,3.0575916230366493
geography,math,0.9621993127147767,3.7754868270332187,0.9484536082474226,3.667812142038946
geography,culture,0.9496402877697842,2.6043165467625897,0.9964028776978417,3.370503597122302
geography,history,0.9042145593869731,2.5766283524904217,0.9272030651340997,2.8544061302681993
geography,psychology,0.9103521878335112,2.823906083244397,0.9871931696905016,3.6275346851654215
geography,health,0.9016522423288749,2.83477576711251,0.974822974036192,3.6247049567269864
geography,computer science,0.9404761904761905,3.2470238095238093,0.9494047619047619,3.3958333333333335
geography,business,0.9558823529411765,2.4176470588235293,1.0,3.4794117647058824
geography,philosophy,0.8486281929990539,3.0397350993377485,0.9933774834437086,3.8618732261116366
geography,engineering,0.9583333333333334,3.2416666666666667,1.0,3.75
geography,chemistry,0.9404761904761905,3.5555555555555554,0.9285714285714286,3.4642857142857144
geography,law,0.9282608695652174,3.4619565217391304,0.8989130434782608,3.3097826086956523
economics,politics,0.8675623800383877,2.5508637236084453,0.8310940499040307,2.3589251439539347
economics,other,0.8920134983127109,2.625421822272216,0.8706411698537683,2.481439820022497
economics,physics,0.8917910447761194,3.046641791044776,0.8992537313432836,3.0652985074626864
economics,biology,0.8612565445026178,2.5785340314136125,1.0,6.0
economics,math,0.9221076746849943,3.5143184421534936,0.8831615120274914,3.29553264604811
economics,culture,0.920863309352518,2.341726618705036,0.920863309352518,2.352517985611511
economics,history,0.8620689655172413,2.293103448275862,0.8697318007662835,2.346743295019157
economics,psychology,0.8580576307363927,2.5400213447171827,0.927427961579509,2.9722518676627536
economics,health,0.8552321007081038,2.5719905586152634,0.8788355625491738,2.6923682140047207
economics,computer science,0.9017857142857143,3.0148809523809526,0.9166666666666666,3.0982142857142856
economics,business,0.9382352941176471,2.1588235294117646,0.9382352941176471,2.097058823529412
economics,philosophy,0.8088930936613056,2.8410596026490067,0.8230842005676443,2.9072847682119205
economics,engineering,0.9416666666666667,2.966666666666667,0.9416666666666667,2.966666666666667
economics,chemistry,0.9166666666666666,3.3015873015873014,0.9246031746031746,3.3492063492063493
economics,law,0.8706521739130435,3.126086956521739,0.9543478260869566,3.608695652173913
politics,other,0.9178852643419573,2.7784026996625424,0.953880764904387,3.0551181102362204
politics,physics,0.9160447761194029,3.2276119402985075,0.9347014925373134,3.341417910447761
politics,biology,0.9057591623036649,2.81151832460733,0.9214659685863874,2.994764397905759
politics,math,0.9495990836197021,3.7010309278350517,0.981672394043528,3.879725085910653
politics,culture,0.9424460431654677,2.5215827338129495,0.9640287769784173,2.8093525179856114
politics,history,0.8869731800766284,2.4885057471264367,0.9367816091954023,2.967432950191571
politics,psychology,0.8964781216648879,2.7395944503735326,0.9135538954108858,2.865528281750267
politics,health,0.8867033831628639,2.7403619197482296,0.9331235247836349,3.145554681353265
politics,computer science,0.9345238095238095,3.1964285714285716,0.9523809523809523,3.4107142857142856
politics,business,0.9558823529411765,2.3441176470588236,0.9411764705882353,2.226470588235294
politics,philosophy,0.8297067171239356,2.957426679280984,0.9895931882686849,3.7360454115421002
politics,engineering,0.95,3.15,0.9916666666666667,3.5
politics,chemistry,0.9285714285714286,3.492063492063492,0.9444444444444444,3.5992063492063493
politics,law,0.9021739130434783,3.3434782608695652,0.9793478260869565,3.8391304347826085
other,physics,0.9104477611940298,3.1641791044776117,0.9514925373134329,3.485074626865672
other,biology,0.8848167539267016,2.696335078534031,0.9109947643979057,2.858638743455497
other,math,0.9381443298969072,3.6174112256586484,0.9209621993127147,3.479954180985109
other,culture,0.9316546762589928,2.420863309352518,0.935251798561151,2.435251798561151
other,history,0.8735632183908046,2.3908045977011496,0.9444444444444444,3.1379310344827585
other,psychology,0.880469583778015,2.6531483457844183,0.9007470651013874,2.7588046958377803
other,health,0.8709677419354839,2.6522423288749017,0.8945712037765539,2.8009441384736427
other,computer science,0.9166666666666666,3.1160714285714284,0.9464285714285714,3.3095238095238093
other,business,0.9441176470588235,2.2470588235294118,0.9558823529411765,2.388235294117647
other,philosophy,0.8202459791863765,2.8959318826868494,0.9139072847682119,3.328287606433302
other,engineering,0.95,3.1,0.95,3.1083333333333334
other,chemistry,0.9246031746031746,3.4166666666666665,1.0,6.0
other,law,0.8891304347826087,3.253260869565217,1.0,6.0
physics,biology,0.8743455497382199,2.657068062827225,0.9869109947643979,3.696335078534031
physics,math,0.9312714776632303,3.5784650630011456,0.9621993127147767,3.7823596792668956
physics,culture,0.920863309352518,2.384892086330935,0.9532374100719424,2.6870503597122304
physics,history,0.8697318007662835,2.3505747126436782,0.9176245210727969,2.6973180076628354
physics,psychology,0.8751334044823906,2.606189967982924,0.9156883671291356,2.887940234791889
physics,health,0.8646734854445318,2.6191974822974036,0.9425649095200629,3.2108575924468923
physics,computer science,0.9166666666666666,3.0922619047619047,0.9464285714285714,3.2916666666666665
physics,business,0.9411764705882353,2.223529411764706,0.9705882352941176,2.5176470588235293
physics,philosophy,0.8164616840113529,2.880794701986755,0.9668874172185431,3.588457899716178
physics,engineering,0.95,3.05,0.95,3.1416666666666666
physics,chemistry,0.9246031746031746,3.373015873015873,0.9404761904761905,3.5555555555555554
physics,law,0.8826086956521739,3.208695652173913,0.9434782608695652,3.5510869565217393
biology,math,0.9495990836197021,3.6987399770904927,0.9438717067583047,3.6391752577319587
biology,culture,0.9424460431654677,2.5179856115107913,0.9568345323741008,2.7949640287769784
biology,history,0.8850574712643678,2.4827586206896552,0.8831417624521073,2.475095785440613
biology,psychology,0.8964781216648879,2.737459978655283,1.0,6.0
biology,health,0.8867033831628639,2.7380015735641225,0.9260424862313139,3.036978756884343
biology,computer science,0.9345238095238095,3.193452380952381,0.9345238095238095,3.193452380952381
biology,business,0.9558823529411765,2.3411764705882354,0.9558823529411765,2.3529411764705883
