algorithm,avg_rank,hit_rate,win_count,total_problems
BERW-Hetero,2.929,0.000,48,225
BERW-HeteroRobust,2.844,0.000,55,225
BERW-HeteroTMatch,2.862,0.000,49,225
BERW-HeteroVar,2.720,0.000,57,225
CMA-ES-sep,3.644,0.000,16,225

algorithm,budget,avg_rank,hit_rate,win_count,total_budget_problems
BERW-Hetero,100,2.929,0.000,48,225
BERW-HeteroRobust,100,2.844,0.000,55,225
BERW-HeteroTMatch,100,2.862,0.000,49,225
BERW-HeteroVar,100,2.720,0.000,57,225
CMA-ES-sep,100,3.644,0.000,16,225
