lambda,n_agents,mse,total_effort_sq,total_effort_abs,window
0.001,15,4.274995080777444e-05,1.8748562335968018,3.720747947692871,Last 70%
0.001,20,7.950345025165007e-05,1.531975507736206,3.9630768299102783,Last 70%
0.001,30,1.9271134078735486e-05,1.382622480392456,4.561117172241211,Last 70%
0.001,40,1.052990228345152e-05,1.3660138845443726,5.429182529449463,Last 70%
0.001,50,7.159118467825465e-06,1.3464019298553467,6.099510669708252,Last 70%
0.001,60,0.0001004919467959553,6.967548370361328,9.738555908203125,Last 70%
0.005,15,0.0003038154973182827,1.1417124271392822,2.953407049179077,Last 70%
0.005,20,0.00011511045158840716,1.0008889436721802,3.1040382385253906,Last 70%
0.005,30,3.285173806943931e-05,0.7649434804916382,3.267869710922241,Last 70%
0.005,40,2.174300971091725e-05,0.6196712851524353,3.373781681060791,Last 70%
0.005,50,2.9223609089967795e-05,0.5408971905708313,3.5583839416503906,Last 70%
0.005,60,2.371533446421381e-05,0.48652419447898865,3.720133066177368,Last 70%
0.01,15,0.00022808150970377028,1.1647039651870728,2.980771780014038,Last 70%
0.01,20,9.61261466727592e-05,1.0493698120117188,3.2649128437042236,Last 70%
0.01,30,4.062457082909532e-05,0.9264653325080872,3.7974355220794678,Last 70%
0.01,40,3.8775495340814814e-05,0.8667511940002441,4.318811416625977,Last 70%
0.01,50,3.9707028918201104e-05,0.8384056091308594,4.763656139373779,Last 70%
0.01,60,4.4641194108407944e-05,0.8435494303703308,5.264820575714111,Last 70%
0.05,15,0.0005238484591245651,0.7378249764442444,2.502927541732788,Last 70%
0.05,20,0.00031644312548451126,0.5556260943412781,2.5646724700927734,Last 70%
0.05,30,0.00010853068670257926,0.4848257303237915,2.8124547004699707,Last 70%
0.05,40,5.592216984950937e-05,0.43669283390045166,3.0496368408203125,Last 70%
0.05,50,6.286585266934708e-05,0.3885268568992615,3.196829319000244,Last 70%
0.05,60,5.779555795015767e-05,0.34852537512779236,3.3037943840026855,Last 70%
0.1,15,0.0005097815883345902,0.8274010419845581,2.3976080417633057,Last 70%
0.1,20,0.0005073627107776701,0.5430076718330383,2.3461554050445557,Last 70%
0.1,30,0.0003399118722882122,0.3852826952934265,2.4218711853027344,Last 70%
0.1,40,0.0002665070060174912,0.36293846368789673,2.6278774738311768,Last 70%
0.1,50,0.0002410363667877391,0.3605990707874298,2.87907075881958,Last 70%
0.1,60,0.00023509706079494208,0.350448876619339,3.0819685459136963,Last 70%
0.5,15,0.010440411046147346,0.7013337016105652,2.2538466453552246,Last 70%
0.5,20,0.007845967076718807,0.5720829367637634,2.3845818042755127,Last 70%
0.5,30,0.003329179249703884,0.5280663371086121,2.66015625,Last 70%
0.5,40,0.0017952006310224533,0.39515480399131775,2.644657850265503,Last 70%
0.5,50,0.0009205607930198312,0.3234472870826721,2.6834053993225098,Last 70%
0.5,60,0.0007774893892928958,0.2548361122608185,2.6603894233703613,Last 70%
1.0,15,0.006120557431131601,0.7002733945846558,2.614044189453125,Last 70%
1.0,20,0.0035338043235242367,0.7344485521316528,2.989471912384033,Last 70%
1.0,30,0.0023541771806776524,0.6015213131904602,3.1547863483428955,Last 70%
1.0,40,0.0023147310130298138,0.4592134952545166,3.049377202987671,Last 70%
1.0,50,0.0023957467637956142,0.34785085916519165,2.92118501663208,Last 70%
1.0,60,0.0024590224493294954,0.26946040987968445,2.82368803024292,Last 70%
