M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,283.472,2427.173,2215.558,2107.347,1864.505
128,3074.046,3714.470,3355.247,3293.431,2939.366
256,3965.056,4456.911,4181.540,4079.560,3792.348
512,4012.549,4622.236,4277.980,4187.153,3913.472
