M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
64,1.00,1.41,1.05,1.07,1.02
128,1.00,1.40,1.06,1.09,1.04
256,1.00,1.32,1.06,1.07,1.01
512,1.00,1.28,1.03,1.05,1.02
